# noise_analysis run from DCC-NOISE-001011 at Mon Nov  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/11/2013 00:05:00,   58.87,   64.93,   52.37,   61.80,   67.76,   55.44
04/11/2013 00:10:00,   56.44,   61.43,   52.02,   58.97,   63.00,   55.26
04/11/2013 00:15:00,   57.27,   62.85,   51.62,   59.60,   64.47,   54.94
04/11/2013 00:20:00,   54.77,   59.43,   51.62,   57.55,   61.58,   54.80
04/11/2013 00:25:00,   57.86,   63.77,   52.39,   60.08,   65.37,   55.43
04/11/2013 00:30:00,   58.18,   63.78,   51.88,   60.80,   65.86,   54.86
04/11/2013 00:35:00,   55.78,   61.57,   51.33,   58.25,   63.48,   54.53
04/11/2013 00:40:00,   56.62,   62.54,   51.69,   58.99,   64.02,   54.80
04/11/2013 00:45:00,   56.77,   62.32,   51.67,   58.96,   64.10,   54.71
04/11/2013 00:50:00,   55.89,   62.44,   51.34,   58.52,   64.27,   54.60
04/11/2013 00:55:00,   56.38,   62.26,   51.76,   58.70,   64.21,   54.87
04/11/2013 01:00:00,   55.69,   60.62,   51.17,   58.11,   62.54,   54.24
04/11/2013 01:05:00,   56.32,   62.54,   51.21,   59.28,   64.98,   54.45
04/11/2013 01:10:00,   63.18,   72.00,   51.34,   67.21,   76.29,   54.76
04/11/2013 01:15:00,   54.57,   59.08,   51.02,   57.31,   61.20,   54.15
04/11/2013 01:20:00,   55.97,   62.43,   50.66,   58.41,   64.13,   53.93
04/11/2013 01:25:00,   53.44,   56.26,   50.83,   56.34,   58.63,   54.13
04/11/2013 01:30:00,   54.45,   58.81,   50.95,   57.05,   61.42,   53.89
04/11/2013 01:35:00,   55.85,   62.40,   50.75,   58.36,   64.30,   54.06
04/11/2013 01:40:00,   55.07,   61.07,   50.57,   57.73,   62.58,   53.86
04/11/2013 01:45:00,   61.49,   71.64,   50.74,   65.81,   76.19,   54.13
04/11/2013 01:50:00,   53.65,   57.93,   50.67,   56.31,   60.10,   53.87
04/11/2013 01:55:00,   54.94,   60.66,   50.59,   57.68,   62.60,   53.90
04/11/2013 02:00:00,   53.58,   58.73,   50.29,   56.38,   61.16,   53.49
04/11/2013 02:05:00,   54.23,   59.48,   50.42,   56.97,   61.32,   53.59
04/11/2013 02:10:00,   54.58,   60.69,   50.66,   57.55,   62.84,   54.20
04/11/2013 02:15:00,   52.86,   55.85,   50.37,   55.72,   58.31,   53.71
04/11/2013 02:20:00,   53.14,   56.70,   50.35,   55.95,   58.93,   53.55
04/11/2013 02:25:00,   53.55,   58.11,   50.25,   56.29,   60.45,   53.31
04/11/2013 02:30:00,   52.87,   56.02,   50.11,   55.81,   58.83,   53.27
04/11/2013 02:35:00,   53.69,   56.70,   50.26,   57.03,   61.37,   53.57
04/11/2013 02:40:00,   52.36,   54.85,   50.17,   55.33,   57.90,   53.43
04/11/2013 02:45:00,   53.88,   59.26,   50.41,   56.80,   61.63,   53.75
04/11/2013 02:50:00,   55.23,   62.46,   50.63,   57.79,   64.02,   53.96
04/11/2013 02:55:00,   53.19,   57.15,   50.39,   56.49,   60.85,   53.61
04/11/2013 03:00:00,   53.57,   57.72,   50.54,   56.21,   59.88,   53.73
04/11/2013 03:05:00,   53.26,   57.52,   50.48,   56.33,   60.14,   53.59
04/11/2013 03:10:00,   55.16,   60.93,   50.34,   57.68,   63.41,   53.50
04/11/2013 03:15:00,   53.04,   56.57,   50.48,   55.91,   59.01,   53.56
04/11/2013 03:20:00,   55.34,   60.99,   50.41,   57.74,   62.49,   53.66
04/11/2013 03:25:00,   55.21,   61.62,   50.76,   57.62,   63.61,   53.78
04/11/2013 03:30:00,   53.46,   56.08,   50.60,   56.79,   60.77,   53.70
04/11/2013 03:35:00,   53.86,   58.95,   50.80,   56.52,   61.08,   53.97
04/11/2013 03:40:00,   55.62,   61.97,   50.80,   58.26,   64.00,   54.01
04/11/2013 03:45:00,   53.16,   55.14,   50.78,   56.42,   59.55,   54.01
04/11/2013 03:50:00,   55.96,   61.46,   50.90,   59.21,   63.55,   54.54
04/11/2013 03:55:00,   54.58,   59.52,   50.96,   57.72,   62.97,   54.14
04/11/2013 04:00:00,   53.80,   58.10,   50.82,   56.65,   60.43,   54.01
04/11/2013 04:05:00,   58.02,   65.34,   51.22,   60.75,   67.66,   54.72
04/11/2013 04:10:00,   55.68,   61.03,   51.77,   58.80,   62.82,   55.39
04/11/2013 04:15:00,   55.02,   61.28,   51.46,   57.84,   63.37,   54.78
04/11/2013 04:20:00,   58.68,   65.23,   51.91,   61.63,   67.75,   55.53
04/11/2013 04:25:00,   58.51,   65.42,   52.11,   61.14,   66.93,   55.88
04/11/2013 04:30:00,   56.91,   62.17,   51.90,   59.73,   64.38,   55.12
04/11/2013 04:35:00,   56.78,   63.28,   51.43,   59.08,   64.90,   54.55
04/11/2013 04:40:00,   58.16,   66.42,   51.56,   60.75,   67.99,   54.73
04/11/2013 04:45:00,   57.11,   64.37,   51.39,   60.05,   66.60,   54.57
04/11/2013 04:50:00,   58.64,   64.40,   51.10,   61.39,   66.43,   54.33
04/11/2013 04:55:00,   58.07,   64.66,   51.92,   60.92,   67.05,   55.59
04/11/2013 05:00:00,   58.75,   66.34,   51.95,   62.53,   69.65,   55.71
04/11/2013 05:05:00,   59.04,   66.36,   51.79,   62.30,   68.66,   55.23
04/11/2013 05:10:00,   59.57,   66.95,   52.38,   62.95,   69.47,   56.32
04/11/2013 05:15:00,   59.51,   66.23,   52.79,   62.66,   68.14,   57.05
04/11/2013 05:20:00,   58.17,   64.84,   52.04,   61.32,   66.56,   56.06
04/11/2013 05:25:00,   58.09,   64.54,   52.54,   61.52,   66.77,   56.28
04/11/2013 05:30:00,   60.20,   65.13,   52.95,   63.55,   68.77,   56.64
04/11/2013 05:35:00,   60.40,   66.39,   53.61,   63.76,   68.85,   57.97
04/11/2013 05:40:00,   57.44,   60.70,   53.90,   61.63,   64.04,   58.24
04/11/2013 05:45:00,   61.48,   67.94,   52.97,   64.90,   70.57,   56.92
04/11/2013 05:50:00,   60.82,   67.87,   53.70,   63.77,   70.02,   57.46
04/11/2013 05:55:00,   61.34,   66.67,   54.11,   64.68,   69.47,   57.83
04/11/2013 06:00:00,   58.14,   63.92,   53.35,   61.55,   66.61,   56.86
04/11/2013 06:05:00,   60.11,   65.58,   53.34,   63.54,   67.81,   57.15
04/11/2013 06:10:00,   63.73,   69.50,   55.28,   68.09,   73.57,   59.96
04/11/2013 06:15:00,   58.80,   63.58,   54.64,   62.94,   66.12,   59.15
04/11/2013 06:20:00,   61.21,   66.93,   54.67,   64.09,   68.77,   58.86
04/11/2013 06:25:00,   61.05,   67.46,   54.90,   64.42,   69.30,   59.22
04/11/2013 06:30:00,   61.61,   67.14,   54.62,   64.46,   69.57,   58.81
