# noise_analysis run from DCC-NOISE-001011 at Tue Nov  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/11/2013 00:05:00,   55.83,   61.59,   50.56,   58.52,   64.31,   53.77
05/11/2013 00:10:00,   59.55,   64.13,   51.12,   61.56,   65.78,   54.29
05/11/2013 00:15:00,   58.14,   63.45,   51.53,   61.29,   66.14,   54.48
05/11/2013 00:20:00,   57.92,   63.25,   51.73,   61.01,   66.09,   54.98
05/11/2013 00:25:00,   59.18,   65.56,   51.58,   61.44,   67.31,   54.71
05/11/2013 00:30:00,   57.86,   63.87,   51.46,   60.71,   66.05,   54.23
05/11/2013 00:35:00,   54.47,   57.76,   51.40,   57.21,   60.18,   54.29
05/11/2013 00:40:00,   56.86,   60.05,   51.32,   59.44,   62.59,   54.44
05/11/2013 00:45:00,   57.42,   63.49,   51.31,   60.55,   66.01,   54.06
05/11/2013 00:50:00,   57.89,   63.57,   51.09,   61.24,   65.72,   55.13
05/11/2013 00:55:00,   61.78,   72.37,   51.52,   65.62,   76.35,   54.38
05/11/2013 01:00:00,   56.30,   61.89,   51.40,   59.41,   64.07,   54.56
05/11/2013 01:05:00,   57.40,   63.94,   51.21,   60.88,   67.00,   54.28
05/11/2013 01:10:00,   55.51,   60.46,   51.68,   58.49,   63.30,   54.48
05/11/2013 01:15:00,   55.33,   59.65,   51.06,   59.18,   64.18,   53.95
05/11/2013 01:20:00,   55.50,   59.15,   51.44,   59.24,   63.96,   54.38
05/11/2013 01:25:00,   57.51,   62.21,   52.00,   62.24,   67.49,   55.07
05/11/2013 01:30:00,   57.41,   61.67,   53.12,   61.59,   65.94,   55.81
05/11/2013 01:35:00,   54.75,   58.94,   50.79,   57.80,   61.94,   53.81
05/11/2013 01:40:00,   56.26,   59.87,   51.50,   60.10,   65.20,   54.39
05/11/2013 01:45:00,   56.32,   61.57,   51.16,   60.20,   65.19,   54.34
05/11/2013 01:50:00,   55.04,   58.85,   50.99,   58.97,   64.71,   53.86
05/11/2013 01:55:00,   55.34,   59.95,   50.87,   60.09,   65.43,   53.88
05/11/2013 02:00:00,   57.45,   63.50,   51.81,   61.63,   67.05,   55.39
05/11/2013 02:05:00,   55.86,   59.65,   51.98,   60.76,   65.51,   54.66
05/11/2013 02:10:00,   53.59,   55.50,   51.23,   57.27,   60.00,   54.28
05/11/2013 02:15:00,   56.28,   61.00,   50.89,   61.64,   67.03,   54.03
05/11/2013 02:20:00,   55.79,   60.70,   51.06,   61.23,   66.40,   54.32
05/11/2013 02:25:00,   54.94,   59.09,   51.15,   60.02,   65.12,   54.17
05/11/2013 02:30:00,   63.76,   72.58,   51.23,   68.75,   77.68,   54.61
05/11/2013 02:35:00,   53.96,   56.98,   51.01,   58.16,   61.21,   53.91
05/11/2013 02:40:00,   56.71,   62.66,   51.47,   61.64,   66.72,   54.40
05/11/2013 02:45:00,   54.56,   58.32,   50.81,   58.83,   62.99,   53.65
05/11/2013 02:50:00,   53.88,   56.90,   50.43,   57.63,   62.28,   53.32
05/11/2013 02:55:00,   54.23,   58.70,   50.47,   57.74,   62.33,   53.47
05/11/2013 03:00:00,   55.47,   60.02,   50.63,   59.98,   65.38,   53.53
05/11/2013 03:05:00,   52.73,   55.54,   50.52,   56.80,   59.93,   53.63
05/11/2013 03:10:00,   53.90,   59.11,   50.16,   57.00,   61.66,   53.13
05/11/2013 03:15:00,   52.80,   56.44,   50.11,   57.09,   60.95,   53.50
05/11/2013 03:20:00,   53.38,   56.06,   50.17,   58.27,   62.92,   53.36
05/11/2013 03:25:00,   53.59,   57.49,   50.58,   57.49,   62.80,   53.67
05/11/2013 03:30:00,   54.08,   58.56,   50.28,   56.83,   60.62,   53.35
05/11/2013 03:35:00,   54.13,   58.79,   50.58,   57.36,   62.00,   53.43
05/11/2013 03:40:00,   55.64,   60.69,   50.42,   58.26,   63.14,   53.19
05/11/2013 03:45:00,   53.45,   56.98,   50.35,   56.59,   61.09,   53.13
05/11/2013 03:50:00,   52.81,   55.42,   50.38,   55.88,   58.90,   53.37
05/11/2013 03:55:00,   54.57,   59.39,   50.19,   57.23,   62.08,   53.20
05/11/2013 04:00:00,   56.42,   60.58,   51.83,   58.46,   62.79,   54.03
05/11/2013 04:05:00,   57.87,   64.76,   52.36,   59.46,   66.10,   54.16
05/11/2013 04:10:00,   57.57,   63.61,   52.09,   59.05,   64.34,   54.34
05/11/2013 04:15:00,   52.72,   54.70,   51.07,   55.38,   57.26,   53.51
05/11/2013 04:20:00,   54.40,   55.76,   51.77,   56.56,   58.59,   54.18
05/11/2013 04:25:00,   56.66,   64.13,   51.23,   58.26,   64.77,   53.98
05/11/2013 04:30:00,   56.86,   64.47,   50.69,   59.07,   65.90,   53.45
05/11/2013 04:35:00,   56.84,   61.71,   51.19,   58.88,   63.61,   54.03
05/11/2013 04:40:00,   56.41,   62.29,   50.94,   59.66,   65.26,   53.73
05/11/2013 04:45:00,   57.51,   62.82,   52.22,   59.54,   64.46,   54.40
05/11/2013 04:50:00,   59.76,   66.21,   52.05,   60.62,   66.81,   54.17
05/11/2013 04:55:00,   57.44,   63.23,   52.21,   59.56,   64.91,   54.56
05/11/2013 05:00:00,   62.24,   69.74,   53.27,   66.11,   73.85,   56.41
05/11/2013 05:05:00,   60.72,   68.80,   52.15,   62.21,   69.17,   54.70
05/11/2013 05:10:00,   62.82,   69.21,   53.92,   64.64,   69.99,   56.98
05/11/2013 05:15:00,   59.84,   67.33,   53.23,   62.42,   67.62,   57.12
05/11/2013 05:20:00,   60.12,   66.88,   53.44,   62.19,   68.10,   56.70
05/11/2013 05:25:00,   58.84,   65.03,   52.08,   61.38,   66.51,   55.91
05/11/2013 05:30:00,   59.11,   66.19,   52.90,   62.20,   68.48,   56.70
05/11/2013 05:35:00,   59.96,   67.26,   52.75,   62.16,   68.33,   56.10
05/11/2013 05:40:00,   60.11,   66.23,   53.47,   63.29,   68.86,   56.81
05/11/2013 05:45:00,   62.12,   69.08,   53.49,   64.79,   71.11,   57.01
05/11/2013 05:50:00,   59.84,   66.84,   53.72,   62.89,   68.68,   57.52
05/11/2013 05:55:00,   61.09,   67.63,   52.90,   63.79,   70.10,   56.54
05/11/2013 06:00:00,   59.30,   64.28,   53.35,   62.97,   67.67,   57.53
05/11/2013 06:05:00,   59.09,   65.52,   53.81,   63.06,   67.87,   57.59
05/11/2013 06:10:00,   61.68,   68.35,   54.63,   64.24,   69.85,   58.27
05/11/2013 06:15:00,   59.19,   64.08,   54.34,   62.40,   66.75,   58.10
05/11/2013 06:20:00,   62.55,   67.59,   55.40,   65.87,   70.23,   59.02
05/11/2013 06:25:00,   63.33,   69.11,   55.30,   66.30,   70.93,   59.48
05/11/2013 06:30:00,   60.79,   66.70,   54.98,   63.67,   68.30,   58.65
05/11/2013 06:35:00,   60.33,   66.36,   55.04,   63.50,   68.28,   58.56
05/11/2013 06:40:00,   61.10,   66.28,   56.25,   64.36,   68.76,   59.71
05/11/2013 06:45:00,   62.00,   66.54,   56.28,   64.95,   68.24,   60.47
