# noise_analysis run from DCC-NOISE-001011 at Wed Nov  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/11/2013 00:05:00,   59.18,   63.69,   51.86,   61.68,   65.80,   55.35
06/11/2013 00:10:00,   57.80,   63.74,   52.05,   61.36,   66.66,   55.03
06/11/2013 00:15:00,   58.30,   65.02,   51.91,   61.13,   67.63,   54.77
06/11/2013 00:20:00,   58.70,   65.91,   51.67,   61.46,   67.72,   54.65
06/11/2013 00:25:00,   57.77,   64.02,   50.97,   59.89,   65.73,   54.09
06/11/2013 00:30:00,   58.29,   64.88,   51.23,   61.34,   67.12,   54.22
06/11/2013 00:35:00,   57.26,   62.76,   51.64,   59.72,   65.06,   54.59
06/11/2013 00:40:00,   56.77,   63.00,   51.55,   59.28,   65.21,   54.58
06/11/2013 00:45:00,   62.61,   72.98,   51.41,   63.62,   72.03,   54.51
06/11/2013 00:50:00,   57.73,   63.23,   51.49,   60.31,   64.74,   54.38
06/11/2013 00:55:00,   62.11,   72.30,   50.77,   65.90,   76.49,   53.48
06/11/2013 01:00:00,   53.33,   57.12,   50.02,   55.85,   59.35,   52.94
06/11/2013 01:05:00,   51.63,   52.74,   50.21,   54.53,   55.95,   53.15
06/11/2013 01:10:00,   56.81,   62.64,   50.77,   59.89,   65.26,   53.71
06/11/2013 01:15:00,   56.09,   61.68,   50.57,   59.40,   64.03,   53.62
06/11/2013 01:20:00,   53.71,   58.58,   50.46,   56.51,   60.57,   53.43
06/11/2013 01:25:00,   55.35,   62.44,   50.47,   58.81,   65.16,   53.40
06/11/2013 01:30:00,   53.90,   57.31,   50.36,   57.15,   60.41,   53.37
06/11/2013 01:35:00,   54.11,   58.43,   50.31,   56.79,   60.99,   53.35
06/11/2013 01:40:00,   52.30,   54.66,   50.14,   55.08,   57.13,   53.00
06/11/2013 01:45:00,   55.13,   60.97,   49.98,   57.94,   63.10,   53.13
06/11/2013 01:50:00,   54.07,   60.04,   49.86,   57.78,   64.37,   52.88
06/11/2013 01:55:00,   54.57,   60.27,   50.24,   57.35,   62.59,   53.42
06/11/2013 02:00:00,   54.69,   60.44,   50.28,   57.46,   62.85,   53.58
06/11/2013 02:05:00,   55.69,   61.81,   50.52,   57.99,   63.42,   53.43
06/11/2013 02:10:00,   54.34,   59.42,   50.66,   56.95,   61.93,   53.28
06/11/2013 02:15:00,   53.96,   57.74,   50.48,   56.26,   59.43,   53.12
06/11/2013 02:20:00,   52.78,   55.91,   50.35,   55.27,   58.12,   53.01
06/11/2013 02:25:00,   52.73,   54.53,   50.56,   55.48,   57.20,   53.51
06/11/2013 02:30:00,   63.99,   72.73,   50.93,   68.15,   77.32,   53.87
06/11/2013 02:35:00,   51.76,   54.33,   49.93,   54.63,   56.98,   52.80
06/11/2013 02:40:00,   58.07,   65.61,   50.10,   61.31,   68.18,   53.09
06/11/2013 02:45:00,   53.26,   57.15,   49.94,   56.01,   60.31,   52.84
06/11/2013 02:50:00,   54.37,   61.07,   49.77,   56.58,   62.90,   52.53
