# noise_analysis run from DCC-NOISE-001011 at Thu Nov  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/11/2013 00:05:00,   58.97,   66.02,   52.09,   61.21,   67.44,   54.87
07/11/2013 00:10:00,   57.29,   64.17,   51.67,   59.48,   65.84,   54.79
07/11/2013 00:15:00,   58.82,   64.01,   52.66,   61.47,   65.66,   55.68
07/11/2013 00:20:00,   60.98,   67.44,   53.23,   63.60,   69.41,   56.36
07/11/2013 00:25:00,   57.45,   63.86,   52.26,   59.60,   64.91,   55.03
07/11/2013 00:30:00,   59.23,   65.84,   52.27,   61.98,   68.29,   55.20
07/11/2013 00:35:00,   57.19,   63.60,   51.94,   59.44,   65.32,   54.87
07/11/2013 00:40:00,   57.79,   62.69,   51.58,   60.60,   65.59,   54.33
07/11/2013 00:45:00,   58.12,   63.90,   51.71,   60.78,   65.74,   54.51
07/11/2013 00:50:00,   56.87,   61.58,   51.40,   60.30,   64.14,   54.28
07/11/2013 00:55:00,   55.43,   59.76,   51.43,   57.82,   62.21,   54.12
07/11/2013 01:00:00,   62.60,   72.54,   51.41,   66.21,   76.86,   54.38
07/11/2013 01:05:00,   56.01,   60.83,   51.29,   59.49,   64.16,   54.30
07/11/2013 01:10:00,   56.21,   61.72,   51.34,   59.14,   63.99,   54.34
07/11/2013 01:15:00,   56.05,   62.96,   51.15,   58.49,   64.74,   53.85
07/11/2013 01:20:00,   54.20,   59.19,   50.79,   56.75,   61.21,   53.69
07/11/2013 01:25:00,   55.05,   60.24,   50.93,   57.29,   61.85,   53.62
07/11/2013 01:30:00,   55.25,   60.00,   50.80,   59.07,   64.00,   53.59
07/11/2013 01:35:00,   53.69,   56.77,   51.01,   56.40,   59.58,   53.88
07/11/2013 01:40:00,   55.05,   59.25,   50.89,   57.30,   60.91,   53.66
07/11/2013 01:45:00,   53.72,   56.94,   50.53,   56.35,   59.24,   53.33
07/11/2013 01:50:00,   54.15,   58.61,   50.56,   56.94,   61.61,   53.49
07/11/2013 01:55:00,   53.30,   54.65,   50.55,   56.05,   58.28,   53.54
07/11/2013 02:00:00,   53.36,   56.55,   50.44,   55.78,   58.18,   53.33
07/11/2013 02:05:00,   54.97,   60.91,   50.45,   57.25,   62.66,   53.30
07/11/2013 02:10:00,   54.07,   58.36,   50.55,   56.37,   60.33,   53.40
07/11/2013 02:15:00,   55.00,   60.72,   50.75,   57.92,   62.96,   53.69
07/11/2013 02:20:00,   51.90,   53.10,   50.59,   55.05,   56.69,   53.56
07/11/2013 02:25:00,   54.36,   59.40,   50.58,   56.80,   61.16,   53.23
07/11/2013 02:30:00,   53.26,   55.72,   50.72,   56.12,   59.41,   53.61
07/11/2013 02:35:00,   52.00,   54.38,   50.26,   54.91,   57.40,   53.13
07/11/2013 02:40:00,   54.11,   58.98,   50.58,   56.44,   60.60,   53.34
07/11/2013 02:45:00,   53.34,   56.92,   50.44,   55.98,   59.77,   53.27
07/11/2013 02:50:00,   52.24,   52.40,   50.17,   54.96,   55.39,   52.99
07/11/2013 02:55:00,   54.51,   58.79,   50.73,   57.26,   61.18,   53.73
