# noise_analysis run from DCC-NOISE-001011 at Sat Nov  9 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
09/11/2013 00:05:00,   57.32,   62.06,   53.36,   59.82,   63.73,   56.36
09/11/2013 00:10:00,   60.73,   66.41,   53.29,   63.17,   68.76,   56.34
09/11/2013 00:15:00,   61.95,   66.51,   54.09,   65.24,   70.02,   57.31
09/11/2013 00:20:00,   59.77,   65.41,   53.48,   62.11,   67.15,   56.52
09/11/2013 00:25:00,   59.38,   63.74,   53.75,   62.42,   66.42,   56.86
09/11/2013 00:30:00,   60.65,   65.75,   53.32,   63.70,   68.29,   56.28
09/11/2013 00:35:00,   59.29,   64.60,   53.20,   61.78,   67.16,   56.41
09/11/2013 00:40:00,   58.33,   63.38,   53.14,   60.51,   65.43,   56.27
09/11/2013 00:45:00,   58.44,   63.70,   53.01,   60.92,   65.66,   56.15
09/11/2013 00:50:00,   59.92,   65.33,   53.57,   63.10,   67.62,   56.54
09/11/2013 00:55:00,   58.88,   63.39,   53.15,   61.13,   65.12,   56.01
09/11/2013 01:00:00,   59.65,   64.57,   52.73,   62.40,   67.26,   55.58
09/11/2013 01:05:00,   57.05,   61.00,   53.15,   59.66,   63.26,   56.22
09/11/2013 01:10:00,   58.35,   63.84,   52.98,   60.93,   66.09,   55.90
09/11/2013 01:15:00,   58.78,   63.91,   53.36,   61.57,   65.97,   56.58
09/11/2013 01:20:00,   58.18,   63.38,   52.76,   60.54,   65.13,   55.58
09/11/2013 01:25:00,   58.53,   63.22,   53.27,   60.95,   65.25,   56.15
09/11/2013 01:30:00,   57.84,   62.32,   52.86,   60.19,   64.45,   55.75
09/11/2013 01:35:00,   58.47,   63.71,   53.23,   60.94,   65.62,   56.16
09/11/2013 01:40:00,   58.25,   63.72,   52.44,   60.64,   65.78,   55.38
09/11/2013 01:45:00,   57.52,   62.27,   52.83,   59.76,   64.00,   55.75
09/11/2013 01:50:00,   57.96,   64.18,   52.17,   60.91,   66.97,   55.21
09/11/2013 01:55:00,   57.15,   61.54,   52.72,   59.65,   63.53,   55.72
09/11/2013 02:00:00,   57.26,   63.88,   52.15,   59.67,   65.66,   55.08
09/11/2013 02:05:00,   57.53,   61.95,   52.16,   59.93,   63.95,   55.08
09/11/2013 02:10:00,   58.41,   63.97,   52.41,   60.61,   65.70,   55.39
09/11/2013 02:15:00,   57.13,   62.08,   52.90,   59.49,   63.65,   55.77
09/11/2013 02:20:00,   59.44,   65.54,   52.43,   61.58,   66.91,   55.53
09/11/2013 02:25:00,   55.91,   60.03,   52.47,   58.61,   62.16,   55.42
09/11/2013 02:30:00,   57.12,   62.28,   52.13,   59.39,   64.12,   55.03
09/11/2013 02:35:00,   58.09,   63.21,   52.51,   60.29,   65.21,   55.32
09/11/2013 02:40:00,   56.05,   61.01,   52.05,   58.61,   63.32,   55.02
09/11/2013 02:45:00,   57.05,   63.75,   51.86,   59.41,   65.36,   54.82
09/11/2013 02:50:00,   57.83,   64.84,   52.35,   60.45,   66.91,   55.27
