# noise_analysis run from DCC-NOISE-001011 at Sun Nov 10 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
10/11/2013 00:05:00,   57.86,   63.47,   52.95,   60.30,   65.55,   55.94
10/11/2013 00:10:00,   58.81,   63.95,   52.47,   61.18,   65.46,   55.72
10/11/2013 00:15:00,   59.93,   65.47,   52.65,   62.68,   67.62,   55.68
10/11/2013 00:20:00,   60.03,   65.35,   52.55,   62.36,   67.21,   55.71
10/11/2013 00:25:00,   59.36,   64.42,   52.26,   62.02,   66.88,   55.10
10/11/2013 00:30:00,   60.51,   64.94,   53.04,   63.43,   67.57,   55.97
10/11/2013 00:35:00,   59.60,   64.60,   52.36,   62.66,   67.06,   55.45
10/11/2013 00:40:00,   61.55,   67.38,   52.53,   64.14,   69.65,   55.73
10/11/2013 00:45:00,   60.89,   66.29,   53.60,   63.35,   67.80,   56.59
10/11/2013 00:50:00,   57.81,   63.76,   51.99,   60.07,   65.91,   54.88
10/11/2013 00:55:00,   60.61,   65.78,   52.96,   63.47,   68.06,   55.72
10/11/2013 01:00:00,   58.83,   65.47,   52.84,   61.61,   67.24,   56.77
10/11/2013 01:05:00,   59.62,   65.44,   53.00,   62.77,   68.24,   56.91
10/11/2013 01:10:00,   57.41,   63.89,   52.75,   60.27,   65.80,   56.00
10/11/2013 01:15:00,   57.50,   63.30,   52.67,   59.81,   65.16,   55.51
10/11/2013 01:20:00,   57.71,   62.32,   52.89,   60.50,   64.69,   55.82
10/11/2013 01:25:00,   58.51,   63.35,   53.15,   60.77,   65.62,   55.89
10/11/2013 01:30:00,   58.68,   65.20,   52.56,   61.01,   66.70,   55.58
10/11/2013 01:35:00,   58.29,   64.20,   52.72,   60.67,   66.36,   55.58
10/11/2013 01:40:00,   57.94,   63.97,   52.75,   60.38,   66.08,   55.56
10/11/2013 01:45:00,   58.56,   64.22,   53.01,   60.72,   65.93,   55.79
10/11/2013 01:50:00,   58.58,   64.92,   52.35,   60.70,   66.58,   55.02
10/11/2013 01:55:00,   59.10,   64.44,   52.84,   61.32,   66.46,   55.87
10/11/2013 02:00:00,   57.65,   62.54,   52.70,   60.31,   65.26,   55.61
10/11/2013 02:05:00,   57.06,   61.45,   52.40,   59.41,   63.62,   55.27
10/11/2013 02:10:00,   58.25,   64.24,   53.14,   60.60,   66.54,   56.05
10/11/2013 02:15:00,   58.45,   64.48,   52.60,   60.63,   66.09,   55.12
10/11/2013 02:20:00,   57.90,   62.95,   52.63,   60.14,   64.69,   55.51
10/11/2013 02:25:00,   59.45,   65.82,   52.80,   61.76,   68.32,   55.47
10/11/2013 02:30:00,   68.29,   66.24,   52.63,   69.50,   67.73,   55.69
10/11/2013 02:35:00,   58.74,   64.90,   52.45,   61.43,   67.05,   55.23
10/11/2013 02:40:00,   58.44,   65.27,   52.74,   60.84,   67.03,   55.59
10/11/2013 02:45:00,   58.54,   64.59,   52.80,   61.07,   66.51,   55.39
10/11/2013 02:50:00,   57.46,   63.21,   52.56,   60.21,   65.28,   55.48
10/11/2013 02:55:00,   57.97,   64.64,   52.36,   60.27,   66.49,   55.12
10/11/2013 03:00:00,   57.80,   63.04,   53.19,   60.27,   65.00,   56.18
10/11/2013 03:05:00,   58.25,   63.06,   53.04,   60.56,   64.98,   55.81
10/11/2013 03:10:00,   57.89,   63.91,   52.42,   60.23,   66.04,   55.10
10/11/2013 03:15:00,   59.18,   64.91,   52.81,   61.50,   67.01,   55.53
10/11/2013 03:20:00,   59.33,   66.10,   52.95,   61.34,   67.67,   55.57
10/11/2013 03:25:00,   57.32,   64.88,   52.58,   59.63,   66.58,   55.37
10/11/2013 03:30:00,   58.15,   64.77,   52.64,   60.50,   66.83,   55.34
10/11/2013 03:35:00,   58.43,   64.78,   52.44,   60.71,   66.74,   55.24
10/11/2013 03:40:00,   61.15,   68.02,   52.99,   63.04,   69.35,   55.85
10/11/2013 03:45:00,   58.52,   66.16,   52.32,   60.51,   67.81,   54.89
10/11/2013 03:50:00,   57.74,   63.54,   52.44,   59.97,   65.25,   55.20
10/11/2013 03:55:00,   58.34,   64.97,   52.47,   60.71,   66.96,   55.35
10/11/2013 04:00:00,   57.79,   62.97,   52.04,   60.09,   64.99,   54.82
10/11/2013 04:05:00,   58.76,   64.27,   52.87,   61.41,   66.80,   55.71
10/11/2013 04:10:00,   58.69,   64.74,   52.40,   60.83,   66.45,   55.09
10/11/2013 04:15:00,   57.93,   65.33,   51.94,   60.20,   66.89,   54.65
10/11/2013 04:20:00,   59.26,   65.49,   52.36,   61.33,   67.57,   55.00
10/11/2013 04:25:00,   58.83,   65.62,   52.16,   60.97,   67.54,   54.94
10/11/2013 04:30:00,   59.51,   65.76,   52.63,   61.58,   67.43,   55.27
10/11/2013 04:35:00,   57.43,   63.34,   52.13,   60.08,   65.29,   54.70
10/11/2013 04:40:00,   57.93,   64.36,   52.14,   60.50,   66.21,   55.32
10/11/2013 04:45:00,   57.34,   64.43,   51.84,   59.53,   66.19,   54.55
10/11/2013 04:50:00,   56.52,   61.98,   52.02,   59.02,   63.95,   54.85
10/11/2013 04:55:00,   55.52,   59.73,   51.90,   58.20,   61.68,   54.74
10/11/2013 05:00:00,   56.35,   61.64,   51.55,   58.62,   63.70,   54.36
10/11/2013 05:05:00,   56.77,   64.12,   51.21,   58.96,   65.98,   53.84
10/11/2013 05:10:00,   57.01,   64.03,   51.32,   59.47,   65.80,   54.17
10/11/2013 05:15:00,   56.61,   63.28,   51.30,   60.30,   66.15,   54.17
10/11/2013 05:20:00,   56.74,   62.72,   51.17,   59.12,   64.81,   53.92
10/11/2013 05:25:00,   56.83,   63.18,   51.11,   59.13,   64.89,   53.95
10/11/2013 05:30:00,   58.36,   64.37,   51.75,   60.49,   65.85,   54.63
10/11/2013 05:35:00,   58.86,   66.70,   51.23,   60.99,   67.87,   54.14
10/11/2013 05:40:00,   55.01,   60.61,   50.97,   57.49,   62.55,   53.98
10/11/2013 05:45:00,   55.92,   62.57,   51.22,   58.53,   65.22,   54.22
10/11/2013 05:50:00,   55.73,   59.90,   51.52,   58.53,   62.56,   54.41
10/11/2013 05:55:00,   55.55,   60.40,   51.55,   57.73,   61.89,   54.25
10/11/2013 06:00:00,   55.77,   60.39,   51.16,   58.13,   62.44,   54.07
10/11/2013 06:05:00,   57.97,   65.06,   51.54,   60.64,   67.43,   54.69
10/11/2013 06:10:00,   56.84,   62.79,   51.75,   58.96,   64.20,   54.57
10/11/2013 06:15:00,   57.07,   62.93,   51.93,   59.52,   65.01,   54.95
10/11/2013 06:20:00,   58.55,   65.02,   51.86,   61.36,   67.41,   54.74
10/11/2013 06:25:00,   57.11,   62.58,   51.90,   60.62,   65.84,   55.29
10/11/2013 06:30:00,   55.00,   58.31,   51.92,   57.95,   60.72,   55.50
10/11/2013 06:35:00,   59.64,   65.84,   53.00,   63.02,   69.68,   56.23
10/11/2013 06:40:00,   58.52,   63.18,   53.27,   60.84,   65.71,   55.87
10/11/2013 06:45:00,   58.54,   64.66,   52.36,   60.74,   65.74,   55.42
10/11/2013 06:50:00,   57.10,   62.06,   52.62,   60.38,   65.46,   55.57
10/11/2013 06:55:00,   58.80,   64.23,   53.04,   61.42,   65.88,   55.96
10/11/2013 07:00:00,   57.00,   63.86,   51.87,   59.31,   65.35,   54.93
10/11/2013 07:05:00,   58.73,   65.29,   51.91,   61.13,   66.86,   54.77
10/11/2013 07:10:00,   59.93,   65.27,   52.92,   63.02,   68.63,   56.05
10/11/2013 07:15:00,   59.54,   64.84,   52.70,   62.04,   66.75,   56.09
10/11/2013 07:20:00,   57.67,   63.54,   52.63,   60.74,   66.47,   56.12
10/11/2013 07:25:00,   58.85,   63.33,   52.32,   61.92,   65.47,   56.25
10/11/2013 07:30:00,   57.45,   63.41,   52.14,   60.71,   65.54,   56.33
10/11/2013 07:35:00,   59.65,   65.98,   52.54,   62.77,   67.97,   56.07
10/11/2013 07:40:00,   58.18,   62.92,   52.56,   60.54,   64.52,   55.58
10/11/2013 07:45:00,   58.12,   63.93,   52.56,   60.11,   65.37,   55.42
10/11/2013 07:50:00,   56.71,   60.31,   52.66,   59.41,   62.63,   55.68
10/11/2013 07:55:00,   60.56,   67.06,   52.75,   63.16,   69.12,   55.70
10/11/2013 08:00:00,   57.37,   61.13,   52.28,   60.62,   64.33,   55.48
10/11/2013 08:05:00,   58.65,   65.13,   52.33,   61.34,   67.33,   55.41
10/11/2013 08:10:00,   59.35,   65.39,   51.92,   62.01,   67.77,   54.89
10/11/2013 08:15:00,   60.54,   65.89,   52.06,   62.82,   67.79,   54.95
10/11/2013 08:20:00,   56.22,   61.21,   51.38,   58.70,   63.28,   54.50
10/11/2013 08:25:00,   56.91,   62.91,   51.74,   59.49,   64.44,   54.73
10/11/2013 08:30:00,   60.08,   66.20,   51.86,   62.92,   68.67,   55.07
10/11/2013 08:35:00,   59.53,   65.47,   51.72,   62.19,   67.51,   54.94
10/11/2013 08:40:00,   58.12,   65.12,   51.88,   62.07,   68.38,   55.04
10/11/2013 08:45:00,   58.65,   64.28,   52.45,   61.53,   65.94,   55.71
10/11/2013 08:50:00,   57.33,   63.20,   51.79,   59.99,   65.51,   54.93
10/11/2013 08:55:00,   60.19,   66.58,   51.82,   62.50,   68.27,   54.97
10/11/2013 09:00:00,   59.97,   65.96,   52.21,   62.73,   67.96,   55.74
10/11/2013 09:05:00,   59.01,   65.66,   51.77,   61.47,   67.57,   54.81
10/11/2013 09:10:00,   57.99,   64.40,   51.84,   61.24,   66.66,   55.26
10/11/2013 09:15:00,   60.98,   66.64,   51.72,   63.50,   68.60,   55.28
10/11/2013 09:20:00,   58.45,   64.21,   51.99,   61.21,   66.38,   55.59
10/11/2013 09:25:00,   58.40,   64.62,   51.85,   61.45,   66.68,   55.41
10/11/2013 09:30:00,   59.86,   65.84,   52.20,   62.46,   67.55,   55.38
10/11/2013 09:35:00,   60.81,   65.64,   52.06,   63.51,   68.33,   56.00
10/11/2013 09:40:00,   58.61,   65.22,   51.68,   61.32,   67.33,   54.98
10/11/2013 09:45:00,   61.06,   66.28,   52.09,   63.60,   67.94,   55.11
10/11/2013 09:50:00,   59.87,   65.26,   52.27,   62.48,   67.29,   55.98
10/11/2013 09:55:00,   58.66,   63.67,   52.37,   61.00,   66.04,   55.04
10/11/2013 10:00:00,   60.48,   67.16,   51.76,   63.08,   68.71,   54.73
10/11/2013 10:05:00,   58.02,   64.63,   51.49,   61.02,   66.20,   54.76
10/11/2013 10:10:00,   57.71,   63.83,   51.21,   60.24,   65.81,   54.32
10/11/2013 10:15:00,   59.66,   64.72,   51.76,   62.42,   67.25,   55.09
10/11/2013 10:20:00,   58.79,   64.29,   51.29,   61.89,   67.81,   54.74
10/11/2013 10:25:00,   61.32,   66.90,   52.95,   63.93,   69.57,   55.71
10/11/2013 10:30:00,   59.21,   65.20,   52.66,   61.63,   67.03,   55.69
10/11/2013 10:35:00,   61.27,   65.97,   52.18,   63.93,   68.16,   55.75
10/11/2013 10:40:00,   59.62,   64.41,   52.02,   61.91,   65.75,   55.03
10/11/2013 10:45:00,   60.13,   63.69,   53.12,   62.39,   65.88,   55.95
10/11/2013 10:50:00,   62.96,   66.95,   55.33,   65.12,   69.08,   58.16
10/11/2013 10:55:00,   62.53,   65.68,   59.05,   63.99,   67.08,   60.53
10/11/2013 11:00:00,   61.61,   66.31,   52.51,   64.29,   69.10,   56.27
10/11/2013 11:05:00,   58.32,   63.81,   51.47,   60.88,   66.05,   54.71
10/11/2013 11:10:00,   60.96,   67.25,   51.80,   63.44,   68.65,   55.15
10/11/2013 11:15:00,   59.75,   64.19,   51.21,   62.94,   67.23,   54.79
10/11/2013 11:20:00,   58.92,   63.90,   51.75,   62.21,   66.66,   55.16
10/11/2013 11:25:00,   61.19,   65.96,   52.46,   63.99,   67.95,   56.08
10/11/2013 11:30:00,   59.79,   64.79,   51.51,   62.51,   66.94,   55.07
10/11/2013 11:35:00,   60.63,   66.47,   51.01,   63.47,   68.27,   54.34
10/11/2013 11:40:00,   58.66,   63.99,   51.46,   62.21,   66.90,   54.94
10/11/2013 11:45:00,   59.54,   64.69,   52.13,   62.90,   66.76,   56.16
10/11/2013 11:50:00,   59.78,   65.09,   51.37,   62.77,   67.46,   54.51
10/11/2013 11:55:00,   59.58,   64.52,   52.16,   62.18,   66.73,   55.36
10/11/2013 12:00:00,   61.18,   65.23,   52.16,   64.63,   68.20,   56.09
10/11/2013 12:05:00,   60.88,   64.99,   52.76,   62.99,   66.57,   56.30
10/11/2013 12:10:00,   59.45,   65.00,   51.23,   62.39,   67.52,   54.67
10/11/2013 12:15:00,   58.24,   63.73,   51.60,   60.98,   65.99,   54.92
10/11/2013 12:20:00,   59.34,   64.47,   50.99,   62.32,   66.73,   54.34
10/11/2013 12:25:00,   58.55,   64.12,   51.41,   61.23,   66.74,   54.88
10/11/2013 12:30:00,   60.64,   65.11,   52.27,   63.46,   67.66,   55.46
10/11/2013 12:35:00,   60.36,   64.84,   51.76,   63.22,   68.71,   55.25
10/11/2013 12:40:00,   58.99,   64.04,   51.10,   62.25,   66.99,   54.87
10/11/2013 12:45:00,   58.93,   63.26,   50.65,   61.66,   65.56,   54.32
10/11/2013 12:50:00,   58.58,   64.37,   50.34,   61.91,   66.94,   54.25
10/11/2013 12:55:00,   58.49,   63.47,   51.70,   61.26,   65.95,   54.83
10/11/2013 13:00:00,   60.35,   64.40,   51.00,   63.32,   66.71,   54.60
10/11/2013 13:05:00,   60.60,   65.24,   51.58,   63.94,   68.06,   55.31
10/11/2013 13:10:00,   59.47,   64.15,   51.72,   62.04,   66.34,   54.88
10/11/2013 13:15:00,   60.88,   65.15,   52.88,   63.02,   67.51,   56.29
10/11/2013 13:20:00,   59.05,   64.03,   52.32,   62.29,   67.28,   56.02
10/11/2013 13:25:00,   60.61,   65.25,   51.76,   63.58,   67.89,   55.54
10/11/2013 13:30:00,   59.85,   65.61,   50.88,   63.53,   67.87,   54.48
10/11/2013 13:35:00,   59.68,   64.65,   51.50,   63.08,   68.03,   54.84
10/11/2013 13:40:00,   60.23,   64.36,   51.88,   62.89,   66.85,   55.61
10/11/2013 13:45:00,   61.16,   65.98,   52.66,   64.22,   68.47,   56.59
10/11/2013 13:50:00,   60.93,   64.33,   52.66,   63.07,   66.32,   56.12
10/11/2013 13:55:00,   59.97,   64.11,   51.94,   63.19,   66.25,   55.54
10/11/2013 14:00:00,   59.85,   64.41,   51.80,   62.66,   66.91,   55.94
10/11/2013 14:05:00,   60.41,   65.07,   53.32,   63.18,   67.09,   56.70
10/11/2013 14:10:00,   58.96,   63.28,   52.25,   61.83,   65.93,   56.06
10/11/2013 14:15:00,   61.16,   65.81,   52.87,   64.37,   68.61,   56.42
10/11/2013 14:20:00,   58.87,   64.09,   52.53,   61.68,   66.45,   56.23
10/11/2013 14:25:00,   61.95,   66.34,   53.18,   65.05,   70.23,   56.75
10/11/2013 14:30:00,   59.49,   64.89,   51.90,   62.71,   68.00,   55.59
10/11/2013 14:35:00,   62.65,   66.78,   52.77,   65.62,   69.81,   56.59
10/11/2013 14:40:00,   60.16,   64.14,   52.76,   62.79,   66.37,   56.29
10/11/2013 14:45:00,   60.39,   64.51,   52.44,   63.58,   67.00,   56.36
10/11/2013 14:50:00,   61.05,   65.78,   53.70,   63.57,   67.86,   57.13
10/11/2013 14:55:00,   62.07,   66.57,   52.25,   64.97,   69.59,   56.14
10/11/2013 15:00:00,   62.23,   65.66,   54.21,   64.45,   67.78,   57.92
10/11/2013 15:05:00,   63.31,   66.57,   53.43,   65.50,   68.67,   57.15
10/11/2013 15:10:00,   61.65,   65.28,   53.38,   63.65,   67.21,   56.91
10/11/2013 15:15:00,   63.39,   66.26,   53.02,   65.40,   68.18,   57.11
10/11/2013 15:20:00,   62.01,   66.39,   52.59,   64.70,   69.44,   56.24
10/11/2013 15:25:00,   63.54,   67.30,   55.67,   65.36,   69.15,   58.68
10/11/2013 15:30:00,   62.36,   65.16,   55.72,   64.89,   67.78,   58.46
10/11/2013 15:35:00,   58.02,   63.04,   51.48,   60.83,   65.01,   54.82
10/11/2013 15:40:00,   60.69,   65.47,   52.59,   63.47,   67.96,   55.98
10/11/2013 15:45:00,   62.95,   66.99,   52.53,   65.54,   69.37,   55.96
10/11/2013 15:50:00,   60.32,   65.32,   51.65,   63.38,   67.91,   55.44
10/11/2013 15:55:00,   62.49,   65.00,   53.40,   64.84,   67.36,   57.13
10/11/2013 16:00:00,   61.53,   65.59,   53.84,   64.41,   68.38,   57.66
10/11/2013 16:05:00,   60.35,   65.43,   52.43,   63.47,   68.06,   55.82
10/11/2013 16:10:00,   60.50,   64.54,   53.01,   63.75,   67.66,   56.30
10/11/2013 16:15:00,   59.37,   63.79,   52.59,   62.44,   66.72,   56.17
10/11/2013 16:20:00,   61.49,   66.75,   52.52,   64.21,   68.82,   55.93
10/11/2013 16:25:00,   58.82,   64.30,   51.88,   61.80,   66.86,   55.74
10/11/2013 16:30:00,   62.48,   67.89,   54.11,   66.46,   70.87,   58.10
10/11/2013 16:35:00,   60.20,   64.18,   52.56,   62.85,   66.60,   55.88
10/11/2013 16:40:00,   58.44,   63.19,   52.04,   61.70,   66.14,   55.46
10/11/2013 16:45:00,   62.24,   65.59,   53.03,   65.59,   68.84,   56.85
10/11/2013 16:50:00,   61.83,   66.16,   52.41,   64.51,   68.59,   56.12
10/11/2013 16:55:00,   58.90,   63.95,   51.82,   61.89,   65.83,   55.65
10/11/2013 17:00:00,   58.78,   63.52,   51.50,   62.51,   66.22,   55.12
10/11/2013 17:05:00,   61.92,   66.31,   53.49,   65.06,   68.57,   57.49
10/11/2013 17:10:00,   61.48,   66.37,   52.92,   65.04,   69.51,   56.37
10/11/2013 17:15:00,   60.54,   65.75,   51.75,   63.46,   68.27,   55.36
10/11/2013 17:20:00,   59.14,   64.35,   51.71,   62.71,   67.60,   55.34
10/11/2013 17:25:00,   61.69,   68.13,   53.37,   64.37,   70.12,   56.82
10/11/2013 17:30:00,   60.49,   65.34,   52.82,   63.46,   67.91,   56.26
10/11/2013 17:35:00,   60.34,   65.07,   51.90,   63.20,   67.40,   55.43
10/11/2013 17:40:00,   59.21,   64.21,   52.15,   61.75,   66.38,   55.53
10/11/2013 17:45:00,   60.90,   67.54,   52.31,   63.88,   69.86,   55.62
10/11/2013 17:50:00,   60.88,   66.29,   51.66,   63.89,   68.64,   55.57
10/11/2013 17:55:00,   60.82,   64.82,   52.18,   63.47,   66.95,   55.78
10/11/2013 18:00:00,   58.36,   64.40,   52.55,   60.97,   66.36,   55.95
10/11/2013 18:05:00,   62.65,   67.58,   52.96,   65.13,   69.93,   56.79
10/11/2013 18:10:00,   61.35,   66.15,   53.03,   64.29,   68.64,   56.50
10/11/2013 18:15:00,   59.87,   64.96,   53.63,   62.91,   67.89,   56.84
10/11/2013 18:20:00,   61.71,   66.62,   54.03,   64.51,   68.57,   57.06
10/11/2013 18:25:00,   61.96,   66.37,   54.27,   63.59,   67.48,   57.28
10/11/2013 18:30:00,   61.92,   67.29,   54.21,   64.94,   70.32,   57.08
10/11/2013 18:35:00,   60.92,   66.48,   53.76,   63.48,   68.75,   56.71
10/11/2013 18:40:00,   62.53,   67.57,   54.28,   64.91,   69.61,   57.30
10/11/2013 18:45:00,   61.43,   66.39,   53.92,   63.53,   68.08,   56.76
10/11/2013 18:50:00,   63.40,   67.72,   54.97,   65.71,   69.92,   57.96
10/11/2013 18:55:00,   62.69,   67.29,   54.81,   64.51,   68.46,   57.91
10/11/2013 19:00:00,   61.90,   67.46,   54.73,   64.14,   68.86,   57.69
10/11/2013 19:05:00,   62.39,   67.24,   55.10,   64.42,   68.75,   58.06
10/11/2013 19:10:00,   62.27,   67.31,   55.13,   65.02,   69.56,   57.87
10/11/2013 19:15:00,   63.08,   68.41,   55.83,   65.05,   69.44,   58.44
10/11/2013 19:20:00,   63.65,   68.61,   56.38,   65.50,   69.92,   58.87
10/11/2013 19:25:00,   63.65,   68.47,   55.11,   65.02,   69.43,   57.61
10/11/2013 19:30:00,   64.11,   68.87,   56.66,   66.12,   70.29,   59.14
10/11/2013 19:35:00,   63.77,   68.82,   57.18,   65.26,   69.66,   59.91
