# noise_analysis run from DCC-NOISE-001011 at Fri Nov 15 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/11/2013 00:05:00,   56.68,   61.66,   51.31,   59.57,   63.83,   54.47
15/11/2013 00:10:00,   58.80,   64.55,   51.23,   60.98,   65.89,   54.48
15/11/2013 00:15:00,   57.73,   64.10,   51.45,   60.47,   66.41,   54.65
15/11/2013 00:20:00,   60.00,   65.14,   52.69,   62.62,   67.43,   55.76
15/11/2013 00:25:00,   56.05,   60.52,   52.15,   58.70,   63.11,   55.09
15/11/2013 00:30:00,   57.95,   65.30,   52.08,   60.35,   66.77,   54.93
15/11/2013 00:35:00,   57.82,   64.91,   51.72,   60.62,   67.17,   54.90
15/11/2013 00:40:00,   58.92,   62.95,   52.05,   61.14,   65.22,   55.12
15/11/2013 00:45:00,   58.56,   64.95,   52.14,   60.90,   66.57,   55.17
15/11/2013 00:50:00,   56.95,   62.22,   51.59,   59.57,   64.49,   54.63
15/11/2013 00:55:00,   55.60,   59.95,   51.80,   58.32,   62.25,   54.62
15/11/2013 01:00:00,   55.83,   61.68,   51.27,   58.11,   63.37,   54.08
15/11/2013 01:05:00,   58.47,   64.61,   51.42,   60.53,   66.66,   54.27
15/11/2013 01:10:00,   55.92,   61.52,   51.15,   58.76,   63.60,   54.03
15/11/2013 01:15:00,   56.49,   61.15,   52.28,   59.03,   63.06,   55.35
15/11/2013 01:20:00,   55.77,   60.15,   51.31,   58.66,   62.79,   54.54
15/11/2013 01:25:00,   56.42,   62.90,   51.27,   58.92,   64.19,   54.13
15/11/2013 01:30:00,   55.81,   62.43,   50.39,   58.96,   65.34,   53.43
15/11/2013 01:35:00,   62.96,   73.62,   50.49,   66.43,   77.79,   53.50
15/11/2013 01:40:00,   55.00,   60.15,   50.63,   57.74,   62.44,   53.57
15/11/2013 01:45:00,   55.73,   61.27,   50.84,   58.17,   62.92,   53.65
15/11/2013 01:50:00,   55.90,   61.73,   50.91,   58.11,   63.43,   53.94
15/11/2013 01:55:00,   54.57,   59.27,   50.31,   57.02,   61.54,   53.37
15/11/2013 02:00:00,   54.51,   59.44,   50.40,   57.12,   62.14,   53.31
15/11/2013 02:05:00,   53.31,   57.40,   50.36,   55.95,   59.86,   53.28
15/11/2013 02:10:00,   54.94,   60.36,   50.78,   57.32,   62.22,   53.69
15/11/2013 02:15:00,   55.30,   60.16,   50.48,   57.67,   62.35,   53.43
15/11/2013 02:20:00,   54.48,   60.13,   50.44,   56.91,   61.84,   53.30
15/11/2013 02:25:00,   56.40,   63.04,   50.31,   58.66,   64.51,   53.24
15/11/2013 02:30:00,   53.60,   56.40,   50.19,   56.41,   60.18,   53.08
15/11/2013 02:35:00,   55.22,   60.92,   50.53,   57.50,   62.41,   53.40
15/11/2013 02:40:00,   53.00,   57.55,   49.96,   55.59,   59.56,   52.96
15/11/2013 02:45:00,   54.93,   59.53,   50.30,   57.61,   62.20,   53.14
15/11/2013 02:50:00,   54.89,   59.86,   50.20,   57.71,   62.64,   53.19
15/11/2013 02:55:00,   54.06,   58.10,   50.03,   56.60,   60.25,   53.05
15/11/2013 03:00:00,   53.87,   58.52,   50.33,   56.58,   61.00,   53.34
15/11/2013 03:05:00,   54.99,   61.13,   50.35,   57.68,   63.40,   53.24
15/11/2013 03:10:00,   53.85,   58.14,   50.25,   56.51,   60.67,   53.13
15/11/2013 03:15:00,   58.16,   64.40,   50.74,   61.02,   66.94,   53.50
15/11/2013 03:20:00,   54.77,   59.12,   50.78,   57.60,   61.23,   53.90
15/11/2013 03:25:00,   57.05,   61.71,   50.90,   60.25,   65.48,   54.16
15/11/2013 03:30:00,   56.36,   63.31,   50.45,   58.98,   65.26,   53.41
15/11/2013 03:35:00,   54.66,   59.21,   50.88,   57.48,   61.93,   53.88
15/11/2013 03:40:00,   54.64,   58.92,   50.73,   57.33,   61.47,   53.85
15/11/2013 03:45:00,   55.55,   60.96,   50.83,   58.30,   62.56,   53.96
15/11/2013 03:50:00,   56.51,   62.71,   50.58,   59.12,   64.62,   53.51
15/11/2013 03:55:00,   56.70,   63.61,   50.64,   59.01,   65.26,   53.43
15/11/2013 04:00:00,   56.32,   63.49,   50.53,   58.87,   65.44,   53.64
15/11/2013 04:05:00,   54.67,   59.76,   50.17,   57.38,   62.33,   53.29
15/11/2013 04:10:00,   55.64,   61.28,   50.49,   58.51,   63.59,   53.53
15/11/2013 04:15:00,   53.95,   57.60,   50.94,   56.82,   60.91,   53.76
