# noise_analysis run from DCC-NOISE-001011 at Thu Nov 21 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
21/11/2013 00:05:00,   59.53,   64.07,   52.32,   63.06,   68.95,   55.63
21/11/2013 00:10:00,   55.90,   61.34,   51.80,   58.56,   63.10,   54.92
21/11/2013 00:15:00,   60.03,   65.49,   51.91,   62.33,   67.32,   55.33
21/11/2013 00:20:00,   58.24,   63.74,   52.53,   61.16,   65.66,   56.01
21/11/2013 00:25:00,   57.74,   62.72,   51.84,   60.72,   65.24,   55.03
21/11/2013 00:30:00,   58.11,   63.95,   51.97,   60.90,   66.19,   55.13
21/11/2013 00:35:00,   58.43,   62.68,   52.00,   61.28,   65.54,   55.37
21/11/2013 00:40:00,   58.02,   63.51,   52.57,   60.62,   65.51,   55.77
21/11/2013 00:45:00,   58.90,   65.00,   53.18,   61.79,   66.85,   56.99
21/11/2013 00:50:00,   59.23,   63.99,   52.80,   62.73,   66.50,   56.32
21/11/2013 00:55:00,   63.23,   73.23,   51.13,   67.14,   77.72,   54.51
21/11/2013 01:00:00,   55.01,   59.76,   51.07,   58.38,   62.61,   54.41
21/11/2013 01:05:00,   56.58,   60.94,   51.15,   59.64,   63.58,   54.35
21/11/2013 01:10:00,   55.48,   60.70,   50.70,   58.41,   63.69,   53.96
21/11/2013 01:15:00,   55.16,   61.58,   50.78,   57.90,   63.46,   53.96
21/11/2013 01:20:00,   55.85,   61.12,   51.04,   58.46,   62.90,   54.11
21/11/2013 01:25:00,   55.74,   62.61,   50.81,   58.24,   64.02,   54.18
21/11/2013 01:30:00,   53.04,   56.05,   50.49,   56.24,   58.85,   53.79
21/11/2013 01:35:00,   53.30,   58.29,   50.32,   56.57,   60.90,   53.55
21/11/2013 01:40:00,   53.18,   56.52,   50.49,   56.66,   60.21,   53.74
21/11/2013 01:45:00,   52.44,   54.00,   50.62,   55.93,   58.33,   53.72
21/11/2013 01:50:00,   53.58,   55.64,   50.62,   56.56,   58.95,   53.75
21/11/2013 01:55:00,   54.44,   58.98,   50.85,   57.28,   61.40,   53.94
21/11/2013 02:00:00,   53.82,   57.04,   50.93,   56.54,   59.61,   54.13
21/11/2013 02:05:00,   54.70,   60.46,   50.48,   57.46,   62.49,   53.92
21/11/2013 02:10:00,   54.53,   60.61,   50.28,   57.28,   62.48,   53.63
21/11/2013 02:15:00,   56.30,   62.71,   50.94,   59.29,   64.68,   54.08
21/11/2013 02:20:00,   55.15,   59.84,   51.02,   58.17,   62.71,   54.18
