# noise_analysis run from DCC-NOISE-001011 at Mon Nov 25 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
25/11/2013 00:05:00,   58.78,   66.03,   50.51,   61.25,   67.80,   53.54
25/11/2013 00:10:00,   56.41,   62.12,   50.10,   58.76,   63.81,   53.53
25/11/2013 00:15:00,   55.28,   60.90,   50.54,   58.03,   62.93,   53.81
25/11/2013 00:20:00,   57.41,   64.11,   50.47,   59.73,   66.12,   53.93
25/11/2013 00:25:00,   56.00,   61.14,   50.38,   58.36,   63.29,   53.36
25/11/2013 00:30:00,   56.38,   63.29,   50.35,   58.66,   64.95,   53.33
25/11/2013 00:35:00,   56.11,   62.34,   50.12,   58.73,   64.19,   53.22
25/11/2013 00:40:00,   55.13,   61.05,   49.98,   57.93,   63.18,   53.51
25/11/2013 00:45:00,   54.16,   58.86,   49.91,   57.43,   61.91,   53.28
25/11/2013 00:50:00,   55.27,   61.50,   49.91,   57.63,   63.20,   53.16
25/11/2013 00:55:00,   56.57,   63.85,   50.32,   58.63,   65.09,   53.44
25/11/2013 01:00:00,   55.07,   60.27,   49.95,   57.53,   62.25,   53.09
25/11/2013 01:05:00,   53.35,   56.24,   49.94,   56.17,   58.60,   53.08
25/11/2013 01:10:00,   54.98,   62.23,   49.79,   57.28,   63.58,   52.90
25/11/2013 01:15:00,   54.06,   59.31,   49.89,   56.51,   61.14,   53.03
25/11/2013 01:20:00,   53.93,   59.23,   50.00,   56.52,   60.93,   53.20
25/11/2013 01:25:00,   54.18,   59.76,   49.70,   56.81,   61.79,   52.88
25/11/2013 01:30:00,   53.80,   59.18,   49.96,   57.12,   61.13,   53.16
25/11/2013 01:35:00,   51.17,   52.38,   49.75,   54.03,   55.00,   52.76
25/11/2013 01:40:00,   52.60,   55.51,   49.73,   55.74,   59.24,   52.86
25/11/2013 01:45:00,   57.98,   63.52,   49.90,   61.59,   65.52,   53.07
25/11/2013 01:50:00,   60.31,   70.75,   50.00,   64.19,   76.00,   53.10
25/11/2013 01:55:00,   52.80,   55.40,   49.66,   56.50,   59.24,   52.70
25/11/2013 02:00:00,   52.81,   56.62,   50.07,   56.82,   59.70,   54.50
25/11/2013 02:05:00,   53.05,   57.04,   49.49,   56.16,   60.10,   52.56
25/11/2013 02:10:00,   52.16,   56.25,   49.49,   55.38,   58.66,   52.98
25/11/2013 02:15:00,   52.67,   58.00,   49.35,   55.44,   59.97,   52.54
25/11/2013 02:20:00,   51.98,   55.90,   49.32,   55.07,   58.60,   52.63
25/11/2013 02:25:00,   52.33,   55.35,   49.41,   55.26,   57.98,   52.75
25/11/2013 02:30:00,   53.07,   57.93,   49.27,   56.43,   60.97,   52.40
25/11/2013 02:35:00,   54.18,   59.93,   49.18,   56.61,   61.77,   52.31
25/11/2013 02:40:00,   53.21,   58.37,   49.41,   56.10,   60.65,   52.76
25/11/2013 02:45:00,   53.98,   59.91,   49.24,   56.61,   61.78,   52.40
25/11/2013 02:50:00,   54.87,   62.25,   49.28,   57.18,   63.65,   52.47
25/11/2013 02:55:00,   53.62,   60.31,   49.49,   56.18,   62.29,   52.49
25/11/2013 03:00:00,   52.66,   58.41,   49.23,   55.10,   60.14,   52.18
25/11/2013 03:05:00,   55.36,   61.85,   49.77,   57.91,   63.81,   52.76
25/11/2013 03:10:00,   54.39,   59.23,   49.47,   57.15,   61.59,   52.63
25/11/2013 03:15:00,   54.44,   58.87,   50.06,   56.94,   61.04,   52.93
25/11/2013 03:20:00,   54.02,   59.96,   49.47,   56.34,   61.38,   52.46
25/11/2013 03:25:00,   54.82,   62.08,   49.45,   56.92,   63.12,   52.53
25/11/2013 03:30:00,   52.96,   58.70,   49.49,   56.45,   61.20,   52.53
25/11/2013 03:35:00,   53.69,   57.46,   49.64,   56.14,   59.66,   52.57
25/11/2013 03:40:00,   53.46,   57.61,   49.85,   56.22,   59.81,   52.69
25/11/2013 03:45:00,   56.89,   65.27,   49.77,   59.64,   67.41,   52.78
