# noise_analysis run from DCC-NOISE-001011 at Tue Nov 26 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
26/11/2013 00:05:00,   58.37,   64.34,   50.50,   60.69,   65.64,   53.64
26/11/2013 00:10:00,   55.64,   60.23,   50.89,   58.21,   62.24,   54.05
26/11/2013 00:15:00,   58.55,   62.89,   51.39,   61.02,   64.56,   54.63
26/11/2013 00:20:00,   56.65,   63.54,   50.95,   59.43,   66.59,   54.02
26/11/2013 00:25:00,   59.18,   64.93,   50.61,   61.24,   66.49,   53.47
26/11/2013 00:30:00,   58.01,   64.54,   50.95,   60.22,   66.59,   53.90
26/11/2013 00:35:00,   54.70,   60.34,   50.58,   57.12,   61.61,   53.70
26/11/2013 00:40:00,   58.24,   62.85,   50.96,   60.50,   64.39,   53.78
26/11/2013 00:45:00,   57.53,   62.67,   51.10,   60.01,   65.14,   53.90
26/11/2013 00:50:00,   58.85,   66.05,   50.33,   60.91,   67.64,   53.47
26/11/2013 00:55:00,   61.36,   71.50,   50.88,   65.37,   76.07,   54.02
26/11/2013 01:00:00,   52.69,   55.38,   49.79,   55.81,   58.78,   52.96
26/11/2013 01:05:00,   54.15,   59.86,   49.65,   57.03,   62.40,   52.89
26/11/2013 01:10:00,   54.38,   61.05,   49.83,   57.01,   62.80,   53.16
26/11/2013 01:15:00,   54.02,   57.97,   50.01,   56.53,   59.85,   53.12
26/11/2013 01:20:00,   53.55,   59.69,   49.41,   56.06,   61.75,   52.44
26/11/2013 01:25:00,   54.64,   59.24,   49.68,   57.28,   61.87,   52.72
26/11/2013 01:30:00,   54.56,   60.39,   49.69,   56.59,   61.61,   52.59
26/11/2013 01:35:00,   53.37,   57.04,   49.95,   55.78,   59.01,   52.98
26/11/2013 01:40:00,   55.01,   59.64,   50.01,   57.32,   61.40,   53.15
26/11/2013 01:45:00,   54.57,   59.99,   49.88,   58.89,   63.07,   53.03
26/11/2013 01:50:00,   52.25,   54.75,   49.43,   54.98,   56.88,   52.46
26/11/2013 01:55:00,   54.69,   60.86,   49.83,   57.02,   62.18,   52.94
26/11/2013 02:00:00,   53.44,   56.74,   49.44,   56.20,   59.42,   52.66
26/11/2013 02:05:00,   54.36,   59.45,   49.93,   56.94,   61.85,   53.07
26/11/2013 02:10:00,   52.67,   56.96,   49.72,   55.73,   58.95,   53.09
26/11/2013 02:15:00,   54.30,   60.78,   49.60,   56.83,   63.13,   52.50
