# noise_analysis run from DCC-NOISE-001011 at Wed Nov 27 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
27/11/2013 00:05:00,   55.28,   59.44,   51.38,   58.18,   61.35,   54.61
27/11/2013 00:10:00,   57.51,   62.44,   51.43,   60.16,   64.99,   54.47
27/11/2013 00:15:00,   58.49,   64.66,   51.36,   61.02,   66.48,   54.69
27/11/2013 00:20:00,   59.46,   66.28,   51.95,   61.52,   67.93,   54.76
27/11/2013 00:25:00,   58.75,   64.11,   52.15,   62.30,   68.57,   55.43
27/11/2013 00:30:00,   58.96,   65.04,   51.69,   61.36,   67.04,   54.71
27/11/2013 00:35:00,   57.05,   62.59,   51.52,   59.71,   64.86,   54.57
27/11/2013 00:40:00,   57.23,   62.78,   50.93,   59.79,   64.68,   53.85
27/11/2013 00:45:00,   58.35,   63.90,   51.43,   60.97,   66.56,   54.37
27/11/2013 00:50:00,   57.42,   64.41,   50.93,   60.41,   66.31,   54.17
27/11/2013 00:55:00,   58.57,   63.32,   50.89,   62.27,   65.45,   53.81
27/11/2013 01:00:00,   59.07,   65.48,   50.29,   62.78,   67.34,   53.34
27/11/2013 01:05:00,   53.21,   56.50,   50.51,   55.94,   59.00,   53.46
27/11/2013 01:10:00,   57.52,   63.37,   50.96,   60.62,   65.51,   54.18
27/11/2013 01:15:00,   55.84,   62.03,   50.39,   58.24,   63.86,   53.60
27/11/2013 01:20:00,   54.98,   61.73,   50.32,   57.80,   64.46,   53.34
27/11/2013 01:25:00,   54.46,   59.66,   49.82,   56.98,   62.19,   52.84
27/11/2013 01:30:00,   53.48,   57.85,   50.21,   56.58,   61.04,   53.27
27/11/2013 01:35:00,   54.94,   61.11,   49.96,   57.56,   63.14,   53.10
27/11/2013 01:40:00,   53.49,   57.22,   50.13,   56.29,   59.81,   53.33
27/11/2013 01:45:00,   55.39,   61.84,   50.16,   58.28,   63.87,   53.32
27/11/2013 01:50:00,   52.61,   55.43,   49.94,   55.91,   59.66,   53.18
27/11/2013 01:55:00,   54.05,   58.49,   50.11,   56.79,   60.64,   53.31
27/11/2013 02:00:00,   54.63,   59.06,   50.02,   56.94,   61.16,   53.22
