# noise_analysis run from DCC-NOISE-001011 at Sat Nov 30 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
30/11/2013 00:05:00,   60.39,   66.53,   53.59,   62.62,   68.09,   56.84
30/11/2013 00:10:00,   60.87,   65.83,   54.13,   63.35,   67.82,   57.25
30/11/2013 00:15:00,   60.77,   66.11,   54.00,   63.11,   67.85,   57.25
30/11/2013 00:20:00,   58.86,   64.29,   53.78,   61.66,   66.04,   56.82
30/11/2013 00:25:00,   62.03,   67.38,   54.32,   64.70,   70.47,   57.54
30/11/2013 00:30:00,   59.38,   64.00,   53.82,   62.08,   66.17,   56.74
30/11/2013 00:35:00,   60.56,   65.75,   53.97,   62.98,   67.71,   57.18
30/11/2013 00:40:00,   57.82,   63.58,   53.34,   60.67,   65.72,   56.34
30/11/2013 00:45:00,   60.77,   64.93,   53.78,   62.60,   66.48,   56.51
30/11/2013 00:50:00,   60.05,   65.64,   53.12,   62.01,   67.33,   55.96
30/11/2013 00:55:00,   58.99,   64.94,   53.12,   61.38,   66.81,   56.07
30/11/2013 01:00:00,   61.44,   65.12,   52.96,   62.77,   66.57,   56.11
30/11/2013 01:05:00,   60.34,   66.03,   53.16,   62.20,   67.71,   56.03
30/11/2013 01:10:00,   63.85,   65.08,   53.68,   65.20,   66.27,   56.66
30/11/2013 01:15:00,   59.41,   65.17,   53.40,   61.43,   66.81,   56.11
30/11/2013 01:20:00,   57.09,   62.35,   52.55,   59.47,   63.89,   55.72
30/11/2013 01:25:00,   57.99,   64.43,   51.51,   60.19,   65.75,   54.79
30/11/2013 01:30:00,   58.61,   64.84,   51.90,   60.76,   66.55,   54.98
30/11/2013 01:35:00,   57.50,   63.31,   52.37,   60.35,   65.54,   55.48
30/11/2013 01:40:00,   58.21,   63.11,   52.84,   61.07,   65.75,   55.94
30/11/2013 01:45:00,   58.52,   64.66,   52.89,   61.38,   66.68,   55.87
30/11/2013 01:50:00,   58.30,   65.82,   51.57,   60.51,   67.69,   54.74
30/11/2013 01:55:00,   57.33,   62.89,   51.82,   59.72,   64.77,   54.87
30/11/2013 02:00:00,   57.75,   63.90,   52.60,   59.76,   65.18,   55.50
30/11/2013 02:05:00,   58.61,   64.53,   52.74,   60.88,   66.58,   55.67
30/11/2013 02:10:00,   57.63,   64.00,   51.96,   60.09,   65.78,   55.03
30/11/2013 02:15:00,   57.76,   62.87,   52.71,   60.23,   64.80,   55.71
30/11/2013 02:20:00,   57.96,   63.44,   53.38,   60.81,   65.64,   56.20
30/11/2013 02:25:00,   58.62,   65.44,   52.84,   61.07,   67.26,   55.74
30/11/2013 02:30:00,   58.41,   64.93,   52.27,   60.64,   66.47,   55.33
30/11/2013 02:35:00,   58.34,   64.29,   52.13,   60.50,   65.69,   55.09
30/11/2013 02:40:00,   58.23,   64.09,   52.84,   60.49,   65.55,   55.58
30/11/2013 02:45:00,   57.80,   65.04,   52.60,   60.12,   66.68,   55.49
30/11/2013 02:50:00,   58.19,   63.28,   52.86,   61.37,   66.28,   56.03
30/11/2013 02:55:00,   58.66,   65.09,   52.99,   60.93,   66.51,   55.97
30/11/2013 03:00:00,   57.36,   63.13,   52.43,   59.62,   64.66,   55.54
30/11/2013 03:05:00,   59.84,   65.92,   52.77,   61.61,   67.47,   55.74
30/11/2013 03:10:00,   57.69,   62.20,   52.27,   59.51,   62.61,   55.39
30/11/2013 03:15:00,   58.40,   65.04,   51.89,   60.54,   66.42,   54.90
30/11/2013 03:20:00,   56.63,   61.32,   52.07,   59.20,   63.33,   54.99
30/11/2013 03:25:00,   59.38,   64.94,   52.60,   61.47,   66.74,   55.73
30/11/2013 03:30:00,   57.00,   62.30,   51.78,   59.31,   64.09,   54.77
30/11/2013 03:35:00,   60.35,   66.42,   53.08,   62.48,   68.46,   56.22
30/11/2013 03:40:00,   59.16,   65.18,   52.61,   61.23,   66.47,   55.65
30/11/2013 03:45:00,   58.70,   64.56,   52.71,   60.82,   66.44,   55.50
30/11/2013 03:50:00,   59.94,   66.10,   52.43,   61.99,   67.60,   55.47
30/11/2013 03:55:00,   58.54,   65.96,   52.12,   60.81,   67.34,   55.19
30/11/2013 04:00:00,   57.11,   63.07,   51.85,   59.54,   64.95,   54.88
30/11/2013 04:05:00,   57.56,   62.86,   52.11,   59.97,   64.92,   54.97
30/11/2013 04:10:00,   58.68,   64.80,   52.54,   61.21,   66.27,   55.57
30/11/2013 04:15:00,   58.14,   65.16,   51.92,   60.35,   66.81,   55.16
30/11/2013 04:20:00,   57.12,   62.92,   52.18,   59.45,   64.75,   55.03
30/11/2013 04:25:00,   57.99,   64.60,   51.76,   60.29,   66.28,   54.62
30/11/2013 04:30:00,   59.01,   66.22,   51.67,   61.31,   67.96,   54.53
30/11/2013 04:35:00,   58.61,   65.71,   51.60,   60.79,   67.39,   54.79
30/11/2013 04:40:00,   57.57,   62.63,   51.61,   60.15,   64.29,   55.02
30/11/2013 04:45:00,   58.12,   64.83,   51.93,   60.33,   66.28,   55.05
30/11/2013 04:50:00,   57.71,   63.90,   52.25,   60.22,   65.91,   55.63
30/11/2013 04:55:00,   56.67,   63.25,   51.71,   59.11,   64.79,   54.71
30/11/2013 05:00:00,   55.94,   61.09,   51.59,   58.37,   62.79,   54.60
30/11/2013 05:05:00,   57.75,   63.72,   52.04,   60.08,   65.44,   55.08
30/11/2013 05:10:00,   57.52,   63.60,   52.00,   59.90,   65.11,   55.30
30/11/2013 05:15:00,   58.34,   65.82,   51.83,   60.68,   67.39,   55.06
30/11/2013 05:20:00,   55.48,   61.83,   51.36,   58.57,   64.39,   54.51
30/11/2013 05:25:00,   56.49,   62.82,   51.61,   59.34,   65.38,   54.75
30/11/2013 05:30:00,   58.16,   65.11,   52.18,   61.10,   67.05,   55.91
30/11/2013 05:35:00,   58.56,   63.56,   52.05,   61.42,   66.26,   55.12
30/11/2013 05:40:00,   58.35,   64.55,   51.73,   61.25,   66.68,   54.82
30/11/2013 05:45:00,   57.11,   63.99,   51.45,   59.60,   65.91,   54.57
30/11/2013 05:50:00,   58.19,   63.99,   51.29,   60.95,   65.76,   54.87
30/11/2013 05:55:00,   59.08,   65.30,   51.74,   61.87,   67.35,   55.97
30/11/2013 06:00:00,   59.16,   64.93,   52.52,   62.38,   67.65,   56.74
30/11/2013 06:05:00,   58.35,   64.54,   52.42,   61.26,   66.93,   56.16
30/11/2013 06:10:00,   58.20,   64.23,   52.66,   60.88,   66.19,   56.11
30/11/2013 06:15:00,   60.41,   66.73,   52.87,   63.83,   69.71,   56.98
30/11/2013 06:20:00,   58.84,   64.36,   52.71,   62.48,   67.82,   56.53
30/11/2013 06:25:00,   57.81,   63.45,   52.28,   61.11,   66.03,   56.11
30/11/2013 06:30:00,   57.65,   63.22,   52.73,   60.97,   65.44,   56.67
30/11/2013 06:35:00,   60.43,   66.24,   52.80,   63.08,   68.27,   56.44
30/11/2013 06:40:00,   64.78,   72.40,   53.31,   67.19,   73.75,   57.59
30/11/2013 06:45:00,   59.14,   65.28,   52.77,   62.29,   67.70,   57.33
30/11/2013 06:50:00,   60.46,   66.56,   53.50,   63.56,   68.84,   57.62
30/11/2013 06:55:00,   59.01,   63.73,   53.08,   62.18,   65.96,   57.07
30/11/2013 07:00:00,   60.14,   65.81,   52.74,   63.93,   68.94,   56.81
30/11/2013 07:05:00,   61.04,   66.45,   53.41,   64.81,   69.37,   58.17
30/11/2013 07:10:00,   60.94,   67.86,   52.56,   63.90,   69.87,   56.56
30/11/2013 07:15:00,   62.01,   69.18,   53.00,   66.36,   73.31,   56.76
30/11/2013 07:20:00,   59.70,   64.21,   53.87,   63.60,   66.94,   57.41
30/11/2013 07:25:00,   62.63,   67.88,   54.51,   65.42,   70.40,   57.85
30/11/2013 07:30:00,   59.77,   66.01,   53.55,   62.83,   68.33,   56.78
30/11/2013 07:35:00,   60.17,   66.06,   53.36,   62.56,   67.81,   57.11
30/11/2013 07:40:00,   62.33,   67.43,   55.71,   65.46,   70.49,   59.55
30/11/2013 07:45:00,   61.97,   67.96,   54.43,   64.54,   69.53,   57.92
30/11/2013 07:50:00,   59.61,   64.72,   54.07,   62.23,   66.73,   57.28
30/11/2013 07:55:00,   59.51,   65.27,   53.64,   61.94,   66.91,   57.12
