# noise_analysis run from DCC-NOISE-001011 at Tue Oct  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/10/2013 00:05:00,   54.15,   59.76,   48.83,   58.63,   63.70,   53.28
01/10/2013 00:10:00,   56.74,   61.36,   48.22,   60.87,   64.15,   52.86
01/10/2013 00:15:00,   58.20,   65.70,   47.28,   61.65,   67.71,   52.05
01/10/2013 00:20:00,   56.90,   63.65,   48.00,   60.48,   65.76,   52.81
01/10/2013 00:25:00,   58.94,   65.79,   48.75,   63.06,   69.84,   53.60
01/10/2013 00:30:00,   57.01,   63.81,   47.47,   60.64,   66.77,   52.04
01/10/2013 00:35:00,   54.47,   61.97,   47.68,   57.51,   63.61,   52.06
01/10/2013 00:40:00,   58.80,   64.53,   49.29,   62.44,   67.24,   53.53
01/10/2013 00:45:00,   59.01,   66.38,   49.28,   62.21,   67.97,   53.65
01/10/2013 00:50:00,   57.28,   65.39,   47.57,   60.80,   67.48,   51.88
01/10/2013 00:55:00,   52.33,   57.47,   45.77,   55.59,   60.18,   50.30
01/10/2013 01:00:00,   55.19,   63.02,   47.75,   58.60,   65.13,   52.20
01/10/2013 01:05:00,   56.52,   62.96,   46.92,   60.37,   66.38,   51.29
01/10/2013 01:10:00,   52.70,   59.56,   46.73,   56.23,   61.96,   51.08
01/10/2013 01:15:00,   53.56,   59.48,   46.92,   57.34,   62.96,   52.05
01/10/2013 01:20:00,   55.75,   62.96,   47.02,   59.46,   65.33,   52.14
01/10/2013 01:25:00,   53.46,   59.83,   46.62,   56.87,   62.66,   50.78
01/10/2013 01:30:00,   50.72,   55.50,   46.43,   54.68,   58.76,   50.92
01/10/2013 01:35:00,   62.88,   72.50,   47.67,   67.19,   77.14,   51.86
01/10/2013 01:40:00,   52.11,   55.80,   46.25,   56.17,   60.45,   50.90
01/10/2013 01:45:00,   52.53,   58.10,   46.06,   56.06,   60.86,   50.86
01/10/2013 01:50:00,   55.42,   62.72,   47.60,   59.34,   65.30,   52.23
01/10/2013 01:55:00,   53.38,   59.97,   47.00,   57.59,   63.64,   51.51
01/10/2013 02:00:00,   54.59,   61.63,   46.68,   57.79,   64.55,   51.05
01/10/2013 02:05:00,   52.92,   60.53,   46.20,   56.43,   62.81,   50.59
01/10/2013 02:10:00,   54.14,   61.77,   46.55,   57.82,   64.36,   51.24
01/10/2013 02:15:00,   55.19,   62.32,   46.85,   59.07,   65.16,   51.50
01/10/2013 02:20:00,   54.40,   61.74,   47.08,   57.94,   64.13,   51.88
01/10/2013 02:25:00,   52.35,   58.04,   46.45,   55.77,   60.62,   51.27
01/10/2013 02:30:00,   53.45,   60.93,   47.09,   57.37,   63.34,   51.63
01/10/2013 02:35:00,   51.72,   57.75,   46.47,   56.02,   61.43,   51.56
01/10/2013 02:40:00,   50.79,   56.19,   45.97,   55.05,   59.81,   50.46
01/10/2013 02:45:00,   51.87,   59.82,   45.77,   55.63,   62.02,   50.29
01/10/2013 02:50:00,   54.60,   63.87,   46.24,   58.64,   65.97,   50.90
01/10/2013 02:55:00,   51.12,   54.71,   46.25,   56.36,   61.71,   51.12
01/10/2013 03:00:00,   53.77,   62.05,   45.87,   58.24,   65.06,   50.45
01/10/2013 03:05:00,   53.02,   61.01,   45.94,   56.50,   63.07,   50.55
01/10/2013 03:10:00,   53.28,   59.93,   45.74,   57.57,   63.11,   50.23
01/10/2013 03:15:00,   54.53,   60.71,   46.24,   58.90,   65.00,   50.98
01/10/2013 03:20:00,   51.77,   57.07,   46.49,   55.08,   59.06,   50.77
01/10/2013 03:25:00,   51.89,   56.49,   46.96,   55.36,   59.87,   50.99
01/10/2013 03:30:00,   53.15,   58.54,   46.48,   57.40,   62.41,   50.77
01/10/2013 03:35:00,   54.06,   62.60,   45.04,   56.95,   64.01,   49.72
01/10/2013 03:40:00,   54.34,   61.67,   46.30,   59.16,   64.42,   51.21
01/10/2013 03:45:00,   59.76,   64.14,   49.23,   62.98,   66.37,   55.91
01/10/2013 03:50:00,   61.17,   63.79,   57.86,   64.43,   66.81,   62.27
01/10/2013 03:55:00,   59.54,   61.53,   56.63,   63.77,   65.63,   61.84
01/10/2013 04:00:00,   62.38,   65.56,   58.06,   65.20,   67.84,   62.19
01/10/2013 04:05:00,   60.91,   63.21,   58.34,   64.43,   66.18,   62.18
01/10/2013 04:10:00,   60.34,   62.03,   57.05,   64.44,   65.98,   61.53
01/10/2013 04:15:00,   62.01,   64.37,   58.25,   64.95,   67.23,   62.29
01/10/2013 04:20:00,   60.99,   63.95,   57.52,   64.26,   66.61,   62.12
01/10/2013 04:25:00,   60.74,   63.95,   56.82,   64.05,   66.27,   61.38
01/10/2013 04:30:00,   57.62,   63.12,   45.72,   61.61,   66.39,   50.39
01/10/2013 04:35:00,   54.45,   62.10,   46.96,   58.64,   66.19,   51.67
01/10/2013 04:40:00,   54.31,   61.80,   47.53,   58.46,   64.59,   52.54
01/10/2013 04:45:00,   52.69,   59.67,   46.36,   56.43,   61.60,   51.68
01/10/2013 04:50:00,   56.95,   62.07,   47.35,   62.39,   67.18,   52.14
01/10/2013 04:55:00,   58.27,   64.95,   48.22,   62.32,   67.74,   53.48
01/10/2013 05:00:00,   58.67,   67.24,   48.46,   62.98,   70.05,   53.88
01/10/2013 05:05:00,   55.38,   62.01,   47.81,   60.39,   66.35,   53.46
01/10/2013 05:10:00,   56.60,   63.36,   50.31,   61.28,   66.61,   55.53
01/10/2013 05:15:00,   59.13,   64.37,   50.74,   64.35,   68.28,   55.14
01/10/2013 05:20:00,   55.81,   60.85,   49.70,   61.08,   64.86,   54.87
01/10/2013 05:25:00,   57.11,   63.58,   49.59,   61.67,   67.29,   54.82
01/10/2013 05:30:00,   55.92,   62.48,   49.09,   60.29,   65.60,   54.08
01/10/2013 05:35:00,   61.06,   67.46,   50.75,   65.40,   71.61,   55.92
01/10/2013 05:40:00,   58.29,   65.33,   50.44,   62.86,   68.34,   55.60
01/10/2013 05:45:00,   57.21,   63.10,   50.30,   61.32,   66.03,   55.46
01/10/2013 05:50:00,   57.21,   62.50,   50.86,   62.16,   67.35,   55.88
01/10/2013 05:55:00,   58.39,   65.77,   52.29,   62.44,   69.04,   56.12
01/10/2013 06:00:00,   58.85,   64.30,   51.33,   62.22,   66.59,   54.98
01/10/2013 06:05:00,   61.41,   66.17,   52.86,   65.25,   70.07,   56.75
01/10/2013 06:10:00,   60.18,   65.57,   53.26,   63.87,   68.96,   56.66
01/10/2013 06:15:00,   59.11,   65.69,   52.42,   62.24,   68.46,   56.18
01/10/2013 06:20:00,   60.77,   67.44,   53.53,   64.48,   69.83,   57.98
01/10/2013 06:25:00,   61.10,   66.55,   53.23,   65.15,   69.95,   57.86
01/10/2013 06:30:00,   60.93,   66.74,   53.92,   64.63,   69.28,   58.17
01/10/2013 06:35:00,   60.42,   65.29,   53.76,   63.72,   68.25,   57.47
01/10/2013 06:40:00,   59.85,   63.66,   54.88,   63.86,   67.40,   58.78
01/10/2013 06:45:00,   62.22,   67.28,   54.54,   65.75,   70.37,   58.57
01/10/2013 06:50:00,   62.14,   67.23,   55.33,   64.82,   69.20,   59.44
01/10/2013 06:55:00,   61.26,   66.69,   54.83,   64.67,   69.37,   58.90
01/10/2013 07:00:00,   62.39,   66.07,   55.43,   65.59,   68.62,   59.21
01/10/2013 07:05:00,   62.43,   66.87,   56.58,   65.16,   69.14,   59.80
01/10/2013 07:10:00,   64.42,   69.07,   56.97,   66.92,   71.30,   60.43
01/10/2013 07:15:00,   65.83,   70.56,   58.56,   67.40,   71.54,   60.81
01/10/2013 07:20:00,   67.66,   71.23,   59.87,   69.42,   73.83,   61.55
01/10/2013 07:25:00,   66.88,   72.46,   57.93,   69.44,   75.01,   60.52
01/10/2013 07:30:00,   66.87,   71.98,   58.52,   68.59,   73.23,   60.35
