# noise_analysis run from DCC-NOISE-001011 at Wed Oct  2 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/10/2013 00:05:00,   58.34,   62.40,   51.57,   62.59,   65.12,   55.76
02/10/2013 00:10:00,   58.46,   65.59,   50.62,   63.16,   69.19,   55.03
02/10/2013 00:15:00,   59.78,   65.61,   50.94,   63.00,   68.41,   55.10
02/10/2013 00:20:00,   59.49,   65.06,   49.62,   62.75,   68.75,   53.31
02/10/2013 00:25:00,   60.26,   63.08,   57.01,   61.43,   65.18,   58.20
02/10/2013 00:30:00,   62.65,   69.53,   54.19,   64.19,   69.88,   56.60
02/10/2013 00:35:00,   62.57,   67.41,   57.61,   64.95,   70.37,   58.86
02/10/2013 00:40:00,   64.42,   71.09,   54.15,   68.01,   73.50,   57.21
02/10/2013 00:45:00,   61.69,   68.01,   52.59,   65.75,   70.50,   56.04
02/10/2013 00:50:00,   60.87,   67.68,   52.09,   64.83,   70.43,   55.91
02/10/2013 00:55:00,   56.93,   64.27,   51.65,   59.30,   64.68,   54.45
02/10/2013 01:00:00,   57.12,   64.09,   50.75,   59.79,   65.17,   53.95
02/10/2013 01:05:00,   55.94,   63.38,   49.24,   59.92,   65.44,   53.10
02/10/2013 01:10:00,   59.26,   64.99,   48.67,   64.16,   68.07,   52.57
02/10/2013 01:15:00,   53.93,   56.96,   48.61,   58.33,   64.12,   53.05
02/10/2013 01:20:00,   56.81,   62.19,   50.16,   60.70,   64.99,   55.32
02/10/2013 01:25:00,   57.04,   63.08,   49.15,   60.62,   65.67,   52.94
02/10/2013 01:30:00,   57.54,   63.85,   49.23,   61.35,   67.06,   53.42
02/10/2013 01:35:00,   58.73,   65.64,   49.87,   63.60,   70.30,   53.68
02/10/2013 01:40:00,   57.10,   65.22,   49.16,   60.70,   66.69,   53.44
02/10/2013 01:45:00,   68.12,   73.54,   48.32,   68.44,   72.77,   52.71
02/10/2013 01:50:00,   56.23,   60.09,   48.06,   59.70,   62.95,   52.39
02/10/2013 01:55:00,   55.89,   63.05,   48.47,   59.62,   66.84,   52.63
02/10/2013 02:00:00,   56.59,   61.01,   50.37,   59.55,   64.08,   54.19
02/10/2013 02:05:00,   58.20,   61.77,   54.82,   60.34,   63.31,   57.41
02/10/2013 02:10:00,   62.63,   66.32,   56.47,   66.06,   69.86,   59.96
02/10/2013 02:15:00,   65.16,   70.55,   58.74,   68.72,   72.93,   64.46
02/10/2013 02:20:00,   64.88,   67.04,   63.35,   69.90,   70.94,   69.01
02/10/2013 02:25:00,   64.10,   65.32,   62.04,   69.49,   70.54,   67.42
02/10/2013 02:30:00,   68.77,   73.37,   53.44,   72.54,   76.91,   57.99
02/10/2013 02:35:00,   75.18,   81.41,   62.62,   78.27,   84.37,   65.72
02/10/2013 02:40:00,   57.93,   62.55,   51.25,   62.52,   66.25,   55.05
02/10/2013 02:45:00,   53.63,   57.40,   49.16,   58.05,   62.58,   53.05
02/10/2013 02:50:00,   52.61,   57.71,   46.62,   56.51,   61.66,   50.75
02/10/2013 02:55:00,   52.47,   58.90,   46.34,   55.79,   61.19,   50.61
02/10/2013 03:00:00,   52.34,   58.80,   46.78,   56.57,   62.57,   51.21
02/10/2013 03:05:00,   55.88,   62.52,   47.42,   59.48,   64.93,   51.82
02/10/2013 03:10:00,   53.61,   61.83,   46.70,   56.76,   63.49,   51.23
02/10/2013 03:15:00,   51.77,   56.71,   47.51,   55.85,   60.55,   52.42
02/10/2013 03:20:00,   51.93,   55.83,   46.66,   56.14,   60.77,   50.94
02/10/2013 03:25:00,   51.84,   54.55,   48.22,   56.76,   60.22,   52.63
02/10/2013 03:30:00,   52.83,   54.92,   49.02,   58.31,   61.33,   53.17
02/10/2013 03:35:00,   64.33,   68.79,   52.41,   65.87,   69.79,   55.95
02/10/2013 03:40:00,   58.82,   64.58,   53.47,   62.85,   67.60,   57.69
02/10/2013 03:45:00,   74.39,   80.31,   57.40,   77.40,   83.31,   61.95
02/10/2013 03:50:00,   66.96,   72.37,   57.60,   70.22,   75.37,   61.60
02/10/2013 03:55:00,   53.19,   57.38,   48.40,   56.82,   60.72,   52.66
02/10/2013 04:00:00,   55.44,   62.41,   47.58,   58.95,   64.95,   51.90
02/10/2013 04:05:00,   54.00,   61.06,   46.93,   57.21,   62.84,   51.62
02/10/2013 04:10:00,   52.87,   57.81,   47.50,   57.14,   62.41,   52.03
02/10/2013 04:15:00,   54.49,   60.65,   47.20,   58.00,   63.06,   51.27
02/10/2013 04:20:00,   52.59,   57.38,   47.42,   56.75,   60.95,   51.62
02/10/2013 04:25:00,   54.26,   59.61,   48.30,   58.33,   63.58,   53.09
02/10/2013 04:30:00,   54.51,   60.63,   47.85,   58.05,   62.85,   52.80
02/10/2013 04:35:00,   54.32,   60.52,   47.38,   57.55,   63.39,   51.98
02/10/2013 04:40:00,   55.22,   64.50,   46.75,   58.27,   66.11,   50.71
02/10/2013 04:45:00,   58.95,   64.96,   47.31,   61.85,   66.94,   51.65
02/10/2013 04:50:00,   53.02,   59.00,   46.47,   57.06,   62.24,   52.23
02/10/2013 04:55:00,   56.55,   63.27,   47.62,   60.69,   66.11,   52.25
02/10/2013 05:00:00,   55.22,   61.40,   47.84,   58.92,   64.23,   52.66
02/10/2013 05:05:00,   55.78,   61.31,   49.88,   60.69,   64.29,   56.18
02/10/2013 05:10:00,   57.38,   64.58,   48.94,   61.26,   67.86,   53.26
02/10/2013 05:15:00,   58.29,   66.43,   48.79,   62.49,   68.48,   53.82
02/10/2013 05:20:00,   55.20,   59.67,   48.99,   59.82,   63.97,   54.85
02/10/2013 05:25:00,   57.64,   64.50,   49.75,   60.96,   66.45,   55.39
02/10/2013 05:30:00,   56.26,   63.00,   49.20,   60.98,   65.91,   55.09
02/10/2013 05:35:00,   60.30,   67.62,   49.62,   64.33,   71.24,   54.88
02/10/2013 05:40:00,   57.41,   62.80,   50.26,   61.32,   65.45,   56.03
02/10/2013 05:45:00,   58.31,   66.24,   50.04,   63.25,   68.95,   57.03
02/10/2013 05:50:00,   56.90,   63.25,   50.21,   61.52,   65.68,   55.46
02/10/2013 05:55:00,   59.57,   67.20,   50.86,   63.50,   69.70,   55.22
02/10/2013 06:00:00,   58.67,   63.96,   52.26,   62.16,   67.25,   55.99
02/10/2013 06:05:00,   60.22,   65.18,   52.74,   63.72,   68.21,   56.29
02/10/2013 06:10:00,   60.62,   66.06,   53.59,   64.15,   68.78,   57.60
02/10/2013 06:15:00,   60.99,   65.94,   54.51,   64.72,   69.32,   58.58
02/10/2013 06:20:00,   60.66,   65.67,   54.76,   64.34,   68.20,   58.56
02/10/2013 06:25:00,   61.48,   67.58,   53.70,   65.89,   72.13,   57.71
02/10/2013 06:30:00,   59.34,   65.07,   53.80,   62.58,   67.54,   57.35
02/10/2013 06:35:00,   58.47,   63.54,   53.75,   62.71,   67.08,   57.88
02/10/2013 06:40:00,   61.93,   67.38,   54.45,   65.49,   70.29,   58.41
02/10/2013 06:45:00,   60.47,   65.45,   54.59,   64.70,   68.49,   58.51
02/10/2013 06:50:00,   64.38,   69.33,   55.98,   69.08,   74.60,   61.88
02/10/2013 06:55:00,   58.49,   62.13,   54.13,   62.40,   65.32,   58.63
02/10/2013 07:00:00,   63.20,   68.64,   54.25,   66.80,   71.88,   58.37
02/10/2013 07:05:00,   61.07,   66.19,   54.76,   65.07,   69.30,   59.40
02/10/2013 07:10:00,   62.28,   67.13,   55.53,   65.31,   69.15,   59.14
02/10/2013 07:15:00,   62.78,   68.10,   55.59,   66.13,   71.14,   60.19
02/10/2013 07:20:00,   63.43,   68.56,   55.02,   66.96,   71.68,   59.09
02/10/2013 07:25:00,   61.93,   67.61,   54.92,   64.87,   69.43,   58.79
02/10/2013 07:30:00,   66.28,   70.91,   57.38,   69.24,   73.78,   62.22
02/10/2013 07:35:00,   63.75,   69.42,   54.59,   66.98,   72.63,   58.49
02/10/2013 07:40:00,   63.00,   67.99,   54.20,   66.33,   70.98,   58.23
02/10/2013 07:45:00,   63.29,   69.07,   55.49,   67.27,   72.13,   59.84
02/10/2013 07:50:00,   63.77,   68.03,   54.51,   67.85,   73.20,   59.01
02/10/2013 07:55:00,   63.15,   68.15,   54.44,   66.17,   70.66,   59.09
02/10/2013 08:00:00,   64.64,   70.13,   55.91,   68.34,   74.00,   60.61
02/10/2013 08:05:00,   61.61,   66.65,   54.68,   65.09,   68.90,   59.53
02/10/2013 08:10:00,   66.42,   71.03,   56.44,   69.78,   74.34,   61.50
02/10/2013 08:15:00,   63.70,   68.58,   55.52,   67.51,   72.66,   60.22
02/10/2013 08:20:00,   64.04,   68.48,   55.75,   67.64,   72.38,   60.24
02/10/2013 08:25:00,   62.60,   66.65,   55.66,   66.40,   70.05,   60.46
02/10/2013 08:30:00,   64.08,   69.56,   55.49,   68.31,   73.94,   60.28
02/10/2013 08:35:00,   62.80,   67.41,   55.42,   66.47,   70.43,   59.61
02/10/2013 08:40:00,   65.11,   69.65,   56.51,   68.56,   73.14,   61.03
02/10/2013 08:45:00,   64.52,   69.68,   57.17,   68.11,   73.69,   60.75
02/10/2013 08:50:00,   62.15,   66.45,   55.05,   66.02,   69.35,   59.81
02/10/2013 08:55:00,   64.04,   69.54,   55.57,   67.81,   73.12,   60.71
02/10/2013 09:00:00,   65.32,   70.01,   58.44,   69.23,   74.41,   63.01
02/10/2013 09:05:00,   63.53,   68.02,   55.65,   66.82,   71.33,   59.75
02/10/2013 09:10:00,   64.99,   69.61,   55.17,   68.01,   72.18,   59.32
02/10/2013 09:15:00,   64.70,   70.80,   55.27,   67.84,   74.13,   59.61
02/10/2013 09:20:00,   65.45,   71.12,   57.45,   68.81,   74.10,   61.20
02/10/2013 09:25:00,   62.90,   68.10,   54.37,   65.88,   69.91,   58.94
02/10/2013 09:30:00,   63.43,   67.35,   55.06,   66.72,   70.83,   59.42
02/10/2013 09:35:00,   62.76,   66.29,   55.02,   66.20,   69.22,   59.45
02/10/2013 09:40:00,   64.54,   68.47,   56.79,   68.57,   72.51,   61.00
02/10/2013 09:45:00,   64.91,   70.11,   55.01,   68.51,   73.11,   58.27
02/10/2013 09:50:00,   63.16,   69.05,   54.60,   66.18,   71.88,   58.34
02/10/2013 09:55:00,   63.96,   68.64,   55.79,   67.31,   72.09,   59.34
02/10/2013 10:00:00,   64.06,   67.53,   56.37,   67.28,   70.92,   60.44
02/10/2013 10:05:00,   62.78,   66.89,   55.37,   66.09,   70.05,   59.73
02/10/2013 10:10:00,   66.29,   70.84,   58.44,   69.46,   74.29,   62.27
02/10/2013 10:15:00,   62.90,   66.87,   53.98,   66.53,   70.69,   58.00
02/10/2013 10:20:00,   63.93,   68.60,   55.89,   67.69,   72.46,   60.62
02/10/2013 10:25:00,   63.02,   67.45,   55.35,   66.11,   70.05,   59.28
02/10/2013 10:30:00,   63.86,   67.94,   55.93,   67.43,   71.90,   60.13
02/10/2013 10:35:00,   66.04,   70.14,   59.57,   69.00,   72.83,   62.84
02/10/2013 10:40:00,   63.84,   68.29,   55.79,   67.02,   70.70,   59.97
02/10/2013 10:45:00,   63.57,   68.84,   56.16,   67.25,   72.41,   60.40
02/10/2013 10:50:00,   63.07,   67.15,   54.54,   66.38,   69.94,   58.92
02/10/2013 10:55:00,   63.92,   68.93,   56.07,   67.62,   71.99,   60.95
02/10/2013 11:00:00,   65.19,   70.36,   56.93,   67.99,   71.87,   60.73
02/10/2013 11:05:00,   64.39,   68.86,   56.34,   67.53,   71.77,   61.08
02/10/2013 11:10:00,   63.06,   68.12,   55.02,   66.76,   71.39,   59.19
02/10/2013 11:15:00,   63.55,   68.25,   56.81,   67.36,   72.51,   61.21
02/10/2013 11:20:00,   64.18,   68.62,   54.70,   67.93,   72.54,   59.14
02/10/2013 11:25:00,   65.69,   72.53,   54.58,   67.45,   73.10,   58.53
02/10/2013 11:30:00,   62.22,   66.18,   54.48,   65.68,   69.88,   58.64
02/10/2013 11:35:00,   63.51,   68.86,   56.19,   67.02,   71.49,   60.81
02/10/2013 11:40:00,   63.97,   68.82,   56.11,   67.57,   72.21,   60.60
02/10/2013 11:45:00,   62.47,   66.90,   55.74,   65.99,   70.40,   59.93
02/10/2013 11:50:00,   65.37,   70.38,   56.86,   68.53,   73.20,   61.41
02/10/2013 11:55:00,   66.74,   73.64,   55.77,   68.85,   75.81,   59.61
02/10/2013 12:00:00,   64.00,   67.99,   56.95,   66.93,   70.56,   60.91
02/10/2013 12:05:00,   64.54,   69.40,   56.99,   67.41,   71.39,   61.10
02/10/2013 12:10:00,   64.32,   68.80,   56.59,   68.09,   72.26,   61.43
02/10/2013 12:15:00,   65.76,   73.47,   55.55,   68.41,   73.51,   59.28
02/10/2013 12:20:00,   62.80,   66.69,   55.60,   66.54,   70.17,   59.72
02/10/2013 12:25:00,   63.58,   68.78,   55.03,   67.87,   72.55,   59.27
02/10/2013 12:30:00,   63.97,   68.58,   57.09,   67.47,   71.42,   60.46
02/10/2013 12:35:00,   63.81,   69.71,   55.22,   67.46,   72.86,   59.67
02/10/2013 12:40:00,   63.76,   68.32,   56.02,   67.00,   70.89,   59.52
02/10/2013 12:45:00,   63.64,   69.01,   56.50,   67.68,   73.25,   60.47
02/10/2013 12:50:00,   64.36,   69.05,   56.05,   67.71,   70.90,   59.69
02/10/2013 12:55:00,   64.45,   68.68,   57.71,   68.12,   72.96,   61.89
02/10/2013 13:00:00,   62.21,   66.17,   56.18,   65.77,   69.50,   60.18
02/10/2013 13:05:00,   63.62,   68.65,   56.08,   67.40,   73.28,   59.96
02/10/2013 13:10:00,   62.57,   66.63,   55.12,   65.72,   69.14,   59.36
02/10/2013 13:15:00,   64.53,   69.51,   58.42,   67.88,   72.35,   61.39
02/10/2013 13:20:00,   63.81,   67.70,   57.95,   67.17,   71.08,   60.76
02/10/2013 13:25:00,   63.46,   68.10,   58.42,   67.25,   71.79,   61.08
02/10/2013 13:30:00,   63.26,   67.53,   54.60,   66.34,   70.20,   59.11
02/10/2013 13:35:00,   62.88,   67.20,   56.40,   67.07,   70.21,   60.93
02/10/2013 13:40:00,   61.59,   63.95,   55.08,   65.51,   68.07,   59.04
02/10/2013 13:45:00,   63.47,   68.94,   55.02,   67.06,   72.02,   58.65
02/10/2013 13:50:00,   60.87,   64.49,   54.02,   64.42,   67.57,   58.09
02/10/2013 13:55:00,   62.52,   66.79,   55.35,   66.48,   71.14,   59.35
02/10/2013 14:00:00,   63.63,   68.57,   55.54,   67.19,   72.14,   59.30
02/10/2013 14:05:00,   61.28,   64.56,   53.91,   64.69,   67.86,   57.93
02/10/2013 14:10:00,   63.16,   67.40,   55.32,   66.75,   70.55,   58.60
02/10/2013 14:15:00,   63.44,   68.73,   56.40,   67.43,   72.73,   60.46
02/10/2013 14:20:00,   64.17,   68.80,   55.46,   67.99,   72.98,   59.13
02/10/2013 14:25:00,   63.73,   69.07,   54.79,   67.80,   73.33,   58.85
02/10/2013 14:30:00,   73.18,   73.40,   57.82,   73.82,   74.56,   61.03
02/10/2013 14:35:00,   66.00,   69.99,   58.00,   68.85,   72.60,   61.70
02/10/2013 14:40:00,   62.59,   66.89,   55.07,   66.43,   70.76,   59.22
02/10/2013 14:45:00,   61.18,   65.35,   53.98,   64.79,   68.28,   57.94
02/10/2013 14:50:00,   66.21,   69.83,   60.22,   68.39,   71.46,   63.21
02/10/2013 14:55:00,   63.96,   67.93,   56.11,   67.42,   70.93,   61.47
02/10/2013 15:00:00,   64.74,   68.99,   57.01,   67.93,   71.48,   61.25
02/10/2013 15:05:00,   62.84,   65.67,   55.49,   66.30,   69.06,   59.72
02/10/2013 15:10:00,   63.35,   68.45,   56.20,   67.19,   71.54,   60.57
02/10/2013 15:15:00,   63.84,   68.59,   53.72,   67.50,   71.90,   57.84
02/10/2013 15:20:00,   62.32,   65.06,   55.67,   65.41,   67.91,   59.19
02/10/2013 15:25:00,   64.79,   69.85,   55.42,   67.86,   74.07,   59.29
02/10/2013 15:30:00,   66.32,   70.27,   58.45,   68.83,   72.19,   62.37
02/10/2013 15:35:00,   64.42,   68.09,   56.37,   66.83,   69.88,   60.36
02/10/2013 15:40:00,   65.59,   69.65,   56.54,   68.18,   72.74,   59.75
02/10/2013 15:45:00,   63.66,   68.50,   55.58,   66.04,   69.51,   58.90
02/10/2013 15:50:00,   65.58,   70.18,   57.38,   68.44,   73.32,   60.73
02/10/2013 15:55:00,   64.59,   69.44,   55.22,   67.32,   71.19,   59.66
