# noise_analysis run from DCC-NOISE-001011 at Thu Oct  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/10/2013 00:05:00,   57.50,   62.72,   51.02,   60.15,   64.77,   54.61
03/10/2013 00:10:00,   57.66,   62.57,   49.66,   61.62,   66.24,   53.50
03/10/2013 00:15:00,   58.65,   65.11,   50.15,   61.77,   67.07,   54.13
03/10/2013 00:20:00,   59.77,   64.74,   51.48,   63.59,   68.10,   54.78
03/10/2013 00:25:00,   56.46,   61.35,   50.22,   60.25,   64.52,   54.36
03/10/2013 00:30:00,   58.63,   65.75,   48.57,   61.56,   67.49,   52.26
03/10/2013 00:35:00,   58.14,   64.57,   49.18,   62.39,   67.62,   53.22
03/10/2013 00:40:00,   59.45,   65.93,   48.25,   62.77,   68.51,   52.33
03/10/2013 00:45:00,   58.89,   65.31,   49.78,   62.29,   67.53,   53.65
03/10/2013 00:50:00,   57.41,   63.94,   48.47,   60.51,   65.67,   52.79
03/10/2013 00:55:00,   55.75,   63.03,   48.44,   59.02,   65.41,   52.26
03/10/2013 01:00:00,   53.63,   59.02,   48.25,   56.74,   61.29,   52.09
03/10/2013 01:05:00,   53.92,   60.98,   47.57,   56.74,   62.56,   51.88
03/10/2013 01:10:00,   54.80,   63.31,   47.96,   57.64,   65.16,   52.35
03/10/2013 01:15:00,   56.33,   60.93,   47.59,   59.73,   63.59,   51.60
03/10/2013 01:20:00,   56.12,   62.78,   47.17,   59.28,   64.79,   51.52
03/10/2013 01:25:00,   55.00,   60.17,   47.49,   59.00,   63.38,   51.68
03/10/2013 01:30:00,   54.81,   62.19,   47.09,   57.29,   63.53,   51.16
03/10/2013 01:35:00,   54.23,   58.66,   48.41,   57.16,   62.05,   52.27
03/10/2013 01:40:00,   56.71,   63.87,   47.96,   58.19,   64.82,   51.25
03/10/2013 01:45:00,   53.43,   56.47,   47.94,   55.90,   59.61,   51.22
03/10/2013 01:50:00,   54.89,   59.62,   48.06,   56.94,   61.37,   51.73
03/10/2013 01:55:00,   60.58,   67.35,   51.70,   61.24,   67.65,   53.80
03/10/2013 02:00:00,   52.06,   53.97,   48.38,   54.20,   56.26,   51.23
03/10/2013 02:05:00,   54.23,   61.15,   46.97,   56.69,   62.58,   50.76
03/10/2013 02:10:00,   53.55,   61.00,   46.11,   55.53,   61.69,   50.24
03/10/2013 02:15:00,   51.54,   55.91,   46.32,   54.33,   57.91,   50.05
03/10/2013 02:20:00,   50.48,   56.51,   46.13,   53.71,   58.55,   50.52
03/10/2013 02:25:00,   50.57,   52.02,   47.22,   54.19,   56.64,   51.65
03/10/2013 02:30:00,   49.02,   51.50,   46.06,   52.93,   55.62,   50.04
03/10/2013 02:35:00,   53.22,   61.16,   45.35,   55.61,   62.49,   49.68
03/10/2013 02:40:00,   55.48,   64.19,   46.16,   57.59,   65.20,   50.47
03/10/2013 02:45:00,   52.99,   59.99,   47.07,   56.16,   62.78,   50.95
03/10/2013 02:50:00,   53.68,   59.43,   46.85,   56.16,   61.11,   50.68
03/10/2013 02:55:00,   52.14,   57.35,   46.95,   55.33,   60.10,   50.79
03/10/2013 03:00:00,   52.91,   59.26,   47.09,   56.43,   63.05,   51.44
03/10/2013 03:05:00,   55.62,   62.65,   46.71,   58.02,   63.98,   50.81
03/10/2013 03:10:00,   53.84,   60.00,   47.23,   57.33,   62.85,   51.13
03/10/2013 03:15:00,   57.27,   64.80,   49.86,   61.03,   67.12,   53.57
03/10/2013 03:20:00,   55.38,   61.79,   46.91,   58.44,   64.56,   51.71
03/10/2013 03:25:00,   52.21,   57.29,   46.40,   55.67,   60.64,   50.24
03/10/2013 03:30:00,   53.60,   59.55,   47.13,   56.83,   62.10,   51.22
03/10/2013 03:35:00,   56.29,   63.15,   47.68,   58.44,   64.64,   51.12
03/10/2013 03:40:00,   54.80,   62.27,   47.55,   57.30,   64.19,   51.06
03/10/2013 03:45:00,   57.12,   66.17,   48.76,   59.63,   67.63,   52.55
03/10/2013 03:50:00,   55.21,   59.76,   49.34,   58.82,   62.84,   53.64
03/10/2013 03:55:00,   51.02,   54.71,   46.81,   54.90,   59.04,   50.54
03/10/2013 04:00:00,   54.77,   62.03,   47.00,   57.14,   63.45,   50.73
03/10/2013 04:05:00,   55.56,   64.11,   47.35,   58.20,   65.61,   50.80
03/10/2013 04:10:00,   54.61,   62.37,   46.92,   57.12,   63.91,   50.65
03/10/2013 04:15:00,   52.97,   58.72,   47.89,   55.89,   60.67,   51.20
03/10/2013 04:20:00,   55.20,   61.82,   47.94,   59.04,   64.79,   51.89
03/10/2013 04:25:00,   59.00,   66.59,   49.65,   61.93,   68.13,   53.62
03/10/2013 04:30:00,   54.86,   60.69,   48.22,   57.80,   62.67,   52.08
03/10/2013 04:35:00,   55.56,   62.37,   48.47,   59.62,   66.38,   52.65
03/10/2013 04:40:00,   55.44,   61.77,   47.55,   58.76,   64.34,   51.56
03/10/2013 04:45:00,   56.13,   62.93,   47.69,   59.28,   64.48,   51.47
03/10/2013 04:50:00,   56.18,   64.10,   47.00,   59.43,   66.26,   52.24
03/10/2013 04:55:00,   57.68,   65.20,   47.22,   60.88,   68.00,   52.87
03/10/2013 05:00:00,   59.44,   66.52,   48.41,   62.46,   68.52,   53.54
03/10/2013 05:05:00,   58.39,   65.62,   47.87,   60.92,   67.25,   52.44
03/10/2013 05:10:00,   57.16,   63.31,   48.48,   60.06,   65.43,   53.26
03/10/2013 05:15:00,   55.21,   62.09,   48.82,   59.69,   65.08,   54.63
03/10/2013 05:20:00,   54.12,   59.53,   47.74,   58.44,   63.07,   52.92
03/10/2013 05:25:00,   55.71,   60.41,   49.08,   59.71,   64.61,   54.20
03/10/2013 05:30:00,   57.89,   64.95,   48.22,   61.21,   66.78,   53.17
03/10/2013 05:35:00,   61.05,   67.22,   53.97,   63.28,   68.06,   56.10
03/10/2013 05:40:00,   60.71,   67.85,   53.14,   62.18,   68.18,   55.86
03/10/2013 05:45:00,   62.35,   68.78,   53.59,   64.21,   69.90,   55.99
03/10/2013 05:50:00,   63.78,   70.49,   56.77,   64.79,   70.99,   58.45
03/10/2013 05:55:00,   64.80,   70.87,   56.03,   66.66,   71.25,   58.56
03/10/2013 06:00:00,   61.98,   69.06,   55.07,   63.75,   69.88,   57.22
03/10/2013 06:05:00,   65.19,   71.90,   55.23,   67.35,   73.61,   57.25
03/10/2013 06:10:00,   61.70,   67.80,   54.28,   63.40,   68.69,   57.09
03/10/2013 06:15:00,   62.74,   69.58,   56.35,   64.26,   70.07,   58.80
03/10/2013 06:20:00,   65.16,   71.02,   58.33,   66.81,   72.04,   60.74
03/10/2013 06:25:00,   64.96,   70.71,   55.50,   67.37,   73.20,   58.59
03/10/2013 06:30:00,   61.35,   68.06,   53.23,   63.18,   68.78,   56.81
03/10/2013 06:35:00,   60.34,   67.52,   53.42,   62.67,   68.81,   56.58
03/10/2013 06:40:00,   62.69,   68.74,   54.96,   65.29,   70.05,   58.43
03/10/2013 06:45:00,   62.20,   67.65,   54.92,   65.11,   69.71,   58.25
03/10/2013 06:50:00,   64.88,   71.30,   55.20,   67.39,   73.42,   58.59
03/10/2013 06:55:00,   60.46,   66.17,   55.34,   62.97,   67.47,   58.58
03/10/2013 07:00:00,   63.19,   69.43,   54.87,   66.03,   71.49,   58.52
03/10/2013 07:05:00,   62.99,   68.91,   55.08,   66.25,   71.96,   59.24
03/10/2013 07:10:00,   63.69,   68.40,   55.19,   66.39,   70.33,   59.07
03/10/2013 07:15:00,   64.07,   70.12,   55.40,   67.53,   73.29,   59.49
03/10/2013 07:20:00,   64.86,   70.29,   55.52,   68.01,   73.44,   59.62
03/10/2013 07:25:00,   63.49,   68.37,   55.53,   66.67,   70.80,   59.20
03/10/2013 07:30:00,   62.33,   67.30,   54.30,   65.34,   69.66,   58.26
03/10/2013 07:35:00,   64.96,   69.01,   55.00,   68.43,   72.18,   59.84
03/10/2013 07:40:00,   65.20,   68.67,   56.77,   69.88,   73.26,   61.87
03/10/2013 07:45:00,   62.40,   67.40,   53.95,   65.91,   69.51,   58.22
03/10/2013 07:50:00,   63.80,   68.08,   54.68,   67.53,   72.18,   58.96
03/10/2013 07:55:00,   63.51,   69.17,   53.73,   67.18,   72.66,   58.33
03/10/2013 08:00:00,   63.46,   67.59,   53.40,   66.55,   69.68,   58.21
03/10/2013 08:05:00,   63.17,   67.26,   55.78,   67.08,   71.37,   59.94
03/10/2013 08:10:00,   66.01,   70.77,   54.88,   69.21,   73.93,   59.10
03/10/2013 08:15:00,   63.14,   68.51,   55.05,   66.55,   70.37,   59.27
03/10/2013 08:20:00,   64.15,   69.17,   54.68,   68.12,   72.96,   59.16
03/10/2013 08:25:00,   61.27,   66.63,   53.56,   64.69,   69.40,   58.08
03/10/2013 08:30:00,   63.32,   67.97,   56.18,   66.38,   70.13,   59.27
03/10/2013 08:35:00,   63.97,   68.73,   55.85,   66.85,   71.16,   59.18
03/10/2013 08:40:00,   63.82,   68.13,   54.08,   67.09,   71.35,   58.23
03/10/2013 08:45:00,   62.58,   66.34,   54.50,   66.75,   69.71,   58.36
03/10/2013 08:50:00,   64.65,   68.34,   57.18,   68.94,   72.04,   64.05
03/10/2013 08:55:00,   64.09,   69.62,   55.54,   68.61,   74.01,   59.92
03/10/2013 09:00:00,   64.95,   69.37,   56.80,   68.84,   73.34,   60.93
03/10/2013 09:05:00,   62.67,   66.68,   55.37,   67.29,   72.10,   60.61
03/10/2013 09:10:00,   64.72,   69.80,   54.71,   68.32,   73.48,   59.82
03/10/2013 09:15:00,   61.98,   66.66,   53.56,   65.80,   70.37,   57.25
03/10/2013 09:20:00,   64.67,   69.37,   54.05,   68.25,   72.71,   58.93
03/10/2013 09:25:00,   64.10,   69.88,   54.59,   67.51,   73.00,   58.70
03/10/2013 09:30:00,   63.94,   68.93,   54.78,   67.72,   73.26,   58.78
03/10/2013 09:35:00,   62.15,   66.54,   55.21,   65.73,   69.56,   59.50
03/10/2013 09:40:00,   63.58,   67.76,   53.59,   66.86,   70.17,   58.94
03/10/2013 09:45:00,   63.40,   68.46,   54.77,   66.94,   71.26,   59.69
03/10/2013 09:50:00,   63.81,   69.46,   54.63,   67.29,   73.01,   59.29
03/10/2013 09:55:00,   67.41,   70.82,   56.98,   71.09,   74.73,   61.82
03/10/2013 10:00:00,   68.88,   70.84,   65.00,   71.95,   73.82,   68.17
03/10/2013 10:05:00,   65.72,   69.03,   58.22,   68.43,   72.68,   62.24
03/10/2013 10:10:00,   63.31,   68.82,   54.24,   66.49,   71.76,   58.53
03/10/2013 10:15:00,   63.62,   68.41,   53.75,   66.70,   70.78,   58.59
03/10/2013 10:20:00,   65.76,   69.68,   56.98,   68.46,   72.82,   60.71
03/10/2013 10:25:00,   66.68,   70.48,   58.25,   68.84,   73.04,   61.28
03/10/2013 10:30:00,   67.91,   71.18,   60.75,   69.54,   72.73,   62.68
03/10/2013 10:35:00,   65.13,   70.14,   56.26,   67.05,   71.35,   59.35
03/10/2013 10:40:00,   66.03,   69.78,   58.94,   68.22,   71.31,   61.86
03/10/2013 10:45:00,   65.07,   68.81,   56.61,   68.05,   72.03,   61.08
03/10/2013 10:50:00,   66.69,   71.18,   57.56,   69.36,   73.75,   61.28
03/10/2013 10:55:00,   63.77,   68.74,   56.27,   66.77,   71.27,   60.37
03/10/2013 11:00:00,   64.91,   70.13,   55.20,   68.10,   73.47,   59.48
03/10/2013 11:05:00,   61.62,   66.01,   54.68,   65.05,   68.74,   59.67
03/10/2013 11:10:00,   64.85,   69.76,   54.63,   67.85,   72.20,   59.48
03/10/2013 11:15:00,   67.48,   71.87,   57.70,   69.79,   74.69,   61.37
03/10/2013 11:20:00,   63.70,   68.27,   56.42,   66.72,   70.93,   60.12
03/10/2013 11:25:00,   64.40,   68.58,   57.42,   67.95,   72.39,   61.13
03/10/2013 11:30:00,   64.82,   69.08,   57.37,   68.64,   72.37,   62.44
03/10/2013 11:35:00,   63.91,   67.05,   58.18,   67.20,   70.24,   62.25
03/10/2013 11:40:00,   64.65,   69.08,   56.74,   68.08,   72.52,   60.48
03/10/2013 11:45:00,   64.64,   69.23,   57.79,   67.85,   72.62,   60.74
03/10/2013 11:50:00,   63.88,   68.20,   57.83,   67.56,   71.19,   61.30
03/10/2013 11:55:00,   63.78,   67.55,   57.05,   67.75,   71.22,   61.33
03/10/2013 12:00:00,   66.40,   72.93,   58.32,   68.43,   73.04,   62.36
03/10/2013 12:05:00,   64.12,   68.45,   56.59,   67.46,   71.26,   60.17
03/10/2013 12:10:00,   63.51,   66.95,   56.48,   66.85,   70.27,   60.80
03/10/2013 12:15:00,   64.29,   68.53,   57.10,   67.36,   71.67,   61.11
03/10/2013 12:20:00,   64.49,   69.15,   57.61,   68.09,   72.68,   61.59
03/10/2013 12:25:00,   64.19,   68.06,   57.37,   68.67,   72.33,   61.82
03/10/2013 12:30:00,   64.06,   68.55,   55.62,   67.76,   71.25,   59.91
03/10/2013 12:35:00,   64.50,   69.50,   55.73,   68.29,   73.20,   60.20
03/10/2013 12:40:00,   63.38,   68.04,   55.08,   67.00,   70.55,   59.49
03/10/2013 12:45:00,   63.32,   67.88,   54.59,   68.47,   72.82,   59.34
03/10/2013 12:50:00,   62.72,   66.40,   55.57,   66.36,   69.77,   59.50
03/10/2013 12:55:00,   64.85,   70.69,   54.89,   68.39,   74.28,   60.21
03/10/2013 13:00:00,   62.33,   66.42,   54.61,   66.46,   71.35,   58.87
03/10/2013 13:05:00,   64.65,   69.34,   55.30,   68.31,   73.36,   60.08
03/10/2013 13:10:00,   62.16,   65.88,   54.61,   65.68,   69.32,   58.76
03/10/2013 13:15:00,   62.79,   66.72,   56.56,   66.31,   69.71,   60.68
03/10/2013 13:20:00,   65.29,   70.23,   57.56,   68.58,   73.64,   61.60
03/10/2013 13:25:00,   61.30,   65.54,   54.35,   65.23,   69.31,   58.49
03/10/2013 13:30:00,   63.09,   67.75,   54.64,   66.99,   70.62,   58.63
03/10/2013 13:35:00,   60.91,   65.32,   53.94,   64.11,   67.97,   57.88
03/10/2013 13:40:00,   63.46,   68.27,   54.76,   67.16,   71.92,   58.75
03/10/2013 13:45:00,   64.04,   69.38,   55.90,   67.29,   72.58,   59.56
03/10/2013 13:50:00,   62.45,   66.95,   54.75,   65.97,   70.46,   58.48
03/10/2013 13:55:00,   62.84,   67.69,   54.72,   66.76,   71.41,   58.69
03/10/2013 14:00:00,   63.42,   68.34,   55.00,   67.63,   72.48,   58.75
03/10/2013 14:05:00,   63.76,   67.68,   56.37,   67.21,   71.27,   60.26
03/10/2013 14:10:00,   62.90,   66.67,   55.82,   66.36,   69.67,   59.76
03/10/2013 14:15:00,   62.92,   67.07,   55.12,   66.25,   69.67,   59.26
03/10/2013 14:20:00,   62.91,   66.24,   55.42,   66.55,   69.97,   59.71
03/10/2013 14:25:00,   61.77,   65.70,   53.80,   65.16,   68.64,   57.68
03/10/2013 14:30:00,   63.87,   68.53,   57.03,   67.50,   71.77,   60.75
03/10/2013 14:35:00,   61.70,   66.16,   55.18,   65.06,   68.98,   58.39
03/10/2013 14:40:00,   62.71,   66.49,   54.32,   66.17,   69.80,   58.05
03/10/2013 14:45:00,   63.34,   67.68,   56.36,   66.56,   70.73,   60.37
03/10/2013 14:50:00,   63.56,   68.74,   54.18,   67.44,   73.47,   57.81
03/10/2013 14:55:00,   63.45,   66.63,   55.74,   66.53,   69.71,   59.20
03/10/2013 15:00:00,   64.05,   68.73,   55.32,   66.61,   70.74,   58.54
03/10/2013 15:05:00,   62.84,   67.05,   53.72,   65.66,   69.16,   57.67
03/10/2013 15:10:00,   62.99,   66.92,   54.36,   65.72,   68.78,   57.93
03/10/2013 15:15:00,   63.94,   67.65,   56.16,   66.83,   70.99,   59.54
03/10/2013 15:20:00,   64.40,   68.12,   55.33,   67.24,   71.35,   58.61
03/10/2013 15:25:00,   64.26,   70.32,   54.78,   66.89,   72.86,   57.73
03/10/2013 15:30:00,   65.20,   69.58,   56.07,   67.68,   71.82,   59.13
03/10/2013 15:35:00,   65.07,   68.44,   58.09,   67.47,   70.80,   61.06
03/10/2013 15:40:00,   65.52,   70.46,   56.09,   68.09,   73.26,   59.21
03/10/2013 15:45:00,   64.45,   69.06,   56.89,   66.97,   71.85,   59.77
03/10/2013 15:50:00,   65.43,   69.32,   57.27,   67.89,   71.00,   60.34
03/10/2013 15:55:00,   65.02,   68.77,   56.84,   67.15,   71.03,   59.55
03/10/2013 16:00:00,   64.38,   69.10,   56.28,   66.41,   70.89,   58.98
03/10/2013 16:05:00,   65.89,   69.60,   55.80,   68.31,   72.16,   58.49
03/10/2013 16:10:00,   66.55,   70.23,   56.75,   68.78,   73.21,   59.68
03/10/2013 16:15:00,   65.58,   69.15,   57.60,   67.08,   70.06,   60.07
03/10/2013 16:20:00,   66.23,   69.66,   58.71,   68.47,   71.81,   61.41
03/10/2013 16:25:00,   65.30,   70.24,   55.74,   67.54,   71.64,   58.01
03/10/2013 16:30:00,   66.75,   70.88,   57.13,   68.89,   73.39,   59.41
03/10/2013 16:35:00,   64.89,   69.14,   56.17,   67.21,   71.29,   59.44
03/10/2013 16:40:00,   66.76,   70.24,   58.07,   68.92,   72.63,   60.45
03/10/2013 16:45:00,   65.63,   69.13,   57.96,   67.73,   70.44,   61.09
03/10/2013 16:50:00,   66.16,   69.91,   57.76,   67.75,   71.51,   60.06
03/10/2013 16:55:00,   66.77,   70.66,   57.02,   69.06,   73.27,   59.75
03/10/2013 17:00:00,   65.74,   69.61,   56.86,   67.39,   71.33,   59.68
03/10/2013 17:05:00,   66.42,   69.23,   57.57,   68.72,   72.03,   60.85
03/10/2013 17:10:00,   64.73,   68.75,   54.82,   66.46,   69.63,   57.66
03/10/2013 17:15:00,   66.59,   71.18,   56.15,   69.14,   74.07,   60.59
03/10/2013 17:20:00,   63.71,   67.02,   55.14,   66.31,   69.69,   58.81
03/10/2013 17:25:00,   65.65,   69.98,   55.08,   68.38,   73.07,   58.53
03/10/2013 17:30:00,   63.52,   67.12,   55.30,   65.55,   68.84,   58.89
03/10/2013 17:35:00,   64.71,   69.31,   52.84,   67.41,   71.64,   56.70
03/10/2013 17:40:00,   64.73,   69.30,   54.30,   67.80,   72.67,   57.87
03/10/2013 17:45:00,   64.34,   68.21,   56.33,   66.66,   69.65,   59.66
03/10/2013 17:50:00,   65.86,   70.34,   54.84,   68.71,   73.03,   58.02
03/10/2013 17:55:00,   64.64,   69.31,   54.06,   67.31,   71.21,   57.39
03/10/2013 18:00:00,   64.28,   68.85,   54.73,   66.68,   71.23,   58.20
03/10/2013 18:05:00,   66.77,   71.37,   57.65,   69.55,   74.60,   60.48
