# noise_analysis run from DCC-NOISE-001011 at Fri Oct  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/10/2013 00:05:00,   60.14,   66.16,   50.94,   62.39,   66.84,   53.79
04/10/2013 00:10:00,   58.38,   66.62,   50.23,   59.68,   67.25,   52.18
04/10/2013 00:15:00,   61.27,   68.65,   51.01,   63.59,   69.90,   54.05
04/10/2013 00:20:00,   59.30,   66.37,   50.24,   62.00,   67.41,   53.47
04/10/2013 00:25:00,   61.35,   67.84,   48.82,   63.95,   69.90,   52.27
04/10/2013 00:30:00,   59.14,   66.60,   47.73,   61.44,   68.24,   50.73
04/10/2013 00:35:00,   56.64,   63.96,   47.56,   58.55,   64.89,   50.97
04/10/2013 00:40:00,   58.38,   65.49,   47.39,   61.09,   67.05,   52.14
04/10/2013 00:45:00,   56.24,   63.06,   47.11,   59.73,   65.28,   51.82
04/10/2013 00:50:00,   56.67,   63.50,   46.55,   60.46,   66.11,   54.43
04/10/2013 00:55:00,   57.99,   65.92,   46.41,   61.36,   67.69,   53.78
04/10/2013 01:00:00,   56.51,   64.42,   46.14,   58.96,   65.84,   50.42
04/10/2013 01:05:00,   57.71,   65.78,   45.67,   60.17,   67.22,   52.42
04/10/2013 01:10:00,   56.27,   64.73,   45.84,   60.18,   66.90,   53.69
04/10/2013 01:15:00,   54.86,   60.22,   45.92,   59.26,   63.94,   53.69
04/10/2013 01:20:00,   56.11,   64.02,   45.46,   59.11,   65.25,   53.41
04/10/2013 01:25:00,   55.34,   62.03,   45.58,   58.29,   64.14,   50.21
04/10/2013 01:30:00,   50.46,   56.68,   44.52,   54.81,   58.88,   49.07
04/10/2013 01:35:00,   53.13,   59.44,   44.46,   57.48,   61.61,   53.15
04/10/2013 01:40:00,   56.07,   64.05,   44.80,   59.18,   65.19,   51.96
04/10/2013 01:45:00,   54.60,   63.73,   44.11,   57.59,   66.31,   48.10
04/10/2013 01:50:00,   56.91,   64.80,   45.27,   59.49,   67.07,   49.71
04/10/2013 01:55:00,   49.48,   55.17,   42.62,   53.27,   58.68,   47.41
04/10/2013 02:00:00,   53.06,   60.96,   43.64,   57.20,   62.95,   53.15
04/10/2013 02:05:00,   52.28,   58.10,   45.15,   57.13,   61.28,   53.84
04/10/2013 02:10:00,   54.73,   63.56,   45.91,   58.49,   65.03,   53.90
04/10/2013 02:15:00,   54.44,   63.04,   45.34,   58.22,   65.34,   49.11
04/10/2013 02:20:00,   68.14,   72.77,   54.46,   71.34,   75.39,   58.85
04/10/2013 02:25:00,   56.15,   62.84,   45.11,   60.13,   65.47,   53.89
04/10/2013 02:30:00,   54.29,   62.62,   44.56,   60.44,   66.68,   53.59
04/10/2013 02:35:00,   54.84,   62.16,   45.33,   57.67,   64.50,   49.27
04/10/2013 02:40:00,   51.38,   57.50,   43.48,   54.11,   59.46,   47.83
04/10/2013 02:45:00,   52.34,   60.04,   43.50,   56.52,   61.96,   52.73
04/10/2013 02:50:00,   54.61,   61.65,   44.75,   59.07,   64.58,   53.48
04/10/2013 02:55:00,   53.47,   60.10,   43.84,   57.93,   62.82,   51.35
04/10/2013 03:00:00,   52.53,   59.70,   43.24,   55.24,   60.87,   48.23
