# noise_analysis run from DCC-NOISE-001011 at Sat Oct  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/10/2013 00:05:00,   58.22,   63.66,   49.33,   61.12,   66.28,   53.71
05/10/2013 00:10:00,   58.69,   64.79,   49.95,   62.03,   67.01,   53.61
05/10/2013 00:15:00,   59.49,   66.13,   49.97,   62.43,   68.11,   54.20
05/10/2013 00:20:00,   57.87,   64.44,   48.70,   61.30,   67.34,   52.33
05/10/2013 00:25:00,   59.98,   67.13,   49.22,   63.42,   69.26,   53.69
05/10/2013 00:30:00,   55.75,   62.46,   48.35,   58.63,   64.41,   52.77
05/10/2013 00:35:00,   56.92,   63.00,   48.00,   59.48,   64.97,   52.00
05/10/2013 00:40:00,   57.82,   64.38,   47.55,   60.81,   66.60,   51.45
05/10/2013 00:45:00,   59.86,   66.15,   46.88,   63.20,   68.60,   51.28
05/10/2013 00:50:00,   56.96,   64.38,   47.30,   59.60,   66.22,   51.19
05/10/2013 00:55:00,   57.55,   64.37,   48.77,   60.24,   66.59,   52.73
05/10/2013 01:00:00,   57.23,   64.38,   47.76,   59.91,   66.58,   52.27
05/10/2013 01:05:00,   58.05,   64.44,   48.59,   61.29,   66.78,   52.49
05/10/2013 01:10:00,   57.25,   64.31,   47.56,   59.62,   66.25,   51.19
05/10/2013 01:15:00,   56.86,   64.08,   46.02,   59.69,   66.46,   50.12
05/10/2013 01:20:00,   57.83,   64.72,   47.41,   59.74,   66.30,   51.20
05/10/2013 01:25:00,   54.70,   61.84,   47.62,   57.75,   64.32,   51.09
05/10/2013 01:30:00,   55.66,   61.16,   48.05,   58.18,   63.09,   51.62
05/10/2013 01:35:00,   56.86,   63.22,   47.21,   59.34,   65.02,   51.38
05/10/2013 01:40:00,   55.70,   62.72,   46.40,   60.22,   66.38,   50.17
05/10/2013 01:45:00,   57.78,   63.59,   49.01,   60.94,   66.13,   53.31
05/10/2013 01:50:00,   56.42,   63.18,   47.00,   58.71,   64.69,   51.02
05/10/2013 01:55:00,   56.04,   62.20,   47.75,   59.08,   64.76,   51.75
05/10/2013 02:00:00,   56.16,   63.06,   47.08,   58.66,   64.86,   51.20
05/10/2013 02:05:00,   56.45,   64.27,   46.86,   59.01,   66.10,   50.88
05/10/2013 02:10:00,   55.75,   63.99,   45.93,   58.31,   65.89,   50.04
05/10/2013 02:15:00,   55.35,   63.18,   46.52,   57.94,   65.25,   50.53
05/10/2013 02:20:00,   56.19,   63.76,   46.41,   58.68,   65.05,   50.59
05/10/2013 02:25:00,   55.88,   64.46,   46.71,   58.38,   66.28,   50.44
05/10/2013 02:30:00,   53.64,   60.36,   46.42,   56.38,   61.99,   50.21
05/10/2013 02:35:00,   56.58,   64.79,   47.17,   58.99,   66.66,   50.92
05/10/2013 02:40:00,   52.86,   59.42,   45.76,   55.58,   61.47,   49.79
05/10/2013 02:45:00,   53.99,   60.28,   45.86,   57.44,   62.69,   51.05
05/10/2013 02:50:00,   55.96,   63.36,   47.64,   58.71,   65.28,   51.64
05/10/2013 02:55:00,   55.86,   62.90,   48.00,   58.20,   64.86,   51.65
05/10/2013 03:00:00,   54.63,   61.45,   47.01,   57.08,   63.25,   50.62
05/10/2013 03:05:00,   56.30,   63.59,   47.14,   58.87,   65.25,   51.20
05/10/2013 03:10:00,   57.78,   64.67,   47.53,   60.57,   66.29,   52.23
05/10/2013 03:15:00,   57.62,   63.89,   47.97,   60.77,   66.77,   52.01
05/10/2013 03:20:00,   56.74,   62.54,   47.78,   59.31,   64.89,   51.62
05/10/2013 03:25:00,   56.81,   63.94,   48.25,   59.36,   65.87,   52.24
05/10/2013 03:30:00,   56.02,   62.18,   45.77,   58.77,   63.99,   49.91
05/10/2013 03:35:00,   54.48,   60.08,   46.34,   57.69,   63.34,   49.96
05/10/2013 03:40:00,   56.49,   63.86,   46.76,   59.13,   65.58,   50.57
05/10/2013 03:45:00,   56.28,   63.26,   47.20,   58.83,   64.82,   50.92
05/10/2013 03:50:00,   57.85,   64.98,   46.78,   60.44,   67.14,   50.42
05/10/2013 03:55:00,   55.60,   63.68,   46.49,   58.80,   66.09,   50.67
05/10/2013 04:00:00,   55.10,   61.93,   46.18,   57.99,   64.28,   50.10
05/10/2013 04:05:00,   55.49,   64.24,   44.74,   58.38,   66.32,   48.74
05/10/2013 04:10:00,   55.69,   63.43,   45.05,   58.38,   65.62,   49.58
05/10/2013 04:15:00,   57.59,   64.11,   46.96,   60.11,   66.13,   50.60
05/10/2013 04:20:00,   54.70,   60.99,   45.76,   57.61,   63.11,   49.81
05/10/2013 04:25:00,   57.06,   63.71,   47.13,   60.00,   66.08,   50.39
05/10/2013 04:30:00,   53.47,   60.35,   45.58,   56.36,   62.49,   49.31
05/10/2013 04:35:00,   55.73,   64.08,   44.72,   58.80,   66.73,   49.13
05/10/2013 04:40:00,   54.39,   62.09,   44.88,   57.66,   64.95,   49.01
05/10/2013 04:45:00,   56.13,   64.25,   44.81,   58.92,   66.19,   48.84
05/10/2013 04:50:00,   57.03,   63.56,   47.15,   59.81,   66.09,   50.65
05/10/2013 04:55:00,   55.58,   61.55,   48.05,   58.78,   64.51,   52.74
05/10/2013 05:00:00,   59.22,   66.03,   47.74,   62.13,   68.22,   51.28
05/10/2013 05:05:00,   55.40,   63.62,   45.21,   58.16,   65.52,   49.70
05/10/2013 05:10:00,   54.60,   60.54,   45.16,   58.57,   64.59,   51.15
05/10/2013 05:15:00,   55.80,   64.39,   45.00,   60.13,   68.36,   49.59
05/10/2013 05:20:00,   55.52,   63.21,   44.47,   59.02,   65.33,   49.49
05/10/2013 05:25:00,   52.50,   59.39,   45.05,   55.90,   61.95,   49.83
05/10/2013 05:30:00,   54.77,   62.75,   44.18,   57.73,   64.61,   48.95
05/10/2013 05:35:00,   54.19,   61.79,   45.79,   58.94,   66.06,   50.13
05/10/2013 05:40:00,   55.98,   63.39,   46.26,   59.24,   65.46,   50.95
05/10/2013 05:45:00,   56.11,   63.40,   46.29,   59.36,   66.02,   50.96
05/10/2013 05:50:00,   54.94,   60.77,   46.49,   59.06,   64.24,   51.21
05/10/2013 05:55:00,   55.82,   63.94,   48.22,   58.47,   66.25,   50.71
05/10/2013 06:00:00,   58.92,   65.96,   50.24,   63.00,   69.03,   53.97
05/10/2013 06:05:00,   56.60,   62.10,   49.60,   60.34,   64.67,   52.63
05/10/2013 06:10:00,   58.20,   66.33,   49.57,   61.56,   68.93,   52.77
05/10/2013 06:15:00,   57.04,   63.37,   49.88,   60.03,   66.26,   52.51
05/10/2013 06:20:00,   56.84,   62.15,   50.25,   59.94,   64.75,   53.02
05/10/2013 06:25:00,   56.50,   63.22,   49.79,   61.30,   67.16,   53.33
05/10/2013 06:30:00,   58.87,   64.76,   51.31,   64.10,   70.68,   56.81
05/10/2013 06:35:00,   58.57,   65.75,   50.87,   62.09,   68.39,   55.03
05/10/2013 06:40:00,   57.92,   63.78,   50.48,   61.84,   67.19,   54.46
05/10/2013 06:45:00,   58.68,   65.48,   50.10,   62.21,   67.71,   54.33
05/10/2013 06:50:00,   58.10,   63.30,   50.84,   61.93,   66.58,   55.38
05/10/2013 06:55:00,   60.49,   66.51,   50.90,   64.62,   71.00,   55.96
05/10/2013 07:00:00,   57.88,   63.57,   51.39,   61.39,   66.17,   55.60
05/10/2013 07:05:00,   61.38,   65.64,   52.31,   65.36,   68.95,   56.90
05/10/2013 07:10:00,   58.64,   64.99,   51.54,   62.30,   67.94,   55.53
05/10/2013 07:15:00,   59.46,   65.18,   52.06,   62.67,   67.38,   56.28
05/10/2013 07:20:00,   60.18,   65.86,   52.11,   64.58,   70.00,   56.68
05/10/2013 07:25:00,   59.67,   65.14,   51.58,   65.14,   71.94,   56.88
05/10/2013 07:30:00,   59.62,   65.44,   51.04,   63.41,   69.64,   55.01
05/10/2013 07:35:00,   57.86,   65.31,   51.03,   61.39,   67.92,   54.84
05/10/2013 07:40:00,   59.91,   65.72,   51.68,   63.49,   68.47,   55.86
05/10/2013 07:45:00,   60.37,   67.87,   51.97,   64.37,   70.26,   55.63
05/10/2013 07:50:00,   57.62,   63.62,   51.29,   60.95,   66.81,   55.13
05/10/2013 07:55:00,   59.04,   65.40,   51.44,   62.82,   68.22,   54.96
05/10/2013 08:00:00,   60.41,   66.80,   50.32,   63.71,   69.48,   53.47
05/10/2013 08:05:00,   58.89,   65.44,   50.91,   61.82,   67.47,   54.35
05/10/2013 08:10:00,   61.26,   65.95,   51.65,   64.53,   68.07,   55.07
05/10/2013 08:15:00,   60.84,   67.69,   51.97,   64.19,   69.97,   56.04
05/10/2013 08:20:00,   60.04,   65.97,   51.05,   63.40,   68.55,   54.92
05/10/2013 08:25:00,   59.74,   66.00,   50.87,   62.67,   68.13,   54.04
05/10/2013 08:30:00,   61.39,   67.31,   52.11,   64.26,   68.87,   55.64
05/10/2013 08:35:00,   59.90,   65.38,   51.79,   63.12,   67.21,   55.78
05/10/2013 08:40:00,   58.75,   65.58,   51.43,   61.94,   68.11,   54.74
05/10/2013 08:45:00,   61.98,   68.96,   51.52,   65.20,   71.53,   54.54
05/10/2013 08:50:00,   62.54,   69.06,   52.99,   66.46,   72.99,   57.17
05/10/2013 08:55:00,   59.36,   64.73,   51.02,   62.95,   67.65,   55.11
05/10/2013 09:00:00,   60.55,   66.96,   51.77,   64.30,   69.82,   56.17
05/10/2013 09:05:00,   58.56,   64.65,   51.56,   61.65,   66.62,   54.87
05/10/2013 09:10:00,   62.54,   68.34,   52.45,   65.31,   70.21,   56.22
05/10/2013 09:15:00,   62.17,   68.26,   52.07,   65.42,   70.51,   56.18
05/10/2013 09:20:00,   59.76,   65.46,   51.62,   62.84,   68.20,   54.99
05/10/2013 09:25:00,   61.98,   66.39,   52.21,   65.67,   69.83,   55.88
05/10/2013 09:30:00,   62.96,   67.71,   53.05,   66.73,   72.12,   56.81
05/10/2013 09:35:00,   61.08,   67.10,   52.40,   64.50,   70.17,   56.09
05/10/2013 09:40:00,   62.19,   67.23,   52.16,   65.38,   69.43,   56.36
05/10/2013 09:45:00,   60.54,   66.09,   52.36,   64.02,   68.97,   56.44
05/10/2013 09:50:00,   63.37,   68.08,   52.75,   66.92,   72.08,   56.69
05/10/2013 09:55:00,   62.11,   67.38,   52.61,   65.68,   70.58,   56.65
05/10/2013 10:00:00,   60.42,   65.51,   52.08,   64.20,   68.60,   55.63
05/10/2013 10:05:00,   62.27,   66.92,   54.35,   65.41,   69.10,   58.10
05/10/2013 10:10:00,   61.27,   64.40,   53.35,   65.03,   68.50,   57.48
05/10/2013 10:15:00,   61.74,   66.67,   51.65,   64.98,   69.33,   55.69
05/10/2013 10:20:00,   62.54,   67.55,   52.42,   65.96,   70.53,   56.47
05/10/2013 10:25:00,   63.05,   69.19,   52.48,   66.47,   71.98,   56.34
05/10/2013 10:30:00,   62.43,   66.63,   51.30,   65.93,   69.19,   55.23
