# noise_analysis run from DCC-NOISE-001011 at Sun Oct  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/10/2013 00:05:00,   57.24,   62.40,   49.80,   60.97,   65.87,   53.83
06/10/2013 00:10:00,   59.35,   63.60,   50.06,   62.89,   66.10,   53.88
06/10/2013 00:15:00,   58.71,   63.56,   50.58,   61.77,   65.90,   54.28
06/10/2013 00:20:00,   59.47,   64.38,   52.19,   62.38,   67.02,   55.35
06/10/2013 00:25:00,   57.38,   63.21,   49.27,   60.84,   65.88,   53.10
06/10/2013 00:30:00,   58.38,   63.73,   50.49,   61.52,   66.60,   54.37
06/10/2013 00:35:00,   58.34,   63.23,   49.82,   60.95,   65.48,   53.55
06/10/2013 00:40:00,   58.36,   63.06,   49.40,   61.77,   66.31,   52.67
06/10/2013 00:45:00,   57.67,   63.07,   48.72,   61.03,   65.85,   52.80
06/10/2013 00:50:00,   58.32,   63.85,   48.09,   61.47,   66.73,   52.44
06/10/2013 00:55:00,   57.57,   63.61,   49.44,   60.07,   65.83,   53.45
06/10/2013 01:00:00,   58.67,   65.39,   48.41,   63.19,   67.90,   52.73
06/10/2013 01:05:00,   56.58,   61.52,   48.83,   59.40,   64.31,   52.59
06/10/2013 01:10:00,   56.60,   61.97,   48.24,   60.00,   64.97,   51.81
06/10/2013 01:15:00,   56.96,   62.56,   48.25,   60.09,   64.53,   51.92
06/10/2013 01:20:00,   56.74,   63.73,   48.52,   59.72,   66.12,   52.50
06/10/2013 01:25:00,   54.21,   59.30,   47.75,   57.34,   62.34,   51.95
06/10/2013 01:30:00,   55.96,   61.50,   48.48,   58.61,   63.75,   52.36
06/10/2013 01:35:00,   56.88,   62.80,   47.83,   60.11,   66.15,   51.98
06/10/2013 01:40:00,   57.25,   63.43,   48.44,   59.92,   65.72,   52.36
06/10/2013 01:45:00,   56.37,   61.49,   50.41,   59.45,   64.37,   53.75
06/10/2013 01:50:00,   59.03,   63.94,   51.07,   61.56,   65.91,   54.67
06/10/2013 01:55:00,   57.45,   62.60,   51.19,   60.46,   64.86,   54.86
06/10/2013 02:00:00,   57.89,   62.50,   50.17,   61.10,   65.41,   53.60
06/10/2013 02:05:00,   55.62,   61.12,   49.06,   58.96,   63.46,   53.00
06/10/2013 02:10:00,   56.05,   62.16,   49.80,   59.30,   64.86,   53.52
06/10/2013 02:15:00,   56.21,   61.03,   49.69,   59.30,   63.49,   53.37
06/10/2013 02:20:00,   55.94,   62.35,   49.42,   58.84,   64.96,   52.86
06/10/2013 02:25:00,   55.06,   60.36,   48.84,   57.91,   62.80,   52.39
06/10/2013 02:30:00,   60.35,   64.78,   49.40,   62.61,   67.05,   53.20
06/10/2013 02:35:00,   53.57,   58.29,   47.71,   56.54,   61.11,   51.46
06/10/2013 02:40:00,   57.14,   64.04,   47.74,   59.83,   66.84,   51.29
06/10/2013 02:45:00,   52.83,   57.50,   47.81,   55.48,   59.41,   51.31
06/10/2013 02:50:00,   55.14,   61.39,   48.43,   58.47,   63.69,   52.49
06/10/2013 02:55:00,   56.45,   62.19,   47.87,   59.28,   64.71,   51.22
06/10/2013 03:00:00,   55.49,   61.56,   48.46,   58.24,   63.50,   51.91
06/10/2013 03:05:00,   55.98,   61.94,   48.36,   58.88,   64.50,   51.73
06/10/2013 03:10:00,   55.43,   62.13,   48.32,   58.14,   64.48,   51.72
06/10/2013 03:15:00,   57.05,   64.57,   48.65,   59.54,   66.55,   52.24
06/10/2013 03:20:00,   56.76,   64.35,   48.03,   59.30,   66.34,   51.69
06/10/2013 03:25:00,   53.83,   58.10,   48.36,   57.05,   61.12,   52.25
06/10/2013 03:30:00,   56.29,   61.79,   49.11,   59.52,   63.99,   52.61
06/10/2013 03:35:00,   56.48,   61.91,   49.49,   59.15,   64.32,   52.83
06/10/2013 03:40:00,   62.14,   64.52,   50.39,   63.92,   67.87,   53.55
06/10/2013 03:45:00,   56.79,   63.62,   48.69,   59.56,   65.91,   52.10
06/10/2013 03:50:00,   57.01,   62.68,   48.83,   59.87,   64.90,   53.00
06/10/2013 03:55:00,   55.56,   60.37,   49.19,   58.66,   62.88,   52.86
06/10/2013 04:00:00,   58.33,   64.60,   49.64,   60.80,   66.42,   53.40
06/10/2013 04:05:00,   57.93,   62.55,   49.37,   60.11,   64.27,   52.72
06/10/2013 04:10:00,   57.14,   62.96,   49.71,   59.32,   65.04,   52.94
06/10/2013 04:15:00,   56.71,   61.08,   49.06,   59.38,   63.49,   52.89
06/10/2013 04:20:00,   54.87,   60.39,   48.29,   57.79,   62.80,   51.42
06/10/2013 04:25:00,   53.39,   58.30,   49.02,   56.52,   61.54,   52.05
06/10/2013 04:30:00,   57.24,   64.28,   48.49,   59.63,   66.17,   51.84
06/10/2013 04:35:00,   57.00,   63.79,   48.71,   59.33,   65.59,   51.63
06/10/2013 04:40:00,   55.46,   62.63,   47.48,   58.49,   64.59,   50.97
06/10/2013 04:45:00,   55.68,   62.41,   47.42,   58.56,   64.85,   51.13
06/10/2013 04:50:00,   55.06,   62.89,   47.39,   57.59,   65.28,   50.64
06/10/2013 04:55:00,   56.62,   63.46,   48.32,   59.13,   65.59,   51.51
06/10/2013 05:00:00,   54.84,   62.60,   47.91,   57.98,   65.34,   51.05
06/10/2013 05:05:00,   55.58,   62.49,   47.23,   58.57,   64.78,   51.20
06/10/2013 05:10:00,   54.76,   62.65,   46.16,   57.55,   64.60,   49.98
06/10/2013 05:15:00,   55.44,   62.06,   45.87,   58.04,   64.21,   49.70
06/10/2013 05:20:00,   54.56,   59.73,   46.62,   58.05,   64.22,   50.32
06/10/2013 05:25:00,   55.34,   59.77,   47.35,   58.31,   62.42,   51.42
