# noise_analysis run from DCC-NOISE-001011 at Mon Oct  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/10/2013 00:05:00,   54.54,   59.59,   48.48,   58.15,   62.08,   53.80
07/10/2013 00:10:00,   56.02,   61.91,   48.23,   59.32,   63.84,   53.53
07/10/2013 00:15:00,   53.84,   60.21,   46.62,   57.30,   62.52,   52.35
07/10/2013 00:20:00,   54.27,   61.03,   45.20,   57.59,   63.02,   51.09
07/10/2013 00:25:00,   54.21,   61.27,   45.91,   57.66,   63.98,   51.66
07/10/2013 00:30:00,   54.92,   63.10,   45.70,   58.15,   65.29,   51.87
07/10/2013 00:35:00,   52.89,   59.99,   45.49,   56.98,   62.27,   52.35
07/10/2013 00:40:00,   53.22,   59.73,   45.39,   57.23,   62.08,   52.22
07/10/2013 00:45:00,   54.63,   60.96,   45.54,   58.31,   63.53,   51.88
07/10/2013 00:50:00,   54.43,   60.79,   45.13,   57.70,   62.67,   51.73
07/10/2013 00:55:00,   55.37,   63.60,   46.31,   58.67,   65.67,   51.99
07/10/2013 01:00:00,   51.97,   57.44,   44.78,   55.90,   60.31,   51.15
07/10/2013 01:05:00,   54.88,   60.29,   46.33,   58.01,   62.50,   52.31
07/10/2013 01:10:00,   52.67,   60.76,   45.30,   56.11,   62.80,   49.64
07/10/2013 01:15:00,   54.50,   59.99,   45.40,   56.77,   61.72,   49.06
07/10/2013 01:20:00,   51.60,   56.74,   44.75,   54.49,   58.95,   48.91
07/10/2013 01:25:00,   53.87,   60.97,   45.09,   56.72,   62.89,   49.29
07/10/2013 01:30:00,   53.54,   59.26,   45.63,   56.83,   61.60,   50.36
07/10/2013 01:35:00,   52.83,   58.74,   45.63,   55.94,   61.22,   50.56
07/10/2013 01:40:00,   53.52,   60.79,   45.68,   56.88,   62.96,   49.89
07/10/2013 01:45:00,   49.89,   56.68,   44.04,   53.88,   59.90,   49.01
07/10/2013 01:50:00,   52.76,   61.25,   44.59,   55.92,   63.44,   48.87
07/10/2013 01:55:00,   50.34,   55.82,   44.24,   54.17,   59.96,   48.90
07/10/2013 02:00:00,   56.17,   64.98,   42.81,   60.41,   67.63,   47.38
07/10/2013 02:05:00,   52.75,   60.00,   44.19,   56.35,   62.25,   49.38
07/10/2013 02:10:00,   49.66,   55.45,   42.93,   53.60,   58.81,   48.00
