# noise_analysis run from DCC-NOISE-001011 at Sat Oct 12 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
12/10/2013 00:05:00,   63.37,   68.89,   52.23,   69.29,   76.45,   56.71
12/10/2013 00:10:00,   62.42,   68.31,   52.48,   67.57,   74.18,   56.51
12/10/2013 00:15:00,   63.53,   69.64,   52.42,   69.46,   76.66,   57.11
12/10/2013 00:20:00,   61.88,   66.83,   52.33,   66.99,   71.61,   56.03
12/10/2013 00:25:00,   63.52,   69.88,   52.94,   68.80,   76.11,   57.02
12/10/2013 00:30:00,   60.49,   64.77,   51.87,   66.57,   72.70,   55.78
12/10/2013 00:35:00,   60.88,   64.60,   52.13,   65.89,   68.59,   56.62
12/10/2013 00:40:00,   64.33,   70.13,   53.04,   69.21,   75.83,   58.03
12/10/2013 00:45:00,   63.07,   69.45,   50.98,   69.04,   75.42,   55.56
12/10/2013 00:50:00,   59.20,   65.63,   51.79,   63.95,   70.49,   55.80
12/10/2013 00:55:00,   56.94,   63.18,   50.63,   59.82,   64.95,   54.82
12/10/2013 01:00:00,   58.02,   63.85,   50.69,   63.27,   68.88,   54.72
12/10/2013 01:05:00,   59.56,   65.46,   51.87,   62.91,   67.78,   55.79
12/10/2013 01:10:00,   58.42,   65.17,   50.92,   61.28,   67.27,   54.88
12/10/2013 01:15:00,   62.31,   67.42,   51.26,   67.63,   73.13,   55.21
12/10/2013 01:20:00,   58.00,   62.73,   51.46,   61.51,   65.39,   55.31
12/10/2013 01:25:00,   58.84,   64.24,   51.09,   61.43,   66.54,   54.89
12/10/2013 01:30:00,   56.64,   63.52,   50.68,   60.65,   66.43,   54.81
12/10/2013 01:35:00,   59.08,   64.37,   51.15,   61.81,   66.89,   55.40
12/10/2013 01:40:00,   59.54,   64.45,   51.31,   64.93,   70.01,   55.68
