# noise_analysis run from DCC-NOISE-001011 at Sun Oct 13 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
13/10/2013 00:05:00,   59.50,   63.51,   49.85,   63.15,   66.71,   54.27
13/10/2013 00:10:00,   57.63,   63.78,   49.56,   62.10,   67.10,   54.00
13/10/2013 00:15:00,   61.08,   67.72,   50.29,   64.54,   70.53,   54.40
13/10/2013 00:20:00,   57.36,   63.46,   49.85,   60.16,   65.62,   53.92
13/10/2013 00:25:00,   60.20,   65.27,   50.58,   63.70,   68.68,   54.76
13/10/2013 00:30:00,   59.99,   65.37,   50.68,   63.12,   67.59,   55.17
13/10/2013 00:35:00,   57.10,   62.95,   49.75,   59.96,   64.98,   54.25
13/10/2013 00:40:00,   60.59,   65.41,   50.16,   63.69,   68.01,   54.21
13/10/2013 00:45:00,   56.15,   61.62,   49.58,   58.97,   63.59,   53.75
13/10/2013 00:50:00,   61.19,   66.84,   51.13,   64.78,   70.08,   55.17
13/10/2013 00:55:00,   57.14,   62.36,   49.78,   60.11,   64.41,   53.97
13/10/2013 01:00:00,   57.69,   63.48,   50.14,   60.40,   65.77,   54.44
13/10/2013 01:05:00,   59.33,   64.66,   49.93,   62.51,   67.07,   54.11
13/10/2013 01:10:00,   58.55,   64.45,   49.96,   61.22,   66.35,   54.01
13/10/2013 01:15:00,   56.49,   61.42,   49.62,   59.45,   63.89,   53.79
13/10/2013 01:20:00,   56.94,   62.48,   49.56,   60.40,   65.28,   54.05
13/10/2013 01:25:00,   58.13,   64.55,   50.21,   61.17,   66.91,   54.53
13/10/2013 01:30:00,   56.65,   63.47,   48.61,   59.46,   65.41,   53.18
13/10/2013 01:35:00,   57.60,   63.98,   50.27,   60.04,   65.85,   54.24
13/10/2013 01:40:00,   58.31,   65.61,   49.94,   61.07,   67.37,   54.31
13/10/2013 01:45:00,   56.05,   61.32,   49.77,   59.90,   66.12,   54.04
