# noise_analysis run from DCC-NOISE-001011 at Thu Oct 17 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
17/10/2013 00:05:00,   57.24,   62.97,   50.97,   59.87,   64.74,   54.74
17/10/2013 00:10:00,   58.76,   63.23,   51.10,   62.24,   65.64,   55.03
17/10/2013 00:15:00,   58.26,   64.87,   50.65,   61.33,   66.52,   54.66
17/10/2013 00:20:00,   61.36,   67.41,   52.38,   64.77,   69.67,   57.05
17/10/2013 00:25:00,   55.51,   60.76,   50.45,   58.43,   62.77,   54.39
17/10/2013 00:30:00,   58.01,   64.03,   49.80,   61.36,   66.78,   53.87
17/10/2013 00:35:00,   55.05,   60.96,   49.80,   57.88,   63.14,   53.72
17/10/2013 00:40:00,   58.82,   65.92,   49.81,   61.95,   67.47,   53.94
17/10/2013 00:45:00,   58.84,   66.26,   50.29,   61.86,   68.13,   54.30
17/10/2013 00:50:00,   57.98,   65.20,   50.31,   61.06,   67.05,   54.04
17/10/2013 00:55:00,   52.95,   56.64,   49.51,   56.31,   59.44,   53.70
17/10/2013 01:00:00,   54.29,   59.86,   49.11,   57.41,   61.92,   53.21
17/10/2013 01:05:00,   58.01,   64.41,   49.66,   61.21,   66.65,   53.71
17/10/2013 01:10:00,   53.84,   59.29,   49.51,   57.12,   62.10,   53.37
17/10/2013 01:15:00,   53.78,   58.38,   49.27,   57.38,   61.55,   53.49
17/10/2013 01:20:00,   51.98,   56.40,   48.83,   55.84,   59.72,   52.94
17/10/2013 01:25:00,   55.57,   62.48,   48.59,   58.44,   64.03,   52.64
17/10/2013 01:30:00,   53.47,   60.31,   48.05,   56.46,   62.25,   52.28
17/10/2013 01:35:00,   55.13,   62.18,   48.38,   57.61,   63.88,   52.58
17/10/2013 01:40:00,   60.40,   71.64,   49.41,   64.40,   76.10,   53.51
17/10/2013 01:45:00,   54.15,   59.18,   48.34,   57.47,   61.69,   52.44
17/10/2013 01:50:00,   55.91,   62.75,   48.72,   58.54,   64.54,   52.95
17/10/2013 01:55:00,   52.25,   56.78,   48.11,   55.58,   59.03,   52.31
17/10/2013 02:00:00,   55.26,   61.63,   48.66,   57.94,   63.38,   52.80
17/10/2013 02:05:00,   55.45,   61.78,   48.66,   59.76,   64.19,   52.87
17/10/2013 02:10:00,   53.97,   60.21,   48.32,   56.72,   62.23,   52.40
17/10/2013 02:15:00,   53.11,   58.91,   47.80,   55.87,   61.16,   52.04
17/10/2013 02:20:00,   52.37,   57.50,   48.32,   56.01,   60.78,   52.47
17/10/2013 02:25:00,   51.58,   55.45,   48.02,   55.42,   58.32,   52.63
17/10/2013 02:30:00,   52.78,   58.85,   48.26,   56.06,   61.22,   52.68
17/10/2013 02:35:00,   51.92,   56.69,   48.23,   55.63,   59.77,   52.60
17/10/2013 02:40:00,   53.21,   60.00,   48.42,   56.53,   61.71,   52.74
17/10/2013 02:45:00,   55.40,   61.21,   48.46,   58.09,   63.06,   52.79
17/10/2013 02:50:00,   54.61,   63.30,   48.13,   57.43,   64.79,   52.42
17/10/2013 02:55:00,   56.29,   63.09,   48.10,   60.14,   67.21,   52.46
17/10/2013 03:00:00,   53.44,   61.04,   47.85,   56.49,   63.09,   52.06
17/10/2013 03:05:00,   55.17,   62.68,   48.58,   59.14,   64.89,   53.06
17/10/2013 03:10:00,   53.60,   57.51,   48.15,   57.03,   61.08,   52.63
17/10/2013 03:15:00,   55.36,   63.15,   48.46,   58.10,   65.26,   52.59
17/10/2013 03:20:00,   53.63,   59.26,   48.44,   56.66,   62.22,   52.51
17/10/2013 03:25:00,   53.92,   59.17,   48.43,   56.81,   61.36,   52.70
17/10/2013 03:30:00,   54.22,   60.03,   48.55,   58.11,   63.23,   52.95
17/10/2013 03:35:00,   53.17,   57.99,   48.19,   56.58,   61.03,   52.52
17/10/2013 03:40:00,   54.99,   62.27,   48.07,   58.29,   64.77,   52.44
17/10/2013 03:45:00,   54.75,   61.70,   48.42,   58.41,   64.52,   52.92
17/10/2013 03:50:00,   54.57,   60.86,   48.56,   57.68,   62.78,   52.92
17/10/2013 03:55:00,   53.08,   58.71,   47.96,   56.47,   60.99,   52.19
17/10/2013 04:00:00,   55.45,   63.04,   48.44,   58.25,   64.92,   52.91
17/10/2013 04:05:00,   58.73,   65.59,   49.12,   63.09,   67.50,   53.49
17/10/2013 04:10:00,   54.77,   60.12,   48.12,   60.66,   65.46,   52.53
17/10/2013 04:15:00,   52.60,   57.86,   48.21,   55.78,   60.31,   52.50
17/10/2013 04:20:00,   52.81,   57.29,   48.09,   56.11,   60.41,   52.49
17/10/2013 04:25:00,   53.03,   57.94,   48.23,   56.22,   60.42,   52.47
17/10/2013 04:30:00,   56.80,   62.66,   48.24,   59.31,   64.18,   52.85
17/10/2013 04:35:00,   54.74,   61.79,   47.91,   58.52,   65.19,   52.52
17/10/2013 04:40:00,   55.43,   63.65,   47.97,   58.48,   65.60,   52.37
17/10/2013 04:45:00,   55.93,   63.29,   47.99,   58.94,   65.63,   52.75
17/10/2013 04:50:00,   55.31,   62.41,   48.01,   58.73,   64.45,   52.55
17/10/2013 04:55:00,   57.41,   63.28,   48.60,   60.60,   65.98,   53.68
17/10/2013 05:00:00,   55.53,   62.54,   48.62,   58.90,   64.35,   53.88
17/10/2013 05:05:00,   57.55,   63.54,   49.93,   60.86,   66.37,   54.93
17/10/2013 05:10:00,   56.76,   64.19,   49.12,   61.12,   67.35,   53.73
17/10/2013 05:15:00,   56.58,   63.04,   48.81,   60.90,   66.44,   53.43
17/10/2013 05:20:00,   57.65,   63.95,   49.94,   61.31,   66.03,   55.06
17/10/2013 05:25:00,   55.30,   60.71,   49.76,   58.92,   63.01,   54.53
17/10/2013 05:30:00,   56.39,   61.60,   50.21,   60.14,   64.83,   55.11
17/10/2013 05:35:00,   60.89,   68.06,   50.56,   64.80,   71.24,   55.38
17/10/2013 05:40:00,   58.23,   64.51,   50.37,   61.76,   66.98,   55.53
17/10/2013 05:45:00,   58.42,   64.84,   50.25,   62.54,   67.75,   55.17
17/10/2013 05:50:00,   59.46,   63.81,   50.50,   63.68,   67.64,   55.77
17/10/2013 05:55:00,   59.38,   65.89,   52.05,   62.98,   68.73,   55.67
17/10/2013 06:00:00,   59.14,   66.03,   52.09,   62.21,   68.62,   56.02
17/10/2013 06:05:00,   60.57,   67.35,   52.15,   63.69,   69.78,   55.96
17/10/2013 06:10:00,   59.83,   66.06,   52.95,   63.50,   69.32,   56.37
17/10/2013 06:15:00,   59.75,   65.65,   52.67,   62.97,   68.29,   56.50
17/10/2013 06:20:00,   59.19,   65.28,   53.00,   62.62,   67.79,   57.02
17/10/2013 06:25:00,   61.75,   67.31,   53.21,   65.25,   70.48,   56.87
17/10/2013 06:30:00,   60.59,   65.21,   53.68,   64.25,   68.52,   57.77
17/10/2013 06:35:00,   59.30,   64.39,   53.68,   63.26,   67.37,   57.73
17/10/2013 06:40:00,   61.85,   67.64,   53.79,   64.81,   69.29,   57.64
17/10/2013 06:45:00,   61.96,   67.17,   54.36,   66.16,   71.18,   58.18
17/10/2013 06:50:00,   61.29,   66.70,   55.14,   64.71,   69.28,   59.41
17/10/2013 06:55:00,   60.56,   65.86,   54.72,   64.22,   68.27,   58.53
17/10/2013 07:00:00,   62.85,   67.28,   54.95,   66.59,   70.97,   59.38
17/10/2013 07:05:00,   63.04,   68.32,   54.51,   66.60,   72.16,   58.71
17/10/2013 07:10:00,   62.31,   67.50,   54.88,   66.33,   71.38,   59.29
17/10/2013 07:15:00,   64.45,   68.27,   55.72,   68.06,   72.24,   60.31
17/10/2013 07:20:00,   63.73,   68.61,   55.05,   67.10,   71.22,   59.24
17/10/2013 07:25:00,   62.92,   68.15,   54.57,   66.73,   71.30,   58.82
17/10/2013 07:30:00,   63.99,   68.94,   55.55,   67.19,   71.55,   60.13
17/10/2013 07:35:00,   63.67,   69.09,   54.84,   67.89,   73.62,   59.32
17/10/2013 07:40:00,   64.53,   68.47,   54.50,   68.59,   72.96,   58.86
17/10/2013 07:45:00,   67.14,   71.78,   55.48,   69.50,   74.01,   59.74
17/10/2013 07:50:00,   64.52,   69.70,   55.46,   67.88,   71.96,   60.69
17/10/2013 07:55:00,   65.17,   70.83,   55.78,   68.18,   73.46,   59.94
