# noise_analysis run from DCC-NOISE-001011 at Fri Oct 18 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
18/10/2013 00:05:00,   58.58,   62.12,   49.89,   62.36,   65.68,   54.09
18/10/2013 00:10:00,   58.35,   65.89,   49.17,   62.06,   68.49,   53.86
18/10/2013 00:15:00,   59.58,   64.55,   50.08,   62.78,   67.06,   54.28
18/10/2013 00:20:00,   58.78,   64.81,   49.90,   62.35,   68.08,   54.35
18/10/2013 00:25:00,   58.25,   63.27,   49.14,   61.51,   65.38,   53.44
18/10/2013 00:30:00,   58.55,   63.71,   49.50,   61.74,   65.41,   53.78
18/10/2013 00:35:00,   56.38,   63.19,   49.15,   59.46,   64.86,   53.46
18/10/2013 00:40:00,   56.65,   62.69,   48.42,   60.57,   65.43,   52.65
18/10/2013 00:45:00,   57.74,   64.48,   48.78,   61.44,   67.20,   53.21
18/10/2013 00:50:00,   61.71,   70.86,   49.74,   66.13,   75.44,   54.21
18/10/2013 00:55:00,   52.75,   57.70,   48.33,   56.24,   60.25,   52.82
18/10/2013 01:00:00,   57.59,   62.14,   48.93,   61.15,   65.30,   53.29
18/10/2013 01:05:00,   54.05,   56.67,   49.76,   57.55,   59.69,   54.12
18/10/2013 01:10:00,   53.68,   57.97,   49.16,   58.74,   62.70,   54.96
18/10/2013 01:15:00,   57.10,   64.11,   49.16,   60.53,   66.35,   55.18
18/10/2013 01:20:00,   55.62,   61.16,   48.82,   60.07,   63.88,   54.95
18/10/2013 01:25:00,   55.97,   62.03,   49.20,   59.16,   64.50,   53.26
18/10/2013 01:30:00,   56.07,   62.76,   49.44,   58.87,   64.56,   53.67
18/10/2013 01:35:00,   54.08,   60.83,   48.91,   57.51,   63.27,   53.16
18/10/2013 01:40:00,   57.01,   62.99,   49.08,   59.68,   64.55,   53.29
18/10/2013 01:45:00,   55.31,   61.37,   48.86,   58.87,   63.75,   53.18
18/10/2013 01:50:00,   55.01,   62.56,   48.62,   57.91,   64.25,   53.01
18/10/2013 01:55:00,   54.54,   60.52,   48.85,   58.54,   63.90,   53.23
18/10/2013 02:00:00,   53.42,   57.77,   48.52,   56.50,   59.86,   52.82
18/10/2013 02:05:00,   53.67,   59.68,   49.19,   56.90,   61.70,   53.40
18/10/2013 02:10:00,   55.80,   61.84,   49.06,   58.40,   63.45,   53.16
18/10/2013 02:15:00,   54.13,   61.21,   48.39,   57.21,   62.89,   52.85
18/10/2013 02:20:00,   54.46,   60.34,   49.05,   57.33,   62.12,   53.21
18/10/2013 02:25:00,   53.55,   58.65,   48.86,   57.05,   62.17,   53.02
18/10/2013 02:30:00,   54.32,   60.11,   48.82,   58.08,   63.76,   53.03
18/10/2013 02:35:00,   54.84,   61.41,   49.26,   57.91,   63.23,   53.25
18/10/2013 02:40:00,   54.32,   59.81,   49.22,   57.51,   62.25,   53.54
18/10/2013 02:45:00,   55.17,   60.21,   48.71,   58.11,   62.88,   52.92
18/10/2013 02:50:00,   54.27,   60.75,   48.45,   57.09,   62.58,   52.64
18/10/2013 02:55:00,   55.74,   63.83,   48.49,   59.00,   65.50,   53.84
18/10/2013 03:00:00,   54.49,   61.90,   48.49,   58.86,   64.24,   55.03
18/10/2013 03:05:00,   54.82,   61.46,   48.69,   58.75,   63.87,   55.16
18/10/2013 03:10:00,   54.46,   60.62,   48.76,   57.74,   62.81,   53.17
18/10/2013 03:15:00,   55.29,   61.46,   48.98,   58.24,   63.75,   53.12
18/10/2013 03:20:00,   53.33,   58.44,   49.11,   56.51,   60.96,   53.14
18/10/2013 03:25:00,   56.16,   63.63,   48.76,   59.37,   65.78,   52.87
18/10/2013 03:30:00,   55.64,   62.79,   48.85,   58.54,   65.04,   53.04
18/10/2013 03:35:00,   53.78,   59.36,   48.08,   56.89,   61.90,   52.45
18/10/2013 03:40:00,   54.70,   61.05,   48.75,   57.63,   62.93,   52.77
18/10/2013 03:45:00,   56.47,   63.26,   48.45,   59.19,   65.27,   52.77
