# noise_analysis run from DCC-NOISE-001011 at Mon Oct 21 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
21/10/2013 00:05:00,   56.65,   63.16,   49.93,   59.71,   65.18,   54.17
21/10/2013 00:10:00,   58.15,   64.01,   50.46,   61.74,   67.26,   54.30
21/10/2013 00:15:00,   58.11,   64.81,   50.00,   61.73,   68.76,   53.91
21/10/2013 00:20:00,   54.84,   59.47,   50.10,   57.87,   61.62,   54.10
21/10/2013 00:25:00,   54.44,   59.63,   49.12,   57.41,   62.32,   53.08
21/10/2013 00:30:00,   57.81,   63.06,   50.09,   60.08,   64.58,   53.83
21/10/2013 00:35:00,   54.92,   59.67,   49.32,   57.98,   62.28,   53.40
21/10/2013 00:40:00,   55.76,   63.81,   48.91,   58.67,   66.02,   52.89
21/10/2013 00:45:00,   56.16,   63.35,   48.84,   58.81,   64.99,   52.85
21/10/2013 00:50:00,   54.69,   59.98,   49.46,   58.03,   62.37,   53.72
21/10/2013 00:55:00,   53.91,   58.87,   48.98,   56.91,   61.44,   52.85
21/10/2013 01:00:00,   54.35,   60.19,   49.42,   57.17,   62.01,   53.32
21/10/2013 01:05:00,   53.37,   58.20,   49.20,   56.55,   60.39,   53.07
21/10/2013 01:10:00,   54.14,   61.74,   48.46,   57.13,   63.39,   52.79
21/10/2013 01:15:00,   60.60,   71.91,   48.59,   64.63,   76.13,   52.65
21/10/2013 01:20:00,   50.89,   53.43,   48.37,   54.56,   56.30,   52.56
21/10/2013 01:25:00,   52.56,   57.95,   48.55,   55.69,   60.08,   52.48
21/10/2013 01:30:00,   50.84,   54.03,   48.16,   54.57,   57.51,   52.31
21/10/2013 01:35:00,   52.01,   57.01,   48.20,   55.40,   59.60,   52.38
21/10/2013 01:40:00,   52.51,   57.66,   47.93,   55.78,   60.07,   52.26
21/10/2013 01:45:00,   50.14,   52.36,   48.14,   54.14,   56.18,   52.37
21/10/2013 01:50:00,   51.56,   56.74,   48.04,   55.14,   59.71,   52.08
21/10/2013 01:55:00,   51.99,   55.53,   48.19,   55.88,   59.70,   52.50
21/10/2013 02:00:00,   52.35,   57.79,   47.71,   55.52,   60.53,   52.03
21/10/2013 02:05:00,   52.38,   57.99,   47.70,   55.56,   60.16,   52.06
21/10/2013 02:10:00,   50.47,   52.29,   47.49,   54.02,   55.35,   51.81
21/10/2013 02:15:00,   52.59,   59.74,   47.35,   55.87,   61.87,   51.81
21/10/2013 02:20:00,   50.92,   56.85,   47.49,   54.52,   59.12,   51.76
21/10/2013 02:25:00,   52.08,   57.77,   47.36,   55.21,   60.01,   51.55
21/10/2013 02:30:00,   49.98,   52.67,   47.24,   53.60,   55.54,   51.45
21/10/2013 02:35:00,   50.64,   52.82,   47.26,   54.19,   56.42,   51.67
