# noise_analysis run from DCC-NOISE-001011 at Tue Oct 29 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
29/10/2013 00:05:00,   56.20,   61.52,   50.92,   59.08,   63.27,   54.69
29/10/2013 00:10:00,   57.47,   64.12,   50.91,   60.55,   66.41,   54.99
29/10/2013 00:15:00,   56.60,   62.20,   50.95,   59.43,   64.76,   54.85
29/10/2013 00:20:00,   55.99,   62.80,   50.59,   58.98,   64.71,   54.58
29/10/2013 00:25:00,   57.15,   62.97,   50.89,   59.89,   64.91,   54.76
29/10/2013 00:30:00,   55.86,   61.65,   50.58,   58.93,   63.95,   54.52
29/10/2013 00:35:00,   55.91,   62.04,   50.89,   58.45,   63.32,   54.67
29/10/2013 00:40:00,   55.41,   62.54,   49.87,   57.98,   64.41,   53.61
29/10/2013 00:45:00,   55.34,   60.12,   49.71,   58.62,   63.60,   53.56
29/10/2013 00:50:00,   55.67,   62.49,   49.91,   58.30,   64.48,   53.67
29/10/2013 00:55:00,   61.67,   70.87,   50.68,   66.10,   75.74,   54.86
29/10/2013 01:00:00,   54.10,   60.30,   49.80,   57.54,   62.47,   53.81
29/10/2013 01:05:00,   54.67,   59.07,   50.17,   58.92,   62.82,   54.61
29/10/2013 01:10:00,   53.97,   59.31,   49.53,   57.58,   62.60,   53.61
29/10/2013 01:15:00,   54.85,   60.62,   49.75,   58.47,   63.24,   53.53
29/10/2013 01:20:00,   56.07,   63.23,   49.55,   59.14,   65.29,   53.59
29/10/2013 01:25:00,   55.05,   60.92,   49.56,   58.11,   63.63,   53.37
29/10/2013 01:30:00,   52.62,   57.25,   49.17,   56.43,   60.07,   53.20
29/10/2013 01:35:00,   54.96,   60.99,   50.19,   58.09,   63.22,   54.30
29/10/2013 01:40:00,   52.42,   55.19,   49.03,   56.18,   59.37,   53.08
29/10/2013 01:45:00,   54.35,   60.13,   49.97,   58.09,   63.25,   53.99
29/10/2013 01:50:00,   54.66,   60.98,   49.83,   57.74,   62.29,   53.91
29/10/2013 01:55:00,   56.50,   62.34,   49.81,   59.94,   64.20,   53.81
29/10/2013 02:00:00,   53.86,   59.94,   49.18,   57.98,   63.59,   53.27
29/10/2013 02:05:00,   56.03,   60.89,   49.95,   59.13,   63.30,   54.01
29/10/2013 02:10:00,   52.70,   56.97,   49.00,   56.71,   60.63,   53.18
29/10/2013 02:15:00,   52.83,   57.14,   48.97,   56.54,   61.40,   53.14
