# noise_analysis run from DCC-NOISE-001011 at Wed Oct 30 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
30/10/2013 00:05:00,   60.32,   65.49,   50.33,   63.38,   67.78,   54.10
30/10/2013 00:10:00,   58.11,   63.83,   50.33,   60.81,   65.85,   54.11
30/10/2013 00:15:00,   59.64,   66.17,   50.29,   62.45,   68.44,   54.49
30/10/2013 00:20:00,   58.94,   64.99,   50.31,   63.18,   69.49,   54.32
30/10/2013 00:25:00,   57.20,   65.10,   49.50,   59.56,   66.72,   53.17
30/10/2013 00:30:00,   58.67,   65.01,   48.95,   61.94,   68.31,   53.00
30/10/2013 00:35:00,   55.36,   60.35,   50.04,   58.91,   63.60,   54.07
30/10/2013 00:40:00,   56.85,   63.26,   49.84,   59.72,   65.02,   53.56
30/10/2013 00:45:00,   56.10,   61.89,   49.38,   59.63,   64.43,   53.13
30/10/2013 00:50:00,   56.62,   63.07,   49.20,   59.75,   65.23,   52.96
30/10/2013 00:55:00,   62.24,   73.46,   48.85,   66.51,   77.00,   53.33
30/10/2013 01:00:00,   55.03,   60.92,   49.28,   58.14,   63.00,   53.52
30/10/2013 01:05:00,   54.09,   58.88,   49.53,   57.69,   62.17,   53.39
30/10/2013 01:10:00,   55.31,   62.22,   48.85,   58.89,   65.33,   53.01
30/10/2013 01:15:00,   55.74,   59.75,   48.70,   60.42,   63.31,   52.75
30/10/2013 01:20:00,   56.67,   64.34,   49.00,   59.25,   65.94,   53.10
30/10/2013 01:25:00,   54.94,   61.78,   49.60,   57.80,   64.21,   53.58
30/10/2013 01:30:00,   56.50,   62.69,   49.17,   59.93,   65.18,   53.35
30/10/2013 01:35:00,   53.39,   59.14,   48.89,   56.54,   61.28,   52.94
30/10/2013 01:40:00,   54.50,   62.73,   48.80,   57.41,   64.90,   52.80
30/10/2013 01:45:00,   54.41,   57.04,   51.02,   58.32,   62.53,   55.10
30/10/2013 01:50:00,   62.81,   67.23,   56.49,   64.51,   68.53,   59.50
30/10/2013 01:55:00,   62.55,   68.39,   49.64,   64.52,   69.43,   53.75
30/10/2013 02:00:00,   63.10,   68.84,   52.09,   64.79,   69.88,   55.62
30/10/2013 02:05:00,   53.91,   55.48,   49.58,   57.32,   59.49,   53.64
30/10/2013 02:10:00,   52.30,   56.60,   48.77,   55.57,   59.22,   52.74
30/10/2013 02:15:00,   52.27,   56.23,   48.48,   55.36,   58.48,   52.46
30/10/2013 02:20:00,   51.87,   56.82,   48.39,   55.58,   59.53,   52.35
30/10/2013 02:25:00,   51.40,   52.82,   48.29,   54.81,   55.96,   52.30
30/10/2013 02:30:00,   53.42,   58.89,   48.82,   56.57,   60.86,   52.81
30/10/2013 02:35:00,   52.29,   55.93,   48.85,   55.45,   58.56,   52.87
30/10/2013 02:40:00,   52.57,   58.78,   48.23,   56.02,   60.97,   52.35
30/10/2013 02:45:00,   56.97,   62.41,   48.50,   62.27,   68.37,   52.69
30/10/2013 02:50:00,   62.44,   63.13,   61.27,   68.36,   68.92,   67.55
30/10/2013 02:55:00,   55.75,   62.98,   48.62,   59.89,   67.69,   52.56
30/10/2013 03:00:00,   53.62,   59.52,   48.69,   56.46,   61.64,   52.72
30/10/2013 03:05:00,   57.94,   61.29,   49.18,   63.60,   67.43,   52.75
30/10/2013 03:10:00,   59.68,   62.58,   51.11,   65.16,   67.51,   57.32
30/10/2013 03:15:00,   59.23,   63.19,   50.40,   63.57,   67.70,   54.36
30/10/2013 03:20:00,   74.20,   79.72,   64.90,   77.44,   82.96,   69.62
30/10/2013 03:25:00,   59.48,   65.08,   53.58,   63.56,   68.60,   58.00
30/10/2013 03:30:00,   54.60,   60.34,   49.97,   57.77,   61.98,   53.83
30/10/2013 03:35:00,   55.07,   62.82,   48.97,   57.93,   64.98,   52.85
30/10/2013 03:40:00,   54.23,   59.41,   48.98,   57.36,   62.67,   52.68
30/10/2013 03:45:00,   54.07,   59.91,   48.84,   57.09,   62.73,   52.83
30/10/2013 03:50:00,   53.29,   57.90,   48.99,   56.32,   60.43,   52.75
30/10/2013 03:55:00,   57.67,   63.65,   49.67,   61.05,   65.98,   54.00
30/10/2013 04:00:00,   54.14,   59.26,   49.50,   57.27,   61.60,   53.27
30/10/2013 04:05:00,   54.64,   59.70,   49.19,   57.62,   61.88,   53.08
30/10/2013 04:10:00,   55.34,   61.37,   49.35,   58.29,   63.52,   53.62
30/10/2013 04:15:00,   61.46,   67.63,   52.01,   63.38,   68.64,   55.87
30/10/2013 04:20:00,   57.36,   63.40,   49.41,   60.82,   66.06,   53.44
30/10/2013 04:25:00,   54.81,   62.34,   48.48,   58.03,   64.35,   52.64
30/10/2013 04:30:00,   56.80,   63.49,   49.32,   60.06,   65.94,   54.04
30/10/2013 04:35:00,   55.55,   62.24,   48.94,   59.04,   65.08,   53.53
