# noise_analysis run from DCC-NOISE-001011 at Sun Sep  1 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
01/09/2013 00:05:00,   56.47,   62.31,   48.39,   59.93,   65.48,   52.47
01/09/2013 00:10:00,   58.18,   63.29,   47.73,   61.57,   65.86,   52.19
01/09/2013 00:15:00,   59.30,   64.73,   49.32,   62.60,   67.21,   53.54
01/09/2013 00:20:00,   57.08,   65.00,   48.55,   60.81,   67.10,   52.88
01/09/2013 00:25:00,   57.73,   64.03,   48.82,   61.29,   67.01,   53.07
01/09/2013 00:30:00,   59.14,   64.72,   49.38,   62.43,   67.24,   53.14
01/09/2013 00:35:00,   59.10,   64.26,   50.19,   63.11,   67.58,   54.13
01/09/2013 00:40:00,   58.03,   63.86,   49.28,   60.64,   65.83,   53.04
01/09/2013 00:45:00,   59.08,   64.46,   49.91,   62.46,   67.11,   53.68
01/09/2013 00:50:00,   60.97,   66.43,   49.27,   64.68,   69.55,   53.20
01/09/2013 00:55:00,   55.67,   61.92,   47.79,   58.55,   64.67,   51.22
01/09/2013 01:00:00,   57.94,   63.92,   48.80,   60.78,   66.08,   52.51
01/09/2013 01:05:00,   58.04,   63.16,   48.82,   61.34,   65.39,   52.67
01/09/2013 01:10:00,   57.37,   63.82,   48.29,   60.26,   66.16,   51.98
01/09/2013 01:15:00,   53.81,   58.88,   47.34,   57.21,   61.63,   51.53
01/09/2013 01:20:00,   56.64,   63.38,   47.83,   59.42,   65.74,   51.69
01/09/2013 01:25:00,   56.30,   62.72,   47.93,   58.55,   64.52,   51.53
01/09/2013 01:30:00,   56.38,   63.12,   48.10,   59.39,   65.85,   52.28
01/09/2013 01:35:00,   56.97,   63.19,   47.41,   59.85,   65.65,   51.92
01/09/2013 01:40:00,   55.26,   61.72,   47.44,   58.09,   63.57,   51.37
01/09/2013 01:45:00,   56.67,   62.54,   48.15,   59.11,   64.94,   51.69
