# noise_analysis run from DCC-NOISE-001011 at Mon Sep  2 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
02/09/2013 00:05:00,   57.29,   64.57,   48.88,   61.40,   67.98,   53.34
02/09/2013 00:10:00,   56.76,   63.38,   48.93,   59.86,   65.45,   52.67
02/09/2013 00:15:00,   55.02,   60.54,   48.14,   58.57,   63.03,   52.01
02/09/2013 00:20:00,   55.94,   61.73,   49.50,   59.57,   64.32,   53.53
02/09/2013 00:25:00,   55.65,   59.86,   48.46,   58.90,   63.10,   52.61
02/09/2013 00:30:00,   55.81,   61.24,   48.54,   59.51,   64.01,   52.79
02/09/2013 00:35:00,   55.81,   61.21,   48.13,   59.14,   64.19,   51.97
02/09/2013 00:40:00,   53.62,   59.34,   47.49,   57.24,   62.00,   51.46
02/09/2013 00:45:00,   54.86,   61.80,   48.72,   58.10,   63.76,   52.87
02/09/2013 00:50:00,   56.67,   63.25,   49.09,   60.37,   66.57,   52.93
02/09/2013 00:55:00,   57.36,   61.35,   51.00,   60.21,   64.04,   54.21
02/09/2013 01:00:00,   55.79,   62.10,   47.95,   58.86,   64.35,   51.92
02/09/2013 01:05:00,   54.88,   60.39,   48.35,   59.11,   64.36,   52.40
02/09/2013 01:10:00,   54.19,   60.97,   47.42,   58.34,   64.43,   51.44
02/09/2013 01:15:00,   53.01,   58.87,   46.45,   56.44,   62.20,   50.49
02/09/2013 01:20:00,   55.46,   61.37,   47.73,   59.60,   65.16,   51.80
02/09/2013 01:25:00,   51.42,   55.46,   46.16,   55.27,   59.08,   50.47
02/09/2013 01:30:00,   50.57,   54.33,   46.45,   54.49,   58.26,   51.46
