# noise_analysis run from DCC-NOISE-001011 at Tue Sep  3 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
03/09/2013 00:05:00,   55.80,   60.40,   45.21,   59.77,   64.29,   49.69
03/09/2013 00:10:00,   54.76,   61.66,   44.88,   57.69,   64.08,   49.71
03/09/2013 00:15:00,   55.13,   61.09,   44.70,   58.93,   64.30,   49.51
03/09/2013 00:20:00,   54.43,   61.06,   44.69,   58.86,   65.12,   49.17
03/09/2013 00:25:00,   56.00,   62.85,   44.77,   59.73,   65.65,   49.74
03/09/2013 00:30:00,   55.99,   63.65,   44.76,   59.69,   66.59,   49.50
03/09/2013 00:35:00,   56.74,   64.45,   45.14,   60.25,   67.28,   49.77
03/09/2013 00:40:00,   51.47,   57.71,   43.69,   55.17,   60.56,   48.47
03/09/2013 00:45:00,   55.96,   62.61,   44.15,   59.46,   65.46,   48.95
03/09/2013 00:50:00,   52.15,   58.55,   43.66,   55.79,   61.85,   47.92
03/09/2013 00:55:00,   53.77,   60.02,   43.66,   57.69,   63.13,   48.24
03/09/2013 01:00:00,   56.00,   62.53,   44.82,   59.63,   65.23,   48.83
03/09/2013 01:05:00,   51.11,   58.05,   43.73,   54.47,   60.37,   48.38
03/09/2013 01:10:00,   53.54,   61.44,   42.67,   58.92,   65.21,   48.65
03/09/2013 01:15:00,   51.69,   59.95,   43.07,   54.66,   61.93,   47.79
03/09/2013 01:20:00,   51.24,   59.05,   42.83,   54.89,   61.95,   48.07
03/09/2013 01:25:00,   52.80,   59.27,   42.81,   56.45,   62.00,   48.16
03/09/2013 01:30:00,   51.40,   57.36,   43.53,   54.98,   60.28,   48.81
03/09/2013 01:35:00,   51.20,   58.62,   43.26,   54.72,   60.93,   48.40
03/09/2013 01:40:00,   51.54,   58.62,   42.82,   55.23,   61.35,   47.33
03/09/2013 01:45:00,   49.12,   56.26,   42.13,   53.20,   59.56,   47.17
03/09/2013 01:50:00,   49.89,   55.57,   41.98,   53.88,   60.55,   46.88
03/09/2013 01:55:00,   48.06,   54.34,   40.57,   51.90,   57.44,   45.58
03/09/2013 02:00:00,   52.69,   61.00,   41.35,   55.36,   62.85,   46.45
03/09/2013 02:05:00,   47.75,   53.30,   41.25,   51.27,   55.59,   46.46
03/09/2013 02:10:00,   51.54,   58.67,   41.83,   54.45,   60.48,   47.01
03/09/2013 02:15:00,   48.12,   55.30,   41.45,   51.66,   57.86,   46.70
