# noise_analysis run from DCC-NOISE-001011 at Wed Sep  4 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
04/09/2013 00:05:00,   60.63,   64.24,   49.72,   64.22,   67.28,   55.55
04/09/2013 00:10:00,   60.22,   63.21,   56.62,   63.41,   65.66,   60.82
04/09/2013 00:15:00,   60.42,   64.17,   48.73,   64.62,   68.06,   54.28
04/09/2013 00:20:00,   60.85,   64.18,   53.16,   64.37,   66.75,   58.22
04/09/2013 00:25:00,   60.55,   63.07,   50.60,   64.70,   66.69,   56.12
04/09/2013 00:30:00,   55.48,   61.63,   44.12,   59.24,   64.78,   48.85
04/09/2013 00:35:00,   56.68,   59.67,   45.09,   60.24,   63.99,   49.46
04/09/2013 00:40:00,   48.10,   52.20,   42.94,   51.89,   54.64,   48.12
04/09/2013 00:45:00,   54.13,   61.30,   43.85,   57.78,   64.28,   48.46
04/09/2013 00:50:00,   56.78,   64.38,   45.13,   60.95,   67.84,   49.94
04/09/2013 00:55:00,   50.05,   57.06,   42.79,   54.02,   60.47,   47.64
04/09/2013 01:00:00,   53.87,   60.81,   43.11,   56.39,   62.88,   47.50
04/09/2013 01:05:00,   54.89,   62.99,   43.38,   59.11,   66.70,   48.14
04/09/2013 01:10:00,   51.49,   58.44,   43.35,   54.82,   60.54,   48.65
04/09/2013 01:15:00,   50.31,   58.22,   43.24,   53.63,   60.46,   47.94
04/09/2013 01:20:00,   51.96,   59.09,   43.86,   55.81,   62.32,   48.73
04/09/2013 01:25:00,   53.24,   61.44,   44.14,   57.44,   64.27,   49.80
04/09/2013 01:30:00,   50.51,   57.04,   44.06,   53.81,   59.61,   48.69
04/09/2013 01:35:00,   51.91,   60.61,   43.08,   55.54,   62.55,   48.06
04/09/2013 01:40:00,   50.07,   57.26,   42.38,   53.37,   59.80,   46.63
04/09/2013 01:45:00,   61.52,   73.34,   42.78,   65.78,   77.69,   48.35
