# noise_analysis run from DCC-NOISE-001011 at Thu Sep  5 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
05/09/2013 00:05:00,   58.81,   64.25,   47.48,   61.77,   66.27,   51.44
05/09/2013 00:10:00,   53.62,   59.45,   47.16,   57.47,   62.57,   52.26
05/09/2013 00:15:00,   57.87,   62.78,   46.76,   61.29,   65.23,   51.20
05/09/2013 00:20:00,   58.18,   65.92,   45.92,   62.95,   71.05,   50.52
05/09/2013 00:25:00,   50.95,   57.68,   45.20,   54.74,   60.13,   49.73
05/09/2013 00:30:00,   57.33,   62.08,   46.96,   61.05,   65.26,   52.22
05/09/2013 00:35:00,   51.95,   56.94,   45.22,   55.47,   59.61,   49.64
05/09/2013 00:40:00,   58.19,   64.55,   45.53,   62.12,   68.17,   50.38
05/09/2013 00:45:00,   55.45,   61.29,   45.43,   59.64,   64.99,   50.28
05/09/2013 00:50:00,   53.71,   62.34,   44.13,   57.94,   65.65,   49.13
05/09/2013 00:55:00,   52.58,   61.41,   44.01,   56.06,   63.51,   48.80
05/09/2013 01:00:00,   48.65,   54.26,   43.29,   52.85,   58.14,   48.33
05/09/2013 01:05:00,   54.51,   61.98,   44.32,   59.10,   66.82,   48.43
05/09/2013 01:10:00,   52.63,   59.70,   43.42,   58.48,   63.34,   48.12
05/09/2013 01:15:00,   48.34,   54.60,   43.33,   51.89,   57.03,   47.82
05/09/2013 01:20:00,   50.92,   57.41,   42.96,   54.57,   60.79,   47.82
05/09/2013 01:25:00,   50.36,   57.54,   43.30,   54.20,   60.28,   47.87
05/09/2013 01:30:00,   52.51,   59.87,   43.40,   54.66,   60.83,   47.69
05/09/2013 01:35:00,   50.12,   58.23,   43.12,   54.33,   61.07,   47.82
05/09/2013 01:40:00,   52.65,   59.38,   44.54,   56.22,   61.92,   49.10
05/09/2013 01:45:00,   50.66,   57.16,   43.95,   54.18,   59.85,   48.41
05/09/2013 01:50:00,   49.11,   55.55,   43.59,   52.62,   58.11,   48.21
05/09/2013 01:55:00,   49.24,   54.18,   43.81,   52.89,   57.71,   48.14
05/09/2013 02:00:00,   52.43,   60.21,   43.88,   56.47,   63.52,   48.21
05/09/2013 02:05:00,   49.23,   54.58,   43.98,   53.21,   58.22,   48.79
05/09/2013 02:10:00,   49.57,   55.72,   43.79,   53.58,   59.09,   48.89
05/09/2013 02:15:00,   47.02,   51.78,   42.58,   51.26,   56.58,   46.85
05/09/2013 02:20:00,   50.21,   55.82,   42.88,   54.33,   59.97,   47.84
05/09/2013 02:25:00,   50.23,   57.84,   43.79,   53.92,   60.01,   48.04
05/09/2013 02:30:00,   49.02,   52.78,   44.22,   52.85,   56.44,   48.30
05/09/2013 02:35:00,   48.97,   55.43,   43.34,   53.15,   59.69,   47.63
05/09/2013 02:40:00,   49.19,   52.92,   43.42,   53.30,   58.14,   47.46
05/09/2013 02:45:00,   51.04,   56.51,   44.36,   55.43,   60.59,   48.53
05/09/2013 02:50:00,   47.49,   51.33,   41.44,   52.00,   56.42,   45.91
05/09/2013 02:55:00,   48.37,   54.23,   42.37,   52.76,   58.15,   47.00
05/09/2013 03:00:00,   50.08,   54.05,   43.70,   53.54,   57.26,   48.01
05/09/2013 03:05:00,   53.12,   59.83,   43.34,   57.31,   63.35,   48.14
05/09/2013 03:10:00,   54.09,   60.99,   47.44,   58.47,   63.57,   51.77
05/09/2013 03:15:00,   50.36,   55.90,   45.60,   54.36,   59.07,   50.07
05/09/2013 03:20:00,   53.29,   60.44,   46.01,   56.87,   63.38,   50.23
05/09/2013 03:25:00,   48.93,   52.72,   44.76,   52.96,   55.65,   49.30
05/09/2013 03:30:00,   52.32,   59.82,   45.67,   55.50,   62.75,   50.17
05/09/2013 03:35:00,   53.64,   60.72,   45.83,   57.82,   64.10,   50.55
05/09/2013 03:40:00,   54.48,   61.85,   46.40,   58.56,   65.58,   50.98
05/09/2013 03:45:00,   50.62,   55.98,   44.26,   55.17,   60.45,   48.68
05/09/2013 03:50:00,   52.10,   58.22,   44.71,   55.64,   60.78,   49.24
05/09/2013 03:55:00,   52.41,   60.05,   44.85,   56.47,   62.46,   49.57
05/09/2013 04:00:00,   55.10,   61.25,   44.97,   58.09,   63.27,   49.63
05/09/2013 04:05:00,   51.91,   57.84,   43.63,   55.21,   60.33,   48.63
05/09/2013 04:10:00,   53.81,   61.47,   43.42,   57.63,   64.25,   48.58
05/09/2013 04:15:00,   51.88,   58.96,   43.32,   56.26,   61.85,   48.97
05/09/2013 04:20:00,   51.41,   58.92,   42.53,   54.93,   61.21,   47.84
05/09/2013 04:25:00,   51.08,   57.11,   42.81,   54.66,   59.72,   47.61
05/09/2013 04:30:00,   54.94,   61.79,   44.31,   58.82,   64.61,   49.67
05/09/2013 04:35:00,   53.71,   60.78,   43.57,   57.34,   63.48,   49.09
05/09/2013 04:40:00,   53.74,   61.67,   45.31,   57.39,   64.11,   50.70
05/09/2013 04:45:00,   53.37,   60.71,   44.87,   57.85,   63.24,   50.90
05/09/2013 04:50:00,   51.07,   57.34,   44.72,   55.15,   60.07,   50.27
05/09/2013 04:55:00,   53.05,   60.96,   44.34,   56.93,   63.37,   50.27
05/09/2013 05:00:00,   56.83,   63.58,   45.03,   60.99,   66.66,   51.15
05/09/2013 05:05:00,   54.02,   61.25,   44.06,   58.23,   64.07,   50.88
05/09/2013 05:10:00,   59.02,   66.07,   48.13,   63.24,   68.79,   55.65
05/09/2013 05:15:00,   54.36,   59.70,   45.36,   59.35,   63.53,   54.35
05/09/2013 05:20:00,   53.75,   59.67,   45.98,   58.96,   63.45,   54.35
05/09/2013 05:25:00,   56.56,   62.97,   46.50,   61.04,   66.59,   53.57
05/09/2013 05:30:00,   57.27,   63.16,   46.15,   62.21,   66.95,   52.85
05/09/2013 05:35:00,   57.05,   64.87,   47.45,   61.69,   68.00,   53.85
05/09/2013 05:40:00,   56.32,   62.91,   48.49,   60.33,   65.42,   54.04
05/09/2013 05:45:00,   61.07,   67.43,   50.92,   66.20,   71.12,   56.86
05/09/2013 05:50:00,   59.12,   64.15,   51.20,   64.87,   69.08,   57.27
05/09/2013 05:55:00,   61.95,   66.54,   54.00,   68.13,   71.38,   60.22
05/09/2013 06:00:00,   55.75,   61.03,   49.75,   60.45,   65.14,   55.28
05/09/2013 06:05:00,   61.29,   67.44,   50.58,   65.07,   71.03,   56.54
05/09/2013 06:10:00,   58.93,   64.85,   49.38,   62.69,   67.77,   55.30
05/09/2013 06:15:00,   59.19,   64.72,   49.81,   63.54,   67.89,   56.27
05/09/2013 06:20:00,   59.96,   65.04,   51.05,   63.83,   68.36,   57.02
05/09/2013 06:25:00,   63.03,   67.81,   51.34,   67.14,   72.38,   57.53
05/09/2013 06:30:00,   59.96,   65.42,   49.21,   63.53,   68.70,   54.39
05/09/2013 06:35:00,   60.33,   66.81,   50.75,   64.54,   70.07,   56.21
05/09/2013 06:40:00,   58.59,   65.31,   49.91,   62.72,   68.56,   55.71
05/09/2013 06:45:00,   60.00,   66.15,   51.59,   64.50,   69.72,   57.08
05/09/2013 06:50:00,   60.98,   66.33,   52.44,   64.95,   68.78,   58.44
05/09/2013 06:55:00,   59.97,   64.99,   52.80,   65.72,   69.08,   59.93
05/09/2013 07:00:00,   62.52,   66.16,   58.10,   69.39,   71.65,   66.88
05/09/2013 07:05:00,   64.29,   68.10,   58.87,   71.11,   73.55,   67.64
05/09/2013 07:10:00,   64.34,   67.09,   61.03,   68.69,   70.92,   65.32
05/09/2013 07:15:00,   63.66,   68.17,   53.17,   68.28,   72.35,   59.87
05/09/2013 07:20:00,   63.34,   68.11,   52.67,   68.04,   73.04,   59.72
05/09/2013 07:25:00,   59.84,   64.81,   50.68,   64.40,   68.78,   56.43
05/09/2013 07:30:00,   62.72,   69.01,   51.40,   66.70,   72.77,   57.57
05/09/2013 07:35:00,   68.15,   70.90,   61.81,   71.41,   73.55,   65.77
05/09/2013 07:40:00,   64.53,   68.59,   52.98,   69.09,   74.33,   59.33
05/09/2013 07:45:00,   61.01,   65.93,   51.12,   65.24,   69.38,   57.34
05/09/2013 07:50:00,   62.57,   68.55,   51.73,   66.77,   72.38,   58.32
05/09/2013 07:55:00,   60.64,   65.18,   50.60,   65.06,   68.60,   56.37
05/09/2013 08:00:00,   63.38,   68.65,   52.50,   66.93,   72.08,   57.70
05/09/2013 08:05:00,   62.04,   67.86,   50.39,   66.32,   71.18,   57.27
05/09/2013 08:10:00,   63.00,   68.88,   52.59,   67.17,   71.96,   58.32
05/09/2013 08:15:00,   61.39,   67.32,   51.69,   65.42,   70.11,   57.29
05/09/2013 08:20:00,   62.01,   68.14,   51.59,   67.35,   73.17,   57.63
05/09/2013 08:25:00,   61.15,   66.27,   50.70,   64.96,   69.38,   56.16
05/09/2013 08:30:00,   62.70,   69.04,   51.24,   66.72,   73.42,   57.28
05/09/2013 08:35:00,   61.67,   65.07,   52.63,   65.72,   69.52,   57.17
05/09/2013 08:40:00,   62.73,   68.35,   51.77,   66.72,   72.44,   57.61
05/09/2013 08:45:00,   60.61,   67.46,   51.05,   64.71,   70.57,   56.24
05/09/2013 08:50:00,   61.75,   66.58,   51.94,   65.75,   70.76,   57.97
05/09/2013 08:55:00,   62.73,   67.78,   51.02,   66.69,   71.38,   56.03
05/09/2013 09:00:00,   62.50,   67.53,   52.05,   66.33,   70.89,   57.09
05/09/2013 09:05:00,   61.11,   65.84,   52.23,   65.55,   69.80,   58.57
05/09/2013 09:10:00,   63.97,   68.63,   52.93,   68.31,   72.77,   58.32
05/09/2013 09:15:00,   60.55,   66.47,   49.69,   65.07,   69.84,   55.54
05/09/2013 09:20:00,   63.33,   68.40,   52.53,   67.61,   72.46,   58.88
05/09/2013 09:25:00,   61.62,   65.90,   52.51,   65.18,   68.81,   57.95
05/09/2013 09:30:00,   63.32,   68.03,   52.13,   67.13,   72.03,   57.36
05/09/2013 09:35:00,   61.87,   67.08,   51.84,   66.20,   71.06,   57.84
05/09/2013 09:40:00,   62.66,   66.95,   52.58,   66.69,   70.72,   58.05
05/09/2013 09:45:00,   62.03,   66.77,   50.88,   66.23,   71.52,   56.83
05/09/2013 09:50:00,   62.75,   67.12,   53.49,   66.80,   70.84,   58.19
05/09/2013 09:55:00,   62.69,   68.81,   51.73,   67.19,   72.58,   57.42
05/09/2013 10:00:00,   61.87,   66.45,   52.18,   66.40,   70.08,   57.62
05/09/2013 10:05:00,   61.98,   66.13,   52.32,   66.25,   70.41,   57.57
05/09/2013 10:10:00,   62.71,   69.59,   51.18,   67.12,   73.44,   56.23
05/09/2013 10:15:00,   60.94,   64.60,   52.91,   66.48,   71.72,   57.98
05/09/2013 10:20:00,   61.29,   67.01,   50.56,   65.71,   71.46,   56.65
05/09/2013 10:25:00,   65.63,   69.62,   55.13,   69.83,   74.14,   60.31
05/09/2013 10:30:00,   61.93,   65.96,   53.04,   66.31,   70.02,   58.36
05/09/2013 10:35:00,   64.26,   68.06,   58.96,   67.49,   71.41,   60.67
05/09/2013 10:40:00,   62.93,   66.04,   58.26,   65.77,   69.67,   59.57
05/09/2013 10:45:00,   63.16,   67.65,   58.69,   65.98,   71.28,   60.20
05/09/2013 10:50:00,   63.29,   66.47,   58.43,   66.29,   69.56,   59.27
05/09/2013 10:55:00,   61.56,   66.90,   50.92,   65.50,   70.26,   56.46
05/09/2013 11:00:00,   62.36,   67.66,   52.84,   66.48,   71.81,   57.96
05/09/2013 11:05:00,   58.42,   63.89,   50.51,   63.05,   67.11,   56.22
05/09/2013 11:10:00,   60.67,   66.58,   49.88,   64.63,   69.52,   55.49
05/09/2013 11:15:00,   61.64,   67.37,   50.16,   66.97,   74.13,   55.77
05/09/2013 11:20:00,   62.04,   67.60,   53.46,   66.65,   72.00,   59.23
05/09/2013 11:25:00,   60.33,   66.29,   52.35,   64.14,   69.58,   56.48
05/09/2013 11:30:00,   63.22,   68.12,   54.14,   68.02,   73.85,   59.60
05/09/2013 11:35:00,   61.32,   66.43,   51.24,   65.25,   70.09,   56.85
05/09/2013 11:40:00,   61.46,   66.02,   52.27,   65.44,   69.60,   58.07
05/09/2013 11:45:00,   60.16,   65.44,   49.95,   64.52,   69.83,   55.93
05/09/2013 11:50:00,   60.73,   65.30,   53.13,   64.72,   68.84,   57.80
05/09/2013 11:55:00,   60.49,   65.30,   51.67,   65.32,   69.40,   57.44
05/09/2013 12:00:00,   62.69,   67.46,   51.34,   66.62,   71.66,   56.22
05/09/2013 12:05:00,   61.89,   65.99,   54.88,   65.86,   70.78,   59.06
05/09/2013 12:10:00,   60.79,   65.44,   50.50,   64.86,   69.31,   56.61
05/09/2013 12:15:00,   59.98,   65.29,   49.67,   64.52,   70.74,   55.43
05/09/2013 12:20:00,   63.24,   68.79,   51.55,   67.01,   72.84,   57.49
05/09/2013 12:25:00,   62.04,   64.84,   58.05,   64.66,   67.41,   59.74
05/09/2013 12:30:00,   62.23,   66.76,   57.04,   65.35,   71.17,   58.68
05/09/2013 12:35:00,   61.72,   65.20,   56.97,   64.74,   68.56,   58.93
05/09/2013 12:40:00,   62.42,   67.49,   51.46,   66.48,   72.12,   57.20
05/09/2013 12:45:00,   61.36,   66.32,   51.96,   65.43,   70.10,   57.07
05/09/2013 12:50:00,   60.16,   63.75,   52.87,   64.00,   67.51,   57.22
