# noise_analysis run from DCC-NOISE-001011 at Fri Sep  6 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
06/09/2013 00:05:00,   54.48,   60.78,   45.13,   57.99,   63.53,   50.15
06/09/2013 00:10:00,   57.11,   63.72,   46.30,   60.47,   66.16,   50.99
06/09/2013 00:15:00,   56.37,   63.15,   45.31,   60.48,   66.45,   50.06
06/09/2013 00:20:00,   56.29,   63.56,   43.80,   59.93,   66.19,   49.31
06/09/2013 00:25:00,   56.89,   62.71,   45.64,   60.68,   66.39,   50.35
06/09/2013 00:30:00,   56.44,   63.10,   44.83,   61.11,   67.33,   49.17
06/09/2013 00:35:00,   59.73,   66.96,   44.67,   67.23,   74.43,   50.81
06/09/2013 00:40:00,   54.15,   60.95,   44.76,   57.67,   63.46,   50.89
06/09/2013 00:45:00,   58.61,   64.47,   47.02,   62.73,   68.61,   51.59
06/09/2013 00:50:00,   56.90,   62.37,   45.39,   59.98,   64.39,   50.46
06/09/2013 00:55:00,   53.37,   59.53,   44.72,   56.60,   62.57,   49.20
06/09/2013 01:00:00,   51.89,   58.84,   44.73,   55.43,   60.74,   49.31
06/09/2013 01:05:00,   51.90,   58.16,   44.32,   55.34,   60.95,   49.03
06/09/2013 01:10:00,   56.21,   61.84,   44.58,   59.94,   64.27,   50.68
06/09/2013 01:15:00,   52.54,   58.76,   44.30,   56.08,   61.38,   49.17
06/09/2013 01:20:00,   53.33,   59.57,   44.75,   56.07,   61.93,   49.22
06/09/2013 01:25:00,   52.25,   58.39,   44.96,   55.84,   61.24,   49.70
06/09/2013 01:30:00,   55.00,   60.48,   46.80,   58.58,   63.78,   51.62
06/09/2013 01:35:00,   54.84,   62.17,   44.72,   58.72,   65.24,   50.61
06/09/2013 01:40:00,   59.91,   72.47,   42.76,   63.91,   76.21,   47.93
06/09/2013 01:45:00,   55.98,   62.07,   45.97,   59.95,   65.82,   51.51
06/09/2013 01:50:00,   54.06,   62.32,   45.02,   57.22,   64.33,   50.67
06/09/2013 01:55:00,   50.98,   55.49,   46.23,   55.21,   58.83,   51.82
06/09/2013 02:00:00,   52.40,   58.87,   46.48,   56.29,   61.24,   51.14
06/09/2013 02:05:00,   53.03,   59.35,   46.46,   56.41,   61.85,   50.71
06/09/2013 02:10:00,   54.43,   60.35,   46.00,   58.11,   63.74,   51.08
06/09/2013 02:15:00,   54.51,   60.08,   45.89,   58.03,   62.73,   51.64
06/09/2013 02:20:00,   65.29,   71.96,   53.52,   69.33,   75.43,   58.36
06/09/2013 02:25:00,   67.94,   70.53,   63.44,   70.63,   73.17,   65.76
06/09/2013 02:30:00,   65.91,   69.52,   62.80,   68.55,   71.95,   65.57
06/09/2013 02:35:00,   64.92,   67.91,   61.34,   68.34,   71.31,   65.07
06/09/2013 02:40:00,   66.48,   68.42,   61.87,   70.73,   73.39,   66.18
06/09/2013 02:45:00,   66.08,   67.85,   61.87,   70.43,   72.14,   64.11
06/09/2013 02:50:00,   65.60,   67.93,   61.41,   69.77,   71.74,   65.60
06/09/2013 02:55:00,   51.74,   58.05,   45.77,   55.85,   61.36,   50.78
06/09/2013 03:00:00,   50.59,   55.51,   46.30,   54.74,   58.46,   51.29
06/09/2013 03:05:00,   51.93,   57.77,   46.14,   55.78,   61.13,   51.17
06/09/2013 03:10:00,   58.64,   63.97,   46.43,   63.25,   68.26,   51.71
06/09/2013 03:15:00,   52.31,   59.04,   45.85,   55.73,   61.23,   50.71
06/09/2013 03:20:00,   52.68,   58.60,   45.36,   55.93,   61.09,   50.22
06/09/2013 03:25:00,   53.47,   60.53,   45.58,   57.60,   64.14,   50.44
06/09/2013 03:30:00,   51.90,   58.95,   44.73,   55.38,   61.68,   49.96
06/09/2013 03:35:00,   51.98,   58.55,   44.59,   56.19,   62.62,   49.89
06/09/2013 03:40:00,   55.47,   62.99,   45.25,   58.97,   65.36,   51.32
06/09/2013 03:45:00,   50.05,   55.59,   44.18,   53.91,   58.38,   49.43
06/09/2013 03:50:00,   53.11,   61.15,   44.66,   56.04,   62.76,   49.17
06/09/2013 03:55:00,   50.38,   56.36,   44.35,   54.13,   59.29,   49.18
06/09/2013 04:00:00,   50.78,   58.21,   43.51,   54.34,   61.01,   48.61
06/09/2013 04:05:00,   51.03,   54.97,   44.61,   55.58,   60.73,   49.52
06/09/2013 04:10:00,   54.79,   62.40,   44.87,   57.83,   64.41,   49.60
06/09/2013 04:15:00,   54.71,   62.62,   43.94,   57.95,   65.00,   48.71
06/09/2013 04:20:00,   51.49,   58.42,   44.35,   55.60,   61.71,   48.92
06/09/2013 04:25:00,   53.61,   61.94,   44.17,   56.70,   63.80,   49.56
06/09/2013 04:30:00,   53.58,   60.45,   44.78,   57.68,   63.48,   50.57
06/09/2013 04:35:00,   53.48,   59.79,   44.87,   57.46,   63.89,   49.92
06/09/2013 04:40:00,   56.31,   63.42,   46.42,   59.89,   65.42,   52.23
06/09/2013 04:45:00,   54.00,   60.16,   47.38,   58.54,   62.65,   53.89
06/09/2013 04:50:00,   55.38,   61.87,   45.96,   60.59,   66.55,   51.46
06/09/2013 04:55:00,   56.00,   64.23,   46.35,   59.11,   66.37,   51.21
06/09/2013 05:00:00,   57.65,   65.17,   47.11,   61.95,   69.24,   52.17
06/09/2013 05:05:00,   58.05,   64.92,   47.14,   61.78,   67.65,   52.01
06/09/2013 05:10:00,   55.12,   61.73,   48.04,   59.51,   64.85,   53.57
06/09/2013 05:15:00,   57.85,   64.98,   48.80,   62.16,   67.78,   54.46
06/09/2013 05:20:00,   56.29,   62.18,   47.94,   61.26,   65.96,   53.14
06/09/2013 05:25:00,   52.73,   58.44,   47.41,   57.31,   61.67,   53.12
06/09/2013 05:30:00,   60.46,   67.15,   46.09,   63.86,   69.79,   51.69
06/09/2013 05:35:00,   56.70,   63.13,   48.16,   60.99,   66.60,   53.71
06/09/2013 05:40:00,   56.45,   62.80,   47.67,   61.14,   66.35,   53.14
06/09/2013 05:45:00,   58.86,   64.64,   50.28,   63.34,   67.72,   55.92
06/09/2013 05:50:00,   58.94,   66.29,   47.99,   65.63,   72.30,   54.24
06/09/2013 05:55:00,   58.79,   64.09,   49.98,   63.08,   67.52,   55.68
06/09/2013 06:00:00,   57.26,   63.67,   48.91,   61.62,   66.82,   55.40
06/09/2013 06:05:00,   59.95,   65.98,   50.22,   64.39,   69.66,   56.11
06/09/2013 06:10:00,   56.21,   63.19,   48.84,   60.35,   65.94,   54.13
06/09/2013 06:15:00,   59.59,   65.16,   50.79,   63.83,   68.07,   57.02
06/09/2013 06:20:00,   58.37,   64.83,   51.55,   62.60,   67.97,   57.68
06/09/2013 06:25:00,   60.02,   67.38,   51.62,   64.13,   70.69,   57.19
06/09/2013 06:30:00,   60.81,   66.71,   50.42,   65.15,   70.51,   57.17
06/09/2013 06:35:00,   56.53,   61.51,   51.66,   61.22,   64.97,   56.96
06/09/2013 06:40:00,   60.68,   66.22,   52.76,   65.25,   69.66,   59.03
06/09/2013 06:45:00,   62.63,   67.96,   52.64,   68.35,   74.06,   58.30
06/09/2013 06:50:00,   60.80,   67.56,   52.07,   64.30,   70.26,   57.22
06/09/2013 06:55:00,   61.06,   67.36,   51.91,   64.58,   69.66,   57.20
06/09/2013 07:00:00,   61.81,   68.56,   52.76,   65.78,   71.45,   57.78
06/09/2013 07:05:00,   61.37,   67.45,   51.71,   64.97,   70.44,   57.22
06/09/2013 07:10:00,   60.14,   67.70,   51.37,   64.08,   70.16,   57.34
06/09/2013 07:15:00,   62.76,   67.86,   53.23,   67.14,   72.30,   58.66
06/09/2013 07:20:00,   62.77,   68.20,   53.17,   67.01,   72.45,   59.39
06/09/2013 07:25:00,   62.54,   66.95,   54.36,   66.54,   69.90,   59.22
06/09/2013 07:30:00,   59.89,   65.53,   52.58,   64.27,   68.70,   58.11
06/09/2013 07:35:00,   63.98,   68.83,   52.38,   68.21,   73.00,   58.41
06/09/2013 07:40:00,   63.29,   68.29,   53.62,   67.89,   72.91,   60.37
06/09/2013 07:45:00,   63.76,   68.65,   53.51,   67.95,   72.58,   60.46
06/09/2013 07:50:00,   62.08,   66.71,   52.64,   66.03,   69.80,   58.26
06/09/2013 07:55:00,   62.79,   66.81,   54.11,   66.79,   69.63,   60.27
06/09/2013 08:00:00,   62.05,   67.01,   53.08,   66.41,   70.70,   58.91
06/09/2013 08:05:00,   62.78,   66.73,   54.03,   66.12,   69.60,   59.50
06/09/2013 08:10:00,   63.36,   69.08,   52.80,   67.31,   71.77,   58.83
06/09/2013 08:15:00,   63.89,   69.16,   54.33,   67.70,   73.20,   60.30
06/09/2013 08:20:00,   61.92,   68.42,   52.41,   66.07,   71.04,   58.43
06/09/2013 08:25:00,   62.77,   66.77,   53.51,   67.06,   70.70,   59.72
06/09/2013 08:30:00,   62.94,   68.18,   53.72,   67.11,   72.40,   59.87
06/09/2013 08:35:00,   63.62,   68.11,   53.27,   67.33,   71.88,   59.57
06/09/2013 08:40:00,   62.31,   68.74,   51.72,   66.46,   72.20,   57.74
06/09/2013 08:45:00,   62.57,   67.89,   53.09,   66.47,   70.86,   58.68
06/09/2013 08:50:00,   61.46,   66.64,   51.69,   65.48,   70.00,   57.93
06/09/2013 08:55:00,   63.60,   69.06,   51.54,   67.20,   72.33,   57.36
06/09/2013 09:00:00,   63.67,   68.45,   52.20,   67.34,   72.22,   57.54
06/09/2013 09:05:00,   64.01,   68.22,   54.08,   67.75,   71.75,   58.77
06/09/2013 09:10:00,   62.81,   68.29,   52.59,   66.89,   71.72,   58.15
06/09/2013 09:15:00,   62.96,   67.96,   52.23,   67.22,   72.60,   58.10
06/09/2013 09:20:00,   64.44,   68.70,   54.63,   68.86,   73.31,   59.62
06/09/2013 09:25:00,   63.13,   67.21,   53.76,   66.69,   70.41,   58.75
06/09/2013 09:30:00,   62.94,   67.56,   53.86,   67.69,   72.01,   59.79
06/09/2013 09:35:00,   63.78,   68.93,   53.01,   67.70,   73.34,   58.06
06/09/2013 09:40:00,   61.75,   66.97,   51.74,   65.61,   70.14,   57.36
06/09/2013 09:45:00,   65.66,   70.84,   53.70,   69.68,   75.21,   59.49
06/09/2013 09:50:00,   61.46,   67.76,   51.01,   65.76,   70.95,   56.98
