# noise_analysis run from DCC-NOISE-001011 at Sat Sep  7 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
07/09/2013 00:05:00,   60.20,   64.86,   51.02,   62.84,   66.87,   54.82
07/09/2013 00:10:00,   62.04,   66.46,   52.70,   64.57,   68.39,   57.04
07/09/2013 00:15:00,   64.21,   70.08,   51.65,   66.27,   71.48,   54.93
07/09/2013 00:20:00,   57.99,   65.05,   48.86,   60.86,   66.97,   52.76
07/09/2013 00:25:00,   60.61,   65.76,   51.03,   63.68,   67.87,   54.66
07/09/2013 00:30:00,   60.54,   65.91,   50.98,   63.22,   67.73,   55.04
07/09/2013 00:35:00,   56.66,   62.99,   49.32,   59.96,   66.08,   52.88
07/09/2013 00:40:00,   59.86,   65.24,   49.99,   62.60,   66.81,   53.53
07/09/2013 00:45:00,   56.69,   62.60,   48.09,   59.43,   64.56,   52.02
07/09/2013 00:50:00,   59.74,   65.89,   49.59,   63.24,   69.02,   53.87
07/09/2013 00:55:00,   56.85,   63.42,   48.59,   59.53,   65.19,   52.88
07/09/2013 01:00:00,   55.67,   62.16,   48.61,   58.37,   63.97,   52.80
07/09/2013 01:05:00,   56.95,   62.18,   49.19,   60.48,   65.07,   53.29
07/09/2013 01:10:00,   58.98,   64.14,   50.35,   61.55,   66.46,   54.25
07/09/2013 01:15:00,   56.35,   62.14,   48.90,   59.05,   64.11,   52.78
07/09/2013 01:20:00,   56.18,   63.77,   48.82,   58.67,   65.25,   52.68
07/09/2013 01:25:00,   57.60,   64.11,   47.95,   60.01,   65.97,   51.68
07/09/2013 01:30:00,   57.10,   64.59,   48.39,   59.62,   66.38,   51.95
07/09/2013 01:35:00,   57.35,   63.58,   48.79,   59.86,   65.36,   52.57
07/09/2013 01:40:00,   57.61,   64.71,   49.28,   60.08,   66.65,   52.97
07/09/2013 01:45:00,   55.82,   62.99,   47.69,   58.55,   64.90,   51.74
07/09/2013 01:50:00,   53.62,   59.06,   47.75,   56.53,   61.52,   51.38
07/09/2013 01:55:00,   56.12,   63.80,   47.62,   58.69,   65.66,   51.51
07/09/2013 02:00:00,   54.54,   61.65,   47.71,   57.30,   63.35,   51.69
07/09/2013 02:05:00,   55.71,   63.12,   47.78,   58.43,   65.16,   51.48
07/09/2013 02:10:00,   55.94,   63.17,   47.94,   58.42,   65.00,   51.53
07/09/2013 02:15:00,   53.96,   60.09,   46.65,   56.55,   62.00,   50.29
07/09/2013 02:20:00,   56.88,   63.51,   48.46,   59.22,   65.96,   52.04
07/09/2013 02:25:00,   55.45,   61.64,   46.98,   57.77,   63.49,   50.66
07/09/2013 02:30:00,   55.61,   63.32,   46.88,   58.38,   65.49,   50.76
07/09/2013 02:35:00,   54.85,   63.02,   47.56,   57.52,   65.13,   51.27
07/09/2013 02:40:00,   57.06,   65.66,   48.87,   59.43,   67.34,   52.35
07/09/2013 02:45:00,   56.63,   63.31,   49.34,   59.01,   64.60,   53.24
07/09/2013 02:50:00,   55.30,   61.64,   49.11,   57.59,   62.98,   51.95
07/09/2013 02:55:00,   58.93,   65.95,   49.62,   61.00,   67.60,   52.71
07/09/2013 03:00:00,   55.45,   62.95,   47.39,   57.61,   64.66,   50.58
07/09/2013 03:05:00,   57.15,   66.54,   47.53,   59.80,   68.08,   51.36
07/09/2013 03:10:00,   56.92,   63.66,   48.33,   59.18,   65.76,   51.64
07/09/2013 03:15:00,   55.74,   61.97,   48.27,   58.06,   63.78,   51.47
07/09/2013 03:20:00,   57.79,   64.37,   48.06,   60.22,   66.31,   51.27
07/09/2013 03:25:00,   59.12,   64.57,   47.76,   61.89,   67.53,   51.26
07/09/2013 03:30:00,   57.60,   65.27,   47.00,   59.57,   66.57,   50.14
07/09/2013 03:35:00,   56.63,   64.30,   46.91,   58.68,   65.71,   50.52
07/09/2013 03:40:00,   55.72,   63.12,   48.09,   57.98,   64.45,   51.57
07/09/2013 03:45:00,   54.54,   59.91,   46.21,   56.98,   62.44,   49.67
07/09/2013 03:50:00,   57.18,   65.19,   47.95,   59.43,   67.12,   51.05
07/09/2013 03:55:00,   56.50,   63.68,   47.34,   59.05,   65.55,   50.99
07/09/2013 04:00:00,   55.99,   63.52,   46.87,   58.19,   64.57,   50.52
07/09/2013 04:05:00,   57.67,   65.49,   48.38,   60.23,   67.40,   52.21
07/09/2013 04:10:00,   56.60,   65.44,   47.16,   58.81,   66.87,   51.61
07/09/2013 04:15:00,   56.04,   63.77,   47.01,   58.32,   65.56,   50.56
07/09/2013 04:20:00,   57.34,   65.47,   47.74,   59.99,   67.16,   51.59
07/09/2013 04:25:00,   55.81,   63.17,   47.26,   58.59,   65.00,   51.36
07/09/2013 04:30:00,   56.67,   63.50,   47.76,   59.26,   65.50,   50.96
07/09/2013 04:35:00,   57.06,   63.61,   48.57,   60.01,   65.86,   52.17
07/09/2013 04:40:00,   57.23,   64.53,   49.50,   59.47,   66.07,   52.18
07/09/2013 04:45:00,   55.95,   63.83,   48.39,   58.35,   65.09,   51.61
07/09/2013 04:50:00,   57.40,   64.32,   49.86,   59.64,   66.01,   52.66
07/09/2013 04:55:00,   57.81,   65.45,   49.57,   59.86,   66.96,   52.70
07/09/2013 05:00:00,   58.70,   65.55,   48.89,   60.38,   66.48,   52.01
07/09/2013 05:05:00,   57.60,   65.04,   49.01,   59.61,   66.23,   52.22
07/09/2013 05:10:00,   54.83,   60.78,   48.39,   58.35,   63.79,   52.58
07/09/2013 05:15:00,   57.15,   63.03,   49.69,   60.21,   64.86,   54.30
07/09/2013 05:20:00,   53.45,   56.47,   49.77,   57.70,   61.38,   52.84
07/09/2013 05:25:00,   51.96,   54.43,   49.11,   56.00,   58.61,   52.78
07/09/2013 05:30:00,   51.66,   54.46,   48.50,   55.72,   58.40,   52.14
07/09/2013 05:35:00,   51.46,   54.84,   47.85,   55.60,   59.14,   51.67
07/09/2013 05:40:00,   52.90,   55.81,   48.12,   57.66,   60.80,   52.00
07/09/2013 05:45:00,   52.20,   54.86,   48.35,   56.56,   59.79,   52.58
07/09/2013 05:50:00,   51.63,   54.61,   47.82,   56.22,   59.36,   52.09
07/09/2013 05:55:00,   52.60,   56.84,   47.99,   56.96,   60.81,   52.13
07/09/2013 06:00:00,   52.94,   56.73,   48.37,   57.31,   61.16,   53.22
07/09/2013 06:05:00,   54.12,   57.34,   48.44,   58.16,   61.29,   53.09
07/09/2013 06:10:00,   55.27,   58.09,   48.84,   59.01,   61.22,   53.04
07/09/2013 06:15:00,   52.91,   56.34,   49.56,   56.95,   59.75,   53.79
07/09/2013 06:20:00,   55.22,   58.85,   51.28,   58.79,   61.46,   55.36
07/09/2013 06:25:00,   55.37,   58.21,   51.57,   59.41,   62.75,   55.46
07/09/2013 06:30:00,   60.15,   65.58,   52.00,   64.27,   69.13,   57.54
07/09/2013 06:35:00,   59.68,   65.75,   51.52,   62.98,   67.95,   56.27
07/09/2013 06:40:00,   61.57,   67.22,   51.25,   64.41,   69.35,   56.76
07/09/2013 06:45:00,   60.81,   66.84,   51.00,   64.76,   69.94,   56.34
