# noise_analysis run from DCC-NOISE-001011 at Tue Sep 10 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
10/09/2013 00:05:00,   55.47,   62.88,   48.41,   58.90,   65.40,   52.91
10/09/2013 00:10:00,   58.32,   63.92,   49.11,   61.83,   66.39,   53.35
10/09/2013 00:15:00,   57.02,   64.30,   48.59,   61.90,   68.14,   53.01
10/09/2013 00:20:00,   55.17,   61.33,   48.16,   59.54,   65.18,   52.96
10/09/2013 00:25:00,   57.36,   63.87,   48.85,   60.84,   66.14,   53.01
10/09/2013 00:30:00,   56.05,   63.64,   48.74,   59.70,   66.08,   52.89
10/09/2013 00:35:00,   55.87,   61.28,   48.58,   59.60,   63.98,   52.69
10/09/2013 00:40:00,   52.37,   57.59,   48.07,   55.65,   59.94,   52.50
10/09/2013 00:45:00,   54.55,   59.32,   48.21,   58.60,   63.27,   52.71
10/09/2013 00:50:00,   63.18,   72.18,   48.91,   67.43,   77.19,   53.46
10/09/2013 00:55:00,   53.08,   56.73,   48.48,   57.26,   61.03,   52.95
10/09/2013 01:00:00,   57.14,   64.31,   48.13,   60.82,   66.41,   52.74
10/09/2013 01:05:00,   54.07,   61.15,   48.21,   57.52,   63.77,   52.67
10/09/2013 01:10:00,   53.60,   60.37,   47.32,   57.12,   63.07,   51.92
10/09/2013 01:15:00,   55.21,   63.76,   48.11,   59.47,   67.35,   52.61
10/09/2013 01:20:00,   51.70,   54.96,   47.74,   55.95,   60.36,   52.39
10/09/2013 01:25:00,   54.08,   59.16,   48.13,   57.39,   61.71,   52.69
10/09/2013 01:30:00,   53.91,   60.79,   47.88,   57.16,   62.98,   52.24
10/09/2013 01:35:00,   53.79,   59.87,   47.74,   57.58,   63.55,   52.14
10/09/2013 01:40:00,   51.71,   57.20,   47.63,   55.50,   59.68,   52.21
10/09/2013 01:45:00,   52.78,   58.22,   47.86,   56.55,   61.46,   52.32
10/09/2013 01:50:00,   50.75,   54.06,   47.66,   55.21,   58.32,   52.21
10/09/2013 01:55:00,   50.33,   53.14,   47.51,   54.56,   57.00,   52.15
10/09/2013 02:00:00,   54.57,   62.54,   47.79,   57.96,   64.80,   52.28
10/09/2013 02:05:00,   51.52,   57.73,   47.60,   55.10,   59.96,   51.82
10/09/2013 02:10:00,   51.97,   57.30,   47.42,   55.31,   60.98,   51.72
10/09/2013 02:15:00,   52.38,   58.31,   47.72,   56.25,   61.23,   52.20
10/09/2013 02:20:00,   53.79,   59.87,   48.03,   57.37,   62.49,   52.25
10/09/2013 02:25:00,   50.28,   52.58,   47.62,   54.06,   55.97,   52.03
10/09/2013 02:30:00,   52.73,   59.11,   47.73,   56.31,   62.13,   52.05
10/09/2013 02:35:00,   50.91,   53.65,   47.98,   55.22,   58.62,   52.28
10/09/2013 02:40:00,   51.97,   57.23,   48.00,   56.00,   60.71,   52.60
10/09/2013 02:45:00,   51.90,   57.15,   47.85,   55.52,   59.60,   52.35
10/09/2013 02:50:00,   52.97,   59.24,   47.57,   56.23,   61.52,   52.02
10/09/2013 02:55:00,   52.77,   58.78,   47.41,   56.38,   61.76,   52.10
10/09/2013 03:00:00,   48.94,   50.74,   47.06,   53.08,   54.54,   51.56
10/09/2013 03:05:00,   52.47,   57.70,   47.52,   56.36,   61.07,   52.12
10/09/2013 03:10:00,   52.71,   58.51,   47.66,   56.52,   61.05,   52.32
10/09/2013 03:15:00,   61.18,   70.68,   47.49,   66.15,   75.88,   52.04
10/09/2013 03:20:00,   50.67,   54.70,   47.52,   54.41,   57.08,   51.95
10/09/2013 03:25:00,   51.16,   55.67,   47.27,   55.51,   60.73,   51.80
10/09/2013 03:30:00,   52.66,   58.52,   47.42,   56.29,   61.70,   51.67
10/09/2013 03:35:00,   52.30,   56.79,   47.92,   55.94,   59.74,   52.52
10/09/2013 03:40:00,   55.43,   63.92,   48.13,   58.70,   65.96,   52.56
10/09/2013 03:45:00,   54.02,   60.68,   47.96,   57.68,   63.06,   52.43
10/09/2013 03:50:00,   51.87,   57.67,   47.88,   55.57,   60.27,   52.44
10/09/2013 03:55:00,   54.83,   62.05,   47.75,   57.93,   64.02,   52.20
10/09/2013 04:00:00,   51.34,   55.53,   47.40,   54.99,   58.79,   51.72
10/09/2013 04:05:00,   53.92,   60.86,   47.78,   57.23,   63.17,   52.47
10/09/2013 04:10:00,   53.56,   60.23,   48.16,   57.04,   63.36,   52.77
10/09/2013 04:15:00,   51.78,   56.88,   48.30,   55.61,   59.46,   52.70
10/09/2013 04:20:00,   52.67,   58.18,   47.91,   56.57,   60.79,   52.68
10/09/2013 04:25:00,   53.78,   61.08,   48.01,   57.15,   63.42,   52.56
10/09/2013 04:30:00,   54.02,   61.06,   48.36,   57.90,   63.94,   52.96
10/09/2013 04:35:00,   55.17,   61.95,   48.57,   58.75,   64.40,   53.29
10/09/2013 04:40:00,   55.64,   62.96,   48.74,   59.40,   65.21,   53.71
10/09/2013 04:45:00,   55.47,   62.49,   48.16,   58.86,   65.20,   53.14
10/09/2013 04:50:00,   55.70,   62.56,   48.67,   58.93,   65.12,   53.22
10/09/2013 04:55:00,   55.73,   61.37,   49.25,   59.42,   63.74,   54.40
10/09/2013 05:00:00,   55.60,   62.69,   49.52,   59.68,   65.56,   54.63
10/09/2013 05:05:00,   58.76,   64.80,   50.82,   62.79,   68.52,   55.45
10/09/2013 05:10:00,   56.75,   63.11,   50.13,   60.33,   65.86,   55.29
10/09/2013 05:15:00,   55.76,   61.11,   49.14,   59.15,   63.37,   53.90
10/09/2013 05:20:00,   55.55,   60.76,   49.95,   60.32,   65.28,   55.39
10/09/2013 05:25:00,   56.41,   63.45,   49.77,   60.05,   65.79,   54.26
10/09/2013 05:30:00,   56.33,   63.05,   49.71,   59.90,   65.51,   54.12
10/09/2013 05:35:00,   57.92,   65.07,   49.85,   62.68,   68.32,   54.53
10/09/2013 05:40:00,   60.08,   66.92,   50.80,   64.19,   69.33,   56.83
10/09/2013 05:45:00,   59.24,   66.41,   51.45,   63.31,   69.75,   55.92
10/09/2013 05:50:00,   57.05,   64.10,   50.49,   60.52,   66.59,   55.25
10/09/2013 05:55:00,   60.87,   67.46,   52.86,   64.48,   69.90,   56.40
10/09/2013 06:00:00,   58.52,   64.80,   52.60,   61.93,   66.97,   56.31
10/09/2013 06:05:00,   61.77,   68.18,   52.34,   65.29,   71.66,   55.71
10/09/2013 06:10:00,   58.86,   65.47,   52.87,   63.74,   69.65,   56.40
10/09/2013 06:15:00,   59.67,   64.64,   53.78,   62.98,   67.01,   57.53
10/09/2013 06:20:00,   59.95,   64.91,   54.21,   64.02,   67.88,   58.28
10/09/2013 06:25:00,   61.53,   67.41,   53.88,   65.06,   71.16,   57.56
10/09/2013 06:30:00,   58.10,   62.70,   53.65,   61.69,   65.68,   57.45
10/09/2013 06:35:00,   60.20,   67.16,   53.89,   64.49,   70.47,   57.83
10/09/2013 06:40:00,   59.88,   65.13,   54.06,   63.41,   67.77,   57.50
10/09/2013 06:45:00,   65.65,   70.44,   55.92,   69.19,   73.63,   60.01
10/09/2013 06:50:00,   60.69,   66.31,   55.02,   64.63,   68.70,   58.88
10/09/2013 06:55:00,   62.29,   68.05,   54.81,   66.01,   70.72,   58.72
10/09/2013 07:00:00,   61.75,   66.79,   54.97,   65.53,   70.29,   58.73
10/09/2013 07:05:00,   60.87,   66.50,   54.46,   64.19,   68.84,   58.32
10/09/2013 07:10:00,   60.43,   65.89,   54.21,   64.20,   68.94,   58.44
10/09/2013 07:15:00,   64.89,   69.78,   55.50,   68.94,   73.71,   60.17
10/09/2013 07:20:00,   63.64,   69.58,   54.33,   67.60,   73.89,   58.43
10/09/2013 07:25:00,   63.32,   69.30,   54.41,   67.01,   72.45,   58.15
10/09/2013 07:30:00,   62.06,   67.98,   54.71,   65.78,   70.95,   58.53
10/09/2013 07:35:00,   63.91,   69.88,   54.70,   67.74,   73.36,   59.38
10/09/2013 07:40:00,   63.24,   68.69,   54.70,   67.71,   73.48,   59.00
10/09/2013 07:45:00,   64.01,   68.02,   54.45,   67.92,   72.16,   59.11
10/09/2013 07:50:00,   61.70,   67.55,   53.98,   66.07,   70.64,   58.58
10/09/2013 07:55:00,   63.70,   69.59,   54.26,   67.33,   73.39,   58.65
10/09/2013 08:00:00,   62.57,   67.06,   54.40,   66.23,   69.80,   58.75
10/09/2013 08:05:00,   64.26,   68.94,   54.64,   68.27,   73.13,   59.19
10/09/2013 08:10:00,   60.86,   66.25,   54.83,   64.69,   68.85,   59.95
10/09/2013 08:15:00,   63.34,   68.07,   55.70,   67.34,   71.48,   60.08
10/09/2013 08:20:00,   63.16,   68.07,   55.76,   67.08,   72.10,   60.83
10/09/2013 08:25:00,   62.49,   67.07,   54.79,   66.07,   70.44,   58.89
10/09/2013 08:30:00,   62.81,   67.15,   55.01,   66.88,   71.09,   59.87
10/09/2013 08:35:00,   62.51,   66.76,   54.94,   66.87,   72.40,   59.91
10/09/2013 08:40:00,   62.50,   67.42,   54.02,   66.68,   72.23,   59.15
10/09/2013 08:45:00,   63.21,   67.91,   55.04,   67.21,   72.39,   59.49
10/09/2013 08:50:00,   62.48,   67.12,   55.35,   66.75,   72.14,   60.20
10/09/2013 08:55:00,   63.52,   68.16,   54.21,   67.37,   71.78,   58.47
10/09/2013 09:00:00,   61.38,   67.01,   54.54,   65.37,   69.44,   58.70
10/09/2013 09:05:00,   63.48,   68.07,   55.58,   67.27,   71.53,   59.98
10/09/2013 09:10:00,   62.75,   68.54,   54.12,   67.07,   72.54,   58.65
10/09/2013 09:15:00,   62.56,   67.55,   54.66,   66.21,   70.95,   59.09
10/09/2013 09:20:00,   62.30,   66.97,   54.17,   66.02,   70.10,   58.15
10/09/2013 09:25:00,   63.69,   67.92,   55.61,   67.54,   71.01,   60.05
10/09/2013 09:30:00,   62.79,   67.64,   54.03,   67.16,   72.64,   58.49
10/09/2013 09:35:00,   61.67,   67.71,   53.73,   65.47,   70.47,   57.60
10/09/2013 09:40:00,   62.14,   66.65,   54.85,   65.84,   70.88,   58.65
10/09/2013 09:45:00,   66.23,   70.20,   56.72,   70.83,   74.56,   61.72
10/09/2013 09:50:00,   63.22,   67.63,   55.23,   67.06,   71.40,   60.10
10/09/2013 09:55:00,   63.96,   68.48,   55.23,   68.04,   72.38,   59.85
10/09/2013 10:00:00,   65.55,   71.99,   56.42,   70.21,   77.37,   59.98
10/09/2013 10:05:00,   62.14,   66.60,   54.35,   65.66,   69.78,   58.75
10/09/2013 10:10:00,   61.99,   66.23,   55.26,   65.59,   69.39,   59.40
10/09/2013 10:15:00,   68.88,   71.10,   62.75,   70.13,   73.59,   65.40
10/09/2013 10:20:00,   69.45,   71.25,   67.11,   69.85,   73.20,   66.41
10/09/2013 10:25:00,   67.18,   70.06,   57.90,   68.36,   70.88,   61.89
10/09/2013 10:30:00,   62.51,   66.78,   55.98,   66.33,   70.60,   60.75
10/09/2013 10:35:00,   63.27,   67.20,   55.87,   66.96,   71.04,   59.43
10/09/2013 10:40:00,   62.80,   66.58,   56.24,   66.64,   71.81,   60.41
10/09/2013 10:45:00,   64.77,   69.24,   58.24,   68.35,   72.48,   62.45
10/09/2013 10:50:00,   64.07,   69.02,   56.64,   67.10,   71.59,   59.62
10/09/2013 10:55:00,   64.53,   68.91,   57.39,   68.13,   72.68,   61.18
10/09/2013 11:00:00,   63.29,   67.61,   56.35,   66.44,   70.36,   60.32
10/09/2013 11:05:00,   62.99,   66.99,   55.84,   66.56,   70.18,   59.68
10/09/2013 11:10:00,   62.53,   67.79,   55.21,   66.82,   72.38,   58.56
10/09/2013 11:15:00,   63.36,   68.77,   54.28,   66.90,   73.37,   58.41
10/09/2013 11:20:00,   62.40,   66.75,   54.81,   65.74,   69.83,   58.93
10/09/2013 11:25:00,   61.17,   66.64,   54.71,   64.74,   69.99,   58.03
10/09/2013 11:30:00,   62.08,   65.49,   55.33,   65.26,   69.06,   58.58
10/09/2013 11:35:00,   61.56,   65.36,   54.43,   65.32,   69.15,   58.22
10/09/2013 11:40:00,   61.89,   66.98,   53.66,   65.50,   69.77,   58.23
10/09/2013 11:45:00,   64.41,   69.15,   54.42,   68.05,   73.62,   58.54
10/09/2013 11:50:00,   62.20,   68.05,   54.68,   66.21,   71.51,   58.88
10/09/2013 11:55:00,   61.61,   65.22,   55.67,   65.47,   69.39,   59.42
10/09/2013 12:00:00,   63.48,   69.11,   54.02,   67.13,   73.10,   57.78
10/09/2013 12:05:00,   62.02,   65.98,   54.66,   65.34,   69.53,   58.31
10/09/2013 12:10:00,   60.91,   65.63,   53.77,   65.60,   71.26,   57.58
10/09/2013 12:15:00,   61.70,   66.62,   54.52,   66.16,   71.46,   58.70
10/09/2013 12:20:00,   62.24,   66.57,   55.67,   66.50,   71.05,   59.78
10/09/2013 12:25:00,   61.99,   64.10,   55.52,   65.90,   68.40,   59.24
10/09/2013 12:30:00,   61.67,   65.74,   54.28,   65.06,   69.38,   57.77
10/09/2013 12:35:00,   64.02,   69.01,   55.19,   67.88,   73.35,   59.36
10/09/2013 12:40:00,   62.76,   66.61,   55.48,   66.64,   70.44,   59.34
10/09/2013 12:45:00,   61.23,   64.71,   55.22,   64.99,   68.04,   59.48
10/09/2013 12:50:00,   62.97,   67.36,   55.87,   67.47,   72.49,   59.73
10/09/2013 12:55:00,   61.68,   65.03,   55.10,   65.10,   68.47,   59.30
10/09/2013 13:00:00,   62.67,   68.12,   54.23,   66.13,   71.63,   57.99
10/09/2013 13:05:00,   62.65,   67.43,   54.87,   66.42,   70.86,   59.33
10/09/2013 13:10:00,   59.80,   64.11,   54.43,   63.41,   67.25,   58.04
10/09/2013 13:15:00,   62.68,   69.59,   54.06,   66.61,   73.13,   57.83
10/09/2013 13:20:00,   60.74,   65.93,   53.05,   64.67,   69.71,   56.66
10/09/2013 13:25:00,   62.70,   68.15,   54.41,   66.55,   71.70,   58.05
10/09/2013 13:30:00,   60.58,   64.19,   53.80,   64.17,   67.56,   57.31
10/09/2013 13:35:00,   62.66,   67.38,   55.34,   66.46,   70.91,   59.03
10/09/2013 13:40:00,   62.45,   67.02,   55.32,   66.16,   70.15,   58.92
10/09/2013 13:45:00,   61.32,   64.72,   54.31,   65.10,   69.13,   58.24
