# noise_analysis run from DCC-NOISE-001011 at Thu Sep 12 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
12/09/2013 00:05:00,   56.20,   61.76,   49.15,   59.20,   63.92,   53.71
12/09/2013 00:10:00,   58.04,   64.43,   49.15,   61.56,   67.24,   53.55
12/09/2013 00:15:00,   58.40,   65.03,   49.88,   63.11,   69.32,   54.53
12/09/2013 00:20:00,   55.40,   61.79,   49.65,   58.91,   64.84,   53.78
12/09/2013 00:25:00,   61.25,   67.77,   50.19,   64.31,   71.25,   54.33
12/09/2013 00:30:00,   57.29,   62.38,   48.47,   61.01,   65.64,   53.11
12/09/2013 00:35:00,   56.24,   62.11,   48.75,   59.34,   64.62,   53.24
12/09/2013 00:40:00,   59.40,   66.52,   50.02,   63.23,   70.01,   54.21
12/09/2013 00:45:00,   57.15,   62.90,   48.70,   61.04,   65.67,   54.01
12/09/2013 00:50:00,   56.53,   61.55,   48.67,   59.97,   63.58,   53.29
12/09/2013 00:55:00,   63.33,   72.26,   50.03,   67.25,   76.67,   54.56
12/09/2013 01:00:00,   54.97,   60.01,   48.74,   58.68,   63.11,   53.18
12/09/2013 01:05:00,   56.44,   61.98,   49.29,   59.93,   64.63,   53.88
12/09/2013 01:10:00,   50.83,   53.74,   48.17,   54.87,   57.04,   52.70
12/09/2013 01:15:00,   55.02,   61.43,   48.50,   58.90,   64.13,   52.91
12/09/2013 01:20:00,   55.96,   63.40,   48.83,   59.14,   65.81,   53.27
12/09/2013 01:25:00,   54.49,   60.56,   48.94,   57.88,   63.15,   52.93
12/09/2013 01:30:00,   53.91,   59.03,   48.30,   57.40,   61.77,   52.72
12/09/2013 01:35:00,   54.25,   59.92,   48.73,   57.00,   62.04,   52.82
12/09/2013 01:40:00,   53.03,   59.11,   47.96,   57.24,   62.45,   52.47
12/09/2013 01:45:00,   51.97,   57.07,   47.84,   55.94,   60.12,   52.37
12/09/2013 01:50:00,   53.06,   58.33,   48.30,   56.49,   60.37,   52.63
12/09/2013 01:55:00,   54.34,   60.46,   48.46,   61.66,   67.35,   53.60
12/09/2013 02:00:00,   52.48,   57.44,   48.62,   56.22,   60.06,   53.21
12/09/2013 02:05:00,   53.71,   60.24,   47.92,   56.91,   62.41,   52.41
12/09/2013 02:10:00,   52.14,   56.84,   48.05,   56.08,   59.53,   52.54
12/09/2013 02:15:00,   53.91,   60.79,   47.98,   57.10,   62.93,   52.41
12/09/2013 02:20:00,   53.19,   59.33,   47.85,   56.43,   61.60,   52.19
12/09/2013 02:25:00,   52.90,   58.76,   47.72,   56.07,   60.69,   52.01
12/09/2013 02:30:00,   53.44,   59.21,   47.87,   56.37,   61.30,   52.11
12/09/2013 02:35:00,   52.25,   57.96,   47.50,   55.56,   59.98,   52.04
12/09/2013 02:40:00,   52.49,   58.93,   47.40,   55.93,   61.86,   51.98
12/09/2013 02:45:00,   52.17,   57.55,   47.82,   55.70,   60.70,   52.35
12/09/2013 02:50:00,   50.76,   53.93,   47.78,   54.68,   57.31,   52.37
12/09/2013 02:55:00,   53.64,   58.47,   47.95,   58.57,   62.96,   52.34
12/09/2013 03:00:00,   53.43,   58.68,   48.30,   56.97,   61.25,   52.98
12/09/2013 03:05:00,   52.57,   59.24,   47.31,   57.08,   63.08,   52.21
12/09/2013 03:10:00,   52.66,   57.96,   47.71,   55.89,   60.38,   52.16
