# noise_analysis run from DCC-NOISE-001011 at Fri Sep 13 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
13/09/2013 00:05:00,   58.78,   64.71,   50.39,   62.47,   67.47,   54.51
13/09/2013 00:10:00,   54.76,   59.96,   49.34,   57.88,   62.71,   53.58
13/09/2013 00:15:00,   59.75,   66.00,   50.22,   62.90,   68.34,   54.34
13/09/2013 00:20:00,   59.17,   65.05,   50.01,   62.39,   67.00,   54.07
13/09/2013 00:25:00,   58.00,   64.56,   49.33,   61.43,   67.00,   53.29
13/09/2013 00:30:00,   57.25,   63.15,   49.35,   60.65,   65.57,   53.44
13/09/2013 00:35:00,   55.04,   60.23,   49.12,   58.26,   62.82,   53.31
13/09/2013 00:40:00,   58.43,   66.15,   49.10,   61.39,   67.70,   53.35
13/09/2013 00:45:00,   58.59,   64.34,   49.38,   62.39,   66.46,   53.98
13/09/2013 00:50:00,   58.58,   65.42,   49.99,   62.04,   67.40,   54.34
13/09/2013 00:55:00,   62.32,   72.68,   49.28,   66.51,   76.98,   53.55
13/09/2013 01:00:00,   55.70,   62.37,   48.87,   59.01,   64.76,   53.20
13/09/2013 01:05:00,   54.68,   60.73,   48.69,   58.00,   63.08,   53.03
13/09/2013 01:10:00,   57.81,   64.82,   49.09,   61.42,   67.88,   53.67
13/09/2013 01:15:00,   56.81,   63.60,   48.73,   58.87,   65.20,   52.97
13/09/2013 01:20:00,   53.54,   56.84,   48.71,   57.03,   60.06,   52.87
13/09/2013 01:25:00,   55.70,   61.50,   48.90,   58.44,   63.00,   53.09
13/09/2013 01:30:00,   53.56,   59.04,   48.84,   56.53,   61.36,   52.79
13/09/2013 01:35:00,   55.19,   61.59,   49.09,   58.26,   63.75,   53.29
13/09/2013 01:40:00,   54.66,   61.34,   48.89,   58.07,   64.11,   53.23
13/09/2013 01:45:00,   54.41,   60.67,   48.64,   57.59,   62.94,   53.03
13/09/2013 01:50:00,   53.50,   59.72,   48.19,   56.65,   61.34,   52.56
13/09/2013 01:55:00,   56.57,   63.20,   48.93,   59.06,   64.85,   52.89
13/09/2013 02:00:00,   53.21,   59.41,   48.79,   56.25,   61.00,   52.90
13/09/2013 02:05:00,   52.21,   54.54,   48.43,   55.52,   57.35,   52.63
13/09/2013 02:10:00,   53.50,   57.93,   48.29,   56.63,   60.66,   52.63
13/09/2013 02:15:00,   53.28,   58.96,   48.28,   57.19,   62.15,   52.46
13/09/2013 02:20:00,   55.55,   62.93,   48.55,   58.25,   64.51,   52.88
13/09/2013 02:25:00,   54.18,   61.25,   48.16,   57.22,   63.21,   52.49
13/09/2013 02:30:00,   51.18,   54.07,   48.29,   54.64,   56.91,   52.41
13/09/2013 02:35:00,   52.93,   59.06,   48.20,   56.44,   61.75,   52.52
13/09/2013 02:40:00,   52.20,   56.91,   47.83,   55.48,   59.34,   52.28
13/09/2013 02:45:00,   53.08,   59.27,   48.00,   56.17,   61.30,   52.32
13/09/2013 02:50:00,   52.73,   57.55,   48.33,   56.45,   61.24,   52.32
13/09/2013 02:55:00,   53.97,   59.34,   48.60,   56.87,   61.36,   52.72
13/09/2013 03:00:00,   54.92,   60.03,   48.65,   57.55,   61.98,   52.48
13/09/2013 03:05:00,   53.66,   58.34,   49.19,   56.93,   61.22,   52.87
13/09/2013 03:10:00,   54.45,   60.18,   48.53,   57.59,   62.87,   52.60
13/09/2013 03:15:00,   52.00,   57.02,   47.97,   55.63,   58.97,   52.30
13/09/2013 03:20:00,   62.81,   71.81,   48.42,   67.16,   75.85,   52.88
13/09/2013 03:25:00,   54.20,   60.51,   48.15,   57.50,   63.76,   52.76
13/09/2013 03:30:00,   53.73,   59.50,   48.11,   56.68,   61.81,   52.38
13/09/2013 03:35:00,   54.35,   61.37,   47.72,   57.43,   63.41,   51.96
13/09/2013 03:40:00,   52.85,   58.00,   48.06,   56.54,   61.04,   52.27
13/09/2013 03:45:00,   51.58,   56.18,   47.57,   55.05,   58.63,   51.96
13/09/2013 03:50:00,   53.38,   59.74,   47.54,   57.01,   62.94,   51.87
13/09/2013 03:55:00,   55.15,   62.14,   47.74,   58.13,   63.94,   52.26
13/09/2013 04:00:00,   53.11,   59.85,   47.78,   57.02,   62.66,   52.08
