# noise_analysis run from DCC-NOISE-001011 at Sat Sep 14 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
14/09/2013 00:05:00,   56.96,   63.33,   50.10,   60.09,   65.86,   54.39
14/09/2013 00:10:00,   59.40,   64.71,   49.95,   62.54,   67.56,   53.98
14/09/2013 00:15:00,   56.74,   63.09,   50.13,   59.72,   65.64,   54.29
14/09/2013 00:20:00,   61.68,   66.66,   52.32,   65.34,   70.48,   56.05
14/09/2013 00:25:00,   58.56,   63.84,   50.20,   61.73,   66.95,   54.22
14/09/2013 00:30:00,   58.16,   64.38,   50.17,   61.52,   67.03,   54.39
14/09/2013 00:35:00,   56.73,   63.14,   50.13,   59.91,   65.43,   54.51
14/09/2013 00:40:00,   58.96,   63.46,   50.27,   62.40,   66.30,   54.54
14/09/2013 00:45:00,   58.15,   64.07,   49.61,   61.24,   66.32,   53.45
14/09/2013 00:50:00,   58.68,   64.81,   49.79,   61.76,   66.69,   53.97
14/09/2013 00:55:00,   53.72,   58.90,   49.08,   57.03,   61.30,   53.40
14/09/2013 01:00:00,   58.96,   65.06,   49.53,   62.38,   67.25,   53.72
14/09/2013 01:05:00,   56.60,   62.40,   49.64,   59.36,   64.45,   53.99
14/09/2013 01:10:00,   54.79,   60.84,   49.75,   57.95,   62.73,   53.86
14/09/2013 01:15:00,   54.78,   60.61,   49.43,   58.06,   63.01,   53.65
14/09/2013 01:20:00,   57.18,   62.48,   50.06,   59.79,   64.33,   54.16
14/09/2013 01:25:00,   55.98,   62.37,   49.80,   58.70,   64.29,   53.83
14/09/2013 01:30:00,   56.91,   63.70,   49.45,   59.83,   65.80,   53.58
14/09/2013 01:35:00,   53.55,   58.34,   49.16,   56.80,   60.98,   53.25
14/09/2013 01:40:00,   55.50,   60.72,   49.39,   58.78,   63.38,   53.50
14/09/2013 01:45:00,   55.24,   61.79,   49.31,   58.23,   63.99,   53.31
14/09/2013 01:50:00,   54.71,   60.68,   48.82,   57.86,   63.17,   53.03
14/09/2013 01:55:00,   57.44,   63.56,   48.96,   60.53,   66.00,   53.04
14/09/2013 02:00:00,   55.68,   62.69,   49.45,   59.42,   65.68,   53.54
14/09/2013 02:05:00,   55.50,   62.95,   49.36,   58.46,   65.14,   53.59
14/09/2013 02:10:00,   56.42,   63.59,   49.85,   60.59,   67.00,   53.77
14/09/2013 02:15:00,   56.76,   62.16,   50.35,   59.77,   64.40,   54.47
14/09/2013 02:20:00,   53.87,   57.68,   49.58,   57.17,   60.32,   53.73
14/09/2013 02:25:00,   54.83,   60.09,   49.43,   58.11,   62.91,   53.63
14/09/2013 02:30:00,   56.16,   62.01,   49.63,   59.12,   64.56,   53.80
14/09/2013 02:35:00,   56.33,   61.82,   49.73,   58.93,   63.96,   53.61
14/09/2013 02:40:00,   56.14,   63.02,   49.72,   58.78,   64.94,   53.55
14/09/2013 02:45:00,   56.68,   62.34,   50.18,   59.33,   64.15,   54.26
14/09/2013 02:50:00,   54.71,   60.44,   49.58,   58.00,   63.54,   53.80
14/09/2013 02:55:00,   56.90,   62.90,   50.45,   59.96,   65.36,   54.48
14/09/2013 03:00:00,   56.05,   61.96,   49.79,   58.84,   64.11,   53.70
14/09/2013 03:05:00,   55.51,   60.84,   49.67,   58.65,   63.94,   53.74
14/09/2013 03:10:00,   57.14,   64.16,   49.97,   60.18,   66.51,   53.99
14/09/2013 03:15:00,   56.01,   62.21,   49.66,   60.12,   65.57,   53.68
14/09/2013 03:20:00,   56.41,   62.21,   49.80,   59.32,   64.44,   53.57
14/09/2013 03:25:00,   57.55,   63.91,   50.66,   60.87,   66.62,   54.35
14/09/2013 03:30:00,   55.89,   61.54,   49.72,   58.63,   64.03,   53.64
14/09/2013 03:35:00,   56.27,   64.10,   49.87,   58.86,   65.86,   53.71
14/09/2013 03:40:00,   55.58,   61.61,   49.79,   58.27,   63.52,   53.57
14/09/2013 03:45:00,   56.59,   63.12,   50.06,   59.46,   65.44,   54.08
14/09/2013 03:50:00,   57.19,   64.59,   49.54,   59.93,   66.67,   53.58
14/09/2013 03:55:00,   55.89,   63.16,   49.10,   58.72,   64.99,   53.06
14/09/2013 04:00:00,   54.20,   59.52,   49.42,   57.18,   61.44,   53.63
14/09/2013 04:05:00,   56.33,   64.12,   48.91,   59.19,   66.23,   53.27
14/09/2013 04:10:00,   54.83,   60.17,   49.19,   58.41,   62.81,   53.77
14/09/2013 04:15:00,   56.20,   62.98,   49.26,   59.21,   65.35,   53.37
14/09/2013 04:20:00,   55.23,   60.68,   49.57,   58.44,   63.42,   53.62
14/09/2013 04:25:00,   54.77,   60.95,   48.96,   57.85,   63.01,   52.98
14/09/2013 04:30:00,   55.29,   60.73,   49.58,   58.60,   64.15,   53.62
14/09/2013 04:35:00,   55.51,   62.51,   49.15,   58.95,   65.25,   53.27
14/09/2013 04:40:00,   57.31,   65.13,   49.60,   60.16,   66.79,   53.87
14/09/2013 04:45:00,   57.09,   64.51,   49.26,   59.83,   66.53,   53.43
14/09/2013 04:50:00,   57.96,   64.64,   48.75,   61.62,   67.91,   52.96
14/09/2013 04:55:00,   55.75,   62.72,   49.20,   60.13,   67.17,   53.49
14/09/2013 05:00:00,   55.53,   62.65,   48.95,   58.60,   64.99,   53.29
14/09/2013 05:05:00,   58.28,   65.35,   49.35,   61.87,   68.66,   53.58
14/09/2013 05:10:00,   56.02,   64.36,   48.81,   59.53,   67.15,   53.23
14/09/2013 05:15:00,   54.11,   59.37,   49.03,   58.10,   62.72,   53.24
14/09/2013 05:20:00,   54.83,   61.31,   48.64,   57.84,   63.29,   52.95
14/09/2013 05:25:00,   57.17,   63.85,   49.07,   61.23,   67.18,   53.87
14/09/2013 05:30:00,   55.05,   62.01,   48.83,   58.23,   64.73,   53.15
14/09/2013 05:35:00,   56.39,   63.90,   49.72,   59.71,   67.06,   53.85
14/09/2013 05:40:00,   56.68,   61.79,   49.12,   60.85,   65.41,   53.40
14/09/2013 05:45:00,   55.94,   63.51,   49.49,   59.34,   65.87,   53.74
14/09/2013 05:50:00,   56.90,   63.82,   49.26,   61.36,   66.90,   53.74
14/09/2013 05:55:00,   57.54,   64.10,   49.80,   60.74,   66.44,   54.14
14/09/2013 06:00:00,   57.78,   63.50,   51.90,   61.61,   66.02,   55.19
14/09/2013 06:05:00,   57.52,   62.03,   51.88,   61.42,   66.14,   55.56
14/09/2013 06:10:00,   55.85,   62.00,   51.74,   58.76,   64.54,   54.84
14/09/2013 06:15:00,   56.78,   61.82,   52.27,   60.53,   65.35,   56.23
14/09/2013 06:20:00,   56.53,   61.57,   52.07,   60.30,   65.56,   56.20
14/09/2013 06:25:00,   57.41,   63.69,   52.32,   60.93,   66.68,   55.95
14/09/2013 06:30:00,   58.33,   63.62,   52.50,   61.55,   67.39,   55.95
14/09/2013 06:35:00,   58.48,   64.54,   52.70,   62.48,   67.78,   55.87
14/09/2013 06:40:00,   57.33,   62.51,   52.63,   61.30,   65.68,   55.63
14/09/2013 06:45:00,   59.14,   64.64,   52.76,   62.84,   67.89,   56.29
14/09/2013 06:50:00,   60.09,   65.56,   52.79,   63.22,   67.77,   55.93
14/09/2013 06:55:00,   59.27,   65.56,   52.75,   62.62,   68.18,   55.88
14/09/2013 07:00:00,   60.52,   65.72,   52.45,   63.27,   67.48,   55.43
14/09/2013 07:05:00,   59.52,   65.27,   52.38,   63.38,   69.04,   55.56
14/09/2013 07:10:00,   60.22,   65.20,   53.23,   64.04,   69.10,   56.87
14/09/2013 07:15:00,   58.36,   64.23,   52.58,   61.69,   66.74,   55.58
14/09/2013 07:20:00,   59.33,   65.22,   52.77,   62.98,   69.07,   56.31
14/09/2013 07:25:00,   60.52,   67.06,   52.72,   63.69,   69.84,   56.28
14/09/2013 07:30:00,   60.40,   65.02,   53.02,   64.73,   69.26,   56.66
14/09/2013 07:35:00,   61.84,   68.21,   52.93,   65.87,   73.14,   56.56
14/09/2013 07:40:00,   61.46,   67.04,   53.67,   64.91,   69.39,   57.79
14/09/2013 07:45:00,   61.55,   67.55,   53.03,   65.38,   70.91,   56.87
14/09/2013 07:50:00,   59.24,   65.31,   52.92,   63.01,   67.88,   56.65
14/09/2013 07:55:00,   58.74,   64.52,   53.06,   61.96,   66.96,   56.49
14/09/2013 08:00:00,   61.16,   66.58,   53.57,   64.41,   69.36,   57.35
14/09/2013 08:05:00,   59.07,   64.90,   53.13,   62.46,   67.90,   56.88
14/09/2013 08:10:00,   60.43,   65.97,   53.00,   64.43,   69.59,   56.98
14/09/2013 08:15:00,   60.27,   66.30,   52.92,   63.20,   68.33,   56.43
14/09/2013 08:20:00,   59.02,   64.67,   53.15,   62.11,   67.34,   56.69
14/09/2013 08:25:00,   61.71,   67.49,   53.96,   65.24,   69.83,   57.80
14/09/2013 08:30:00,   60.70,   66.92,   53.50,   64.25,   69.73,   57.21
14/09/2013 08:35:00,   60.37,   65.76,   52.32,   63.59,   68.83,   55.64
14/09/2013 08:40:00,   61.96,   66.49,   53.55,   65.31,   69.32,   57.08
14/09/2013 08:45:00,   60.91,   65.64,   52.58,   64.61,   69.01,   55.46
14/09/2013 08:50:00,   63.05,   69.37,   53.09,   66.46,   72.59,   56.97
14/09/2013 08:55:00,   60.24,   66.47,   53.12,   63.03,   68.32,   57.05
14/09/2013 09:00:00,   60.77,   65.83,   53.44,   64.18,   68.87,   57.29
14/09/2013 09:05:00,   62.92,   67.97,   53.50,   66.18,   70.89,   57.58
14/09/2013 09:10:00,   61.65,   66.94,   53.14,   65.09,   68.85,   57.07
14/09/2013 09:15:00,   61.37,   66.79,   52.50,   64.47,   70.04,   55.71
14/09/2013 09:20:00,   62.75,   68.74,   52.66,   66.52,   72.67,   56.82
14/09/2013 09:25:00,   59.30,   65.07,   52.79,   62.49,   67.82,   56.57
14/09/2013 09:30:00,   62.79,   68.11,   53.11,   66.11,   71.61,   56.52
14/09/2013 09:35:00,   60.93,   66.37,   52.41,   64.24,   69.25,   56.24
14/09/2013 09:40:00,   61.58,   66.95,   53.17,   65.12,   70.31,   56.94
14/09/2013 09:45:00,   60.15,   65.05,   52.96,   63.19,   67.72,   56.07
14/09/2013 09:50:00,   62.09,   67.22,   52.71,   65.57,   70.22,   56.20
14/09/2013 09:55:00,   62.28,   66.83,   53.19,   66.07,   70.33,   57.37
14/09/2013 10:00:00,   62.59,   67.92,   53.64,   65.96,   70.79,   56.85
14/09/2013 10:05:00,   62.35,   66.47,   53.05,   66.47,   71.58,   57.58
14/09/2013 10:10:00,   61.18,   65.78,   53.49,   64.56,   69.40,   57.39
14/09/2013 10:15:00,   60.11,   66.22,   52.17,   63.47,   68.70,   56.25
14/09/2013 10:20:00,   62.70,   68.33,   53.48,   66.32,   71.17,   57.73
14/09/2013 10:25:00,   62.15,   66.69,   53.10,   65.84,   70.50,   56.70
14/09/2013 10:30:00,   59.92,   65.34,   52.21,   63.18,   67.73,   55.56
14/09/2013 10:35:00,   61.70,   67.29,   53.24,   65.91,   71.42,   56.93
14/09/2013 10:40:00,   61.78,   66.22,   53.54,   65.15,   69.46,   58.33
14/09/2013 10:45:00,   60.26,   65.59,   52.76,   63.26,   68.66,   56.07
14/09/2013 10:50:00,   60.35,   65.62,   52.58,   63.49,   68.08,   55.97
14/09/2013 10:55:00,   60.72,   65.38,   52.05,   64.07,   67.88,   56.34
14/09/2013 11:00:00,   61.70,   67.09,   51.90,   65.43,   71.50,   55.71
14/09/2013 11:05:00,   60.37,   65.93,   52.44,   63.84,   67.99,   56.17
14/09/2013 11:10:00,   62.09,   66.73,   52.38,   66.07,   69.72,   56.92
14/09/2013 11:15:00,   61.60,   66.64,   52.87,   65.18,   70.88,   57.09
14/09/2013 11:20:00,   60.05,   65.20,   52.35,   63.56,   67.26,   55.89
14/09/2013 11:25:00,   61.65,   67.34,   53.09,   65.20,   71.12,   56.88
14/09/2013 11:30:00,   59.49,   63.41,   51.92,   62.87,   66.55,   55.28
14/09/2013 11:35:00,   61.59,   66.00,   52.50,   65.16,   69.20,   56.45
14/09/2013 11:40:00,   61.29,   65.79,   52.40,   65.07,   68.90,   56.51
14/09/2013 11:45:00,   59.79,   64.99,   52.11,   63.33,   67.34,   55.52
14/09/2013 11:50:00,   60.56,   65.61,   52.63,   63.75,   67.97,   55.95
14/09/2013 11:55:00,   63.36,   68.93,   54.19,   66.72,   71.95,   57.07
14/09/2013 12:00:00,   59.86,   63.96,   53.56,   64.08,   67.70,   57.93
14/09/2013 12:05:00,   61.38,   65.81,   53.34,   65.02,   68.49,   58.16
14/09/2013 12:10:00,   60.06,   64.70,   52.31,   63.48,   66.87,   56.13
14/09/2013 12:15:00,   61.57,   66.71,   51.70,   65.61,   71.67,   55.60
14/09/2013 12:20:00,   61.29,   65.72,   53.29,   65.33,   69.60,   57.54
14/09/2013 12:25:00,   59.25,   64.57,   51.52,   62.65,   67.54,   55.43
14/09/2013 12:30:00,   62.45,   66.75,   54.05,   66.17,   71.10,   57.94
14/09/2013 12:35:00,   60.94,   66.20,   51.77,   64.56,   69.25,   55.29
14/09/2013 12:40:00,   60.99,   64.94,   51.57,   64.52,   67.95,   55.41
14/09/2013 12:45:00,   60.82,   66.76,   51.34,   64.04,   69.50,   54.80
14/09/2013 12:50:00,   60.70,   65.96,   52.79,   64.52,   68.96,   56.22
14/09/2013 12:55:00,   59.40,   64.36,   51.98,   62.76,   67.12,   55.93
14/09/2013 13:00:00,   60.85,   66.72,   52.18,   65.40,   71.64,   56.63
14/09/2013 13:05:00,   61.20,   65.49,   52.83,   64.77,   69.02,   56.66
14/09/2013 13:10:00,   58.91,   64.34,   51.25,   62.16,   66.80,   54.26
14/09/2013 13:15:00,   61.81,   66.39,   52.52,   64.85,   68.91,   56.36
14/09/2013 13:20:00,   59.25,   64.89,   51.04,   62.49,   67.15,   54.67
14/09/2013 13:25:00,   61.41,   66.37,   51.73,   64.87,   70.40,   55.39
14/09/2013 13:30:00,   59.79,   64.72,   52.31,   62.90,   67.15,   56.39
14/09/2013 13:35:00,   60.89,   65.71,   52.79,   64.74,   68.39,   56.57
14/09/2013 13:40:00,   61.66,   67.73,   51.79,   65.88,   71.95,   55.80
14/09/2013 13:45:00,   60.10,   64.42,   51.89,   64.12,   68.13,   56.22
14/09/2013 13:50:00,   61.12,   65.91,   52.06,   65.09,   69.92,   56.05
14/09/2013 13:55:00,   62.15,   66.13,   51.89,   65.74,   69.48,   55.18
14/09/2013 14:00:00,   60.88,   65.63,   52.48,   64.64,   68.97,   56.03
14/09/2013 14:05:00,   58.94,   62.96,   51.48,   61.88,   65.52,   55.27
14/09/2013 14:10:00,   61.55,   66.02,   52.20,   65.35,   70.75,   56.00
14/09/2013 14:15:00,   59.85,   64.10,   51.54,   63.45,   66.62,   55.60
14/09/2013 14:20:00,   60.34,   65.69,   51.01,   64.55,   69.13,   54.80
14/09/2013 14:25:00,   61.79,   65.99,   53.72,   65.68,   70.14,   58.01
14/09/2013 14:30:00,   58.88,   64.16,   51.25,   62.28,   67.21,   54.99
14/09/2013 14:35:00,   60.70,   66.05,   52.72,   64.48,   69.54,   56.59
14/09/2013 14:40:00,   61.44,   66.52,   51.37,   65.00,   69.86,   55.03
14/09/2013 14:45:00,   59.83,   63.28,   52.31,   63.23,   66.31,   56.46
14/09/2013 14:50:00,   59.49,   64.32,   51.17,   63.74,   67.64,   54.80
