# noise_analysis run from DCC-NOISE-001011 at Sun Sep 15 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
15/09/2013 00:05:00,   59.57,   64.36,   51.94,   62.07,   66.72,   55.61
15/09/2013 00:10:00,   60.06,   65.16,   50.72,   63.45,   68.03,   55.46
15/09/2013 00:15:00,   60.58,   64.95,   52.19,   63.83,   67.63,   56.63
15/09/2013 00:20:00,   60.04,   64.23,   50.46,   63.36,   66.98,   54.76
15/09/2013 00:25:00,   58.50,   64.59,   50.78,   61.73,   67.13,   55.22
15/09/2013 00:30:00,   60.21,   65.47,   50.28,   63.25,   67.82,   54.83
15/09/2013 00:35:00,   58.48,   64.47,   50.25,   61.67,   66.80,   54.64
15/09/2013 00:40:00,   57.54,   61.79,   51.71,   60.47,   64.79,   55.72
15/09/2013 00:45:00,   57.86,   64.19,   49.91,   60.65,   66.54,   53.98
15/09/2013 00:50:00,   59.35,   65.36,   50.37,   62.93,   68.14,   54.64
15/09/2013 00:55:00,   55.84,   62.63,   49.66,   58.64,   64.50,   53.85
15/09/2013 01:00:00,   57.61,   63.54,   50.41,   60.62,   66.14,   54.53
15/09/2013 01:05:00,   60.21,   66.00,   51.59,   62.97,   67.74,   55.26
15/09/2013 01:10:00,   57.26,   62.75,   50.44,   60.16,   64.82,   54.48
15/09/2013 01:15:00,   58.44,   64.12,   50.12,   61.06,   66.24,   54.45
15/09/2013 01:20:00,   56.95,   63.86,   49.80,   59.83,   65.78,   54.00
15/09/2013 01:25:00,   56.89,   62.61,   49.47,   59.83,   64.68,   53.53
15/09/2013 01:30:00,   55.54,   61.66,   49.52,   58.36,   63.35,   53.64
15/09/2013 01:35:00,   55.79,   62.26,   49.48,   58.70,   64.60,   53.45
15/09/2013 01:40:00,   56.07,   62.69,   49.59,   58.90,   64.52,   53.42
15/09/2013 01:45:00,   55.15,   59.17,   49.86,   57.91,   61.48,   53.55
15/09/2013 01:50:00,   56.62,   62.84,   49.63,   59.37,   65.26,   53.62
15/09/2013 01:55:00,   58.40,   64.10,   51.42,   60.96,   66.08,   54.99
15/09/2013 02:00:00,   57.08,   62.22,   50.41,   59.59,   64.02,   54.23
15/09/2013 02:05:00,   56.51,   63.89,   49.64,   59.26,   65.96,   53.64
15/09/2013 02:10:00,   58.76,   63.67,   50.54,   61.16,   65.92,   54.33
15/09/2013 02:15:00,   56.27,   61.97,   50.25,   58.98,   64.05,   54.02
15/09/2013 02:20:00,   56.24,   63.32,   50.20,   59.02,   65.15,   54.05
15/09/2013 02:25:00,   57.03,   63.13,   49.86,   60.16,   65.60,   53.97
15/09/2013 02:30:00,   55.18,   60.97,   49.82,   58.81,   63.39,   54.10
