# noise_analysis run from DCC-NOISE-001011 at Mon Sep 16 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
16/09/2013 00:05:00,   57.24,   62.87,   50.63,   60.44,   65.10,   54.35
16/09/2013 00:10:00,   57.89,   63.93,   51.11,   60.89,   66.19,   54.85
16/09/2013 00:15:00,   56.93,   63.35,   51.30,   60.81,   66.62,   54.78
16/09/2013 00:20:00,   57.01,   62.58,   51.03,   61.15,   66.09,   54.73
16/09/2013 00:25:00,   57.70,   63.47,   50.86,   60.83,   65.97,   54.82
16/09/2013 00:30:00,   55.07,   59.67,   50.36,   58.79,   62.70,   54.33
16/09/2013 00:35:00,   55.63,   60.91,   50.10,   59.12,   64.00,   54.16
16/09/2013 00:40:00,   61.18,   67.76,   50.74,   63.84,   69.97,   54.81
16/09/2013 00:45:00,   56.84,   62.04,   51.35,   60.49,   65.10,   55.43
16/09/2013 00:50:00,   56.98,   62.27,   51.19,   60.12,   64.35,   54.62
16/09/2013 00:55:00,   56.27,   62.00,   50.51,   59.17,   63.98,   54.29
16/09/2013 01:00:00,   55.47,   61.17,   50.37,   59.08,   63.70,   54.20
16/09/2013 01:05:00,   55.50,   59.69,   50.50,   59.09,   62.76,   54.57
16/09/2013 01:10:00,   55.24,   60.48,   50.72,   58.71,   63.25,   54.65
16/09/2013 01:15:00,   55.85,   62.68,   50.34,   58.93,   64.69,   54.24
16/09/2013 01:20:00,   56.30,   62.21,   50.19,   59.71,   64.95,   54.41
16/09/2013 01:25:00,   54.67,   58.49,   50.11,   58.92,   62.62,   54.27
16/09/2013 01:30:00,   55.63,   60.90,   51.07,   59.18,   63.10,   54.82
16/09/2013 01:35:00,   54.97,   60.48,   50.07,   58.48,   62.93,   53.97
16/09/2013 01:40:00,   53.43,   59.09,   49.37,   57.18,   62.13,   53.46
16/09/2013 01:45:00,   53.89,   58.83,   49.58,   57.42,   61.38,   53.53
16/09/2013 01:50:00,   55.09,   60.99,   49.49,   59.49,   63.81,   53.39
16/09/2013 01:55:00,   52.54,   56.39,   48.96,   57.25,   60.80,   52.92
16/09/2013 02:00:00,   55.36,   61.11,   48.96,   59.33,   64.38,   52.94
16/09/2013 02:05:00,   53.84,   60.39,   49.41,   57.61,   63.23,   53.53
16/09/2013 02:10:00,   53.46,   59.34,   48.88,   57.54,   62.40,   52.98
16/09/2013 02:15:00,   52.19,   55.62,   48.79,   57.01,   61.13,   52.86
16/09/2013 02:20:00,   52.46,   55.93,   48.82,   56.14,   59.90,   52.90
16/09/2013 02:25:00,   53.08,   57.12,   48.64,   57.26,   62.26,   52.72
16/09/2013 02:30:00,   53.53,   58.20,   49.47,   58.37,   63.08,   53.71
16/09/2013 02:35:00,   51.20,   53.81,   48.34,   56.44,   59.60,   53.16
16/09/2013 02:40:00,   53.37,   59.26,   48.40,   57.49,   62.66,   53.30
16/09/2013 02:45:00,   53.65,   59.24,   48.81,   57.53,   62.10,   52.98
16/09/2013 02:50:00,   53.87,   58.19,   48.91,   58.44,   62.13,   53.14
16/09/2013 02:55:00,   53.38,   56.22,   49.19,   58.76,   63.06,   53.41
16/09/2013 03:00:00,   53.00,   59.04,   48.74,   57.20,   61.85,   53.06
16/09/2013 03:05:00,   53.84,   59.20,   48.84,   57.42,   61.93,   52.88
16/09/2013 03:10:00,   54.89,   61.52,   49.26,   58.30,   64.07,   53.18
16/09/2013 03:15:00,   51.52,   53.89,   49.22,   56.21,   58.89,   53.15
16/09/2013 03:20:00,   53.21,   57.01,   49.17,   58.52,   62.63,   53.12
16/09/2013 03:25:00,   54.85,   58.72,   49.70,   59.66,   63.89,   53.50
16/09/2013 03:30:00,   55.57,   61.70,   49.41,   59.18,   65.24,   53.43
16/09/2013 03:35:00,   54.84,   60.47,   49.09,   59.26,   64.46,   53.76
16/09/2013 03:40:00,   54.86,   61.88,   49.55,   59.79,   64.99,   53.57
16/09/2013 03:45:00,   53.67,   59.23,   49.39,   57.45,   61.67,   53.89
16/09/2013 03:50:00,   53.47,   58.31,   48.98,   58.01,   63.22,   53.26
16/09/2013 03:55:00,   54.21,   59.66,   49.25,   58.41,   62.76,   53.51
16/09/2013 04:00:00,   53.95,   59.99,   48.89,   57.38,   62.89,   52.86
16/09/2013 04:05:00,   56.84,   64.82,   49.29,   59.83,   67.01,   53.64
16/09/2013 04:10:00,   53.59,   57.37,   49.52,   57.44,   61.86,   53.60
16/09/2013 04:15:00,   55.49,   61.93,   49.78,   60.24,   65.46,   53.96
16/09/2013 04:20:00,   55.40,   61.89,   49.50,   59.87,   65.44,   53.87
16/09/2013 04:25:00,   53.89,   57.57,   49.40,   57.77,   61.28,   53.69
16/09/2013 04:30:00,   53.21,   58.33,   49.37,   57.21,   60.89,   53.68
16/09/2013 04:35:00,   57.75,   64.48,   50.20,   61.70,   67.64,   54.04
16/09/2013 04:40:00,   56.01,   61.98,   49.46,   59.38,   64.43,   53.79
16/09/2013 04:45:00,   56.49,   62.91,   50.24,   60.19,   65.83,   55.02
16/09/2013 04:50:00,   57.15,   65.04,   49.99,   60.86,   67.42,   54.95
16/09/2013 04:55:00,   58.37,   64.75,   50.52,   62.49,   67.85,   55.08
16/09/2013 05:00:00,   60.53,   67.81,   50.84,   64.94,   71.48,   55.77
16/09/2013 05:05:00,   60.10,   65.46,   51.78,   63.37,   67.92,   56.36
16/09/2013 05:10:00,   60.29,   64.18,   56.85,   64.06,   67.18,   61.39
16/09/2013 05:15:00,   61.05,   66.18,   57.07,   65.60,   70.38,   61.58
16/09/2013 05:20:00,   60.22,   64.61,   57.08,   63.60,   66.96,   61.30
16/09/2013 05:25:00,   60.55,   64.71,   57.01,   64.66,   67.62,   61.36
16/09/2013 05:30:00,   62.48,   65.80,   58.34,   66.21,   69.48,   62.63
16/09/2013 05:35:00,   58.83,   64.19,   52.35,   62.84,   66.94,   57.53
16/09/2013 05:40:00,   58.28,   63.85,   52.11,   63.37,   68.41,   57.01
16/09/2013 05:45:00,   58.58,   64.88,   51.78,   63.41,   68.67,   56.49
16/09/2013 05:50:00,   58.02,   62.82,   52.17,   62.32,   66.94,   57.19
16/09/2013 05:55:00,   59.68,   65.37,   53.62,   64.10,   68.94,   57.51
16/09/2013 06:00:00,   59.71,   66.06,   53.40,   63.48,   68.65,   56.98
16/09/2013 06:05:00,   61.72,   66.99,   54.20,   65.32,   69.43,   58.12
16/09/2013 06:10:00,   59.74,   64.68,   54.03,   63.37,   67.16,   58.12
