# noise_analysis run from DCC-NOISE-001011 at Wed Sep 25 00:00:00 2013
# Monitoring unit located at 53.344765N 6.270255W
# logfile   = /home/root/noise_analysis.log
# cfg_dir   = /home/root/config
# outputdir = /home/root/noise
# Sensitivity = -27.095587
# Gain = 1.000000
# Time should be in local format (i.e. daylight savings time)
# dd/mm/yyyy hh:mm:ss, A Leq,   A L10,   A L95,   C Leq,   C L10,   C L95
25/09/2013 00:05:00,   53.55,   59.37,   45.36,   56.81,   62.13,   49.17
25/09/2013 00:10:00,   55.25,   61.59,   45.97,   58.19,   63.78,   50.01
25/09/2013 00:15:00,   59.35,   65.75,   45.13,   62.90,   69.52,   49.64
25/09/2013 00:20:00,   60.25,   66.67,   47.37,   63.61,   70.35,   50.81
25/09/2013 00:25:00,   55.73,   62.69,   43.96,   58.20,   64.25,   48.15
25/09/2013 00:30:00,   52.72,   58.95,   43.91,   55.64,   61.81,   48.12
25/09/2013 00:35:00,   56.60,   63.63,   45.56,   60.24,   66.34,   49.51
25/09/2013 00:40:00,   57.84,   65.35,   43.87,   61.76,   69.04,   47.69
25/09/2013 00:45:00,   55.77,   65.02,   42.84,   58.84,   66.41,   47.54
25/09/2013 00:50:00,   63.66,   73.49,   48.32,   67.45,   77.73,   52.39
25/09/2013 00:55:00,   53.57,   61.94,   43.10,   58.14,   66.80,   48.00
25/09/2013 01:00:00,   53.13,   60.66,   43.70,   55.87,   62.36,   48.49
25/09/2013 01:05:00,   55.21,   62.19,   43.47,   58.88,   65.41,   47.72
25/09/2013 01:10:00,   50.41,   57.03,   42.04,   53.77,   60.36,   46.81
25/09/2013 01:15:00,   50.37,   57.64,   42.72,   54.01,   60.05,   47.28
25/09/2013 01:20:00,   50.45,   57.07,   43.07,   53.32,   59.44,   47.30
25/09/2013 01:25:00,   51.51,   59.80,   41.66,   53.80,   61.73,   45.92
25/09/2013 01:30:00,   52.00,   59.62,   42.32,   54.88,   61.62,   46.65
25/09/2013 01:35:00,   49.87,   55.11,   42.06,   52.96,   57.78,   47.00
25/09/2013 01:40:00,   48.69,   55.52,   41.53,   51.85,   58.06,   46.54
25/09/2013 01:45:00,   52.31,   61.55,   42.42,   55.38,   63.47,   46.88
25/09/2013 01:50:00,   49.71,   57.93,   40.90,   52.77,   60.56,   45.72
25/09/2013 01:55:00,   51.51,   60.23,   40.90,   55.28,   63.58,   45.16
25/09/2013 02:00:00,   50.51,   58.02,   41.62,   53.41,   59.88,   46.21
25/09/2013 02:05:00,   48.61,   54.01,   42.00,   51.82,   55.97,   46.07
25/09/2013 02:10:00,   48.44,   54.67,   40.39,   51.03,   56.56,   44.87
25/09/2013 02:15:00,   48.40,   54.94,   41.05,   51.33,   57.39,   45.27
25/09/2013 02:20:00,   49.79,   58.24,   40.84,   53.14,   60.28,   46.07
25/09/2013 02:25:00,   50.03,   58.75,   41.41,   53.52,   61.22,   46.77
25/09/2013 02:30:00,   49.21,   55.06,   40.04,   52.12,   57.06,   44.65
25/09/2013 02:35:00,   43.78,   46.82,   39.06,   47.34,   49.67,   43.74
25/09/2013 02:40:00,   52.39,   59.40,   42.49,   54.99,   61.17,   46.72
25/09/2013 02:45:00,   46.42,   49.71,   40.58,   49.41,   52.36,   44.75
25/09/2013 02:50:00,   49.38,   57.13,   41.65,   53.82,   60.32,   46.48
25/09/2013 02:55:00,   49.58,   57.87,   39.52,   52.63,   60.34,   44.43
25/09/2013 03:00:00,   46.68,   51.90,   40.11,   50.50,   55.17,   45.31
25/09/2013 03:05:00,   49.75,   57.76,   40.20,   52.61,   59.60,   45.45
25/09/2013 03:10:00,   49.59,   57.52,   40.51,   53.31,   60.81,   45.78
25/09/2013 03:15:00,   46.50,   50.99,   40.39,   50.24,   54.55,   44.83
25/09/2013 03:20:00,   53.17,   61.11,   40.75,   56.21,   63.25,   44.91
25/09/2013 03:25:00,   47.90,   55.97,   39.63,   51.01,   58.46,   44.20
25/09/2013 03:30:00,   50.14,   59.47,   39.43,   53.00,   62.57,   43.74
25/09/2013 03:35:00,   49.61,   57.03,   40.27,   53.26,   60.54,   45.28
25/09/2013 03:40:00,   51.25,   59.03,   41.30,   54.59,   61.63,   46.23
25/09/2013 03:45:00,   49.34,   56.92,   40.78,   52.86,   60.99,   46.12
25/09/2013 03:50:00,   52.96,   60.94,   42.24,   58.21,   64.96,   47.83
25/09/2013 03:55:00,   50.90,   57.39,   41.94,   53.87,   59.35,   46.98
25/09/2013 04:00:00,   50.19,   57.80,   41.16,   52.93,   59.97,   45.76
25/09/2013 04:05:00,   51.64,   60.16,   41.04,   54.38,   61.75,   45.24
25/09/2013 04:10:00,   50.86,   58.46,   40.68,   54.02,   60.58,   45.28
25/09/2013 04:15:00,   52.71,   59.94,   42.30,   56.09,   63.02,   47.53
25/09/2013 04:20:00,   51.44,   60.09,   41.81,   54.59,   62.17,   46.35
25/09/2013 04:25:00,   49.73,   55.65,   40.85,   53.59,   59.19,   45.72
25/09/2013 04:30:00,   52.94,   59.80,   43.13,   56.91,   62.60,   48.02
25/09/2013 04:35:00,   52.56,   59.64,   41.13,   56.11,   62.91,   46.18
25/09/2013 04:40:00,   52.34,   58.45,   42.24,   55.33,   60.48,   47.09
25/09/2013 04:45:00,   55.31,   63.63,   42.32,   57.57,   65.15,   47.31
25/09/2013 04:50:00,   53.24,   60.16,   43.46,   57.36,   62.80,   49.28
25/09/2013 04:55:00,   56.32,   65.26,   43.95,   59.40,   67.58,   50.55
25/09/2013 05:00:00,   55.55,   62.56,   43.80,   59.08,   65.15,   49.43
25/09/2013 05:05:00,   58.23,   66.85,   46.33,   62.24,   69.31,   52.30
25/09/2013 05:10:00,   58.78,   65.95,   46.86,   62.41,   68.32,   53.25
25/09/2013 05:15:00,   58.38,   64.92,   45.66,   62.29,   67.32,   51.89
25/09/2013 05:20:00,   53.82,   59.37,   46.79,   57.98,   62.90,   52.12
25/09/2013 05:25:00,   55.99,   63.27,   47.37,   60.37,   66.40,   52.95
25/09/2013 05:30:00,   56.92,   64.30,   47.32,   61.51,   67.76,   53.11
25/09/2013 05:35:00,   59.12,   65.84,   48.32,   63.07,   68.01,   53.94
25/09/2013 05:40:00,   58.43,   64.89,   48.57,   65.26,   70.97,   56.71
25/09/2013 05:45:00,   58.75,   65.64,   46.06,   63.90,   69.66,   53.45
25/09/2013 05:50:00,   57.56,   64.27,   45.77,   61.30,   67.04,   51.31
25/09/2013 05:55:00,   58.90,   64.48,   50.40,   62.36,   67.17,   54.40
25/09/2013 06:00:00,   57.06,   64.73,   49.22,   59.61,   66.20,   52.09
25/09/2013 06:05:00,   57.69,   64.45,   49.59,   61.18,   67.22,   52.88
25/09/2013 06:10:00,   59.33,   66.38,   50.51,   63.73,   71.19,   54.57
25/09/2013 06:15:00,   60.77,   67.28,   51.16,   64.59,   70.99,   54.75
25/09/2013 06:20:00,   58.35,   65.30,   50.08,   61.55,   67.63,   54.41
25/09/2013 06:25:00,   61.20,   68.14,   51.40,   64.99,   70.81,   55.45
25/09/2013 06:30:00,   58.91,   65.41,   50.71,   64.45,   69.79,   56.03
25/09/2013 06:35:00,   57.60,   63.48,   51.06,   60.75,   65.85,   54.86
25/09/2013 06:40:00,   61.41,   67.53,   51.43,   64.88,   70.07,   54.95
25/09/2013 06:45:00,   59.71,   66.26,   51.97,   63.14,   68.09,   55.54
25/09/2013 06:50:00,   61.02,   66.64,   52.36,   64.39,   68.81,   56.52
25/09/2013 06:55:00,   60.28,   65.83,   52.26,   63.57,   68.29,   56.04
25/09/2013 07:00:00,   62.37,   67.13,   55.34,   66.24,   70.69,   59.19
25/09/2013 07:05:00,   61.14,   65.94,   56.46,   64.22,   68.09,   60.20
