Time	Trend	Category	Year
1	3.106	Houses Built	Q3 07
2	2.776	Houses Built	Q4 07
3	1.893	Houses Built	Q1 08
4	2.057	Houses Built	Q2 08
5	1.326	Houses Built	Q3 08
6	1.083	Houses Built	Q4 08
7	0.440	Houses Built	Q1 09
8	0.170	Houses Built	Q2 09
9	0.168	Houses Built	Q3 09
10	-0.042	Houses Built	Q4 09
11	-0.375	Houses Built	Q1 10
12	-0.634	Houses Built	Q2 10
13	-0.539	Houses Built	Q3 10
14	-0.471	Houses Built	Q4 10
15	-0.554	Houses Built	Q1 11
16	-0.569	Houses Built	Q2 11
17	-0.743	Houses Built	Q3 11
18	-0.704	Houses Built	Q4 11
19	-0.749	Houses Built	Q1 12
20	-0.781	Houses Built	Q2 12
21	-0.721	Houses Built	Q3 12
22	-0.631	Houses Built	Q4 12
23	-0.765	Houses Built	Q1 13
24	-0.705	Houses Built	Q2 13
25	-0.731	Houses Built	Q3 13
26	-0.594	Houses Built	Q4 13
27	-0.458	Houses Built	Q1 14
28	-0.151	Houses Built	Q2 14
29	-0.135	Houses Built	Q3 14
30	-0.322	Houses Built	Q4 14
31	-0.358	Houses Built	Q1 15
32	-0.347	Houses Built	Q2 15
33	-0.360	Houses Built	Q3 15
34	-0.312	Houses Built	Q4 15
35	-0.143	Houses Built	Q1 16
36	-0.074	Houses Built	Q2 16
37	-0.053	Houses Built	Q3 16
1	2.244	House Prices	Q3 07
2	2.193	House Prices	Q4 07
3	1.985	House Prices	Q1 08
4	1.940	House Prices	Q2 08
5	1.732	House Prices	Q3 08
6	1.321	House Prices	Q4 08
7	0.915	House Prices	Q1 09
8	0.469	House Prices	Q2 09
9	0.308	House Prices	Q3 09
10	0.107	House Prices	Q4 09
11	-0.081	House Prices	Q1 10
12	-0.171	House Prices	Q2 10
13	-0.269	House Prices	Q3 10
14	-0.366	House Prices	Q4 10
15	-0.516	House Prices	Q1 11
16	-0.619	House Prices	Q2 11
17	-0.765	House Prices	Q3 11
18	-0.987	House Prices	Q4 11
19	-1.169	House Prices	Q1 12
20	-1.160	House Prices	Q2 12
21	-1.174	House Prices	Q3 12
22	-1.110	House Prices	Q4 12
23	-1.113	House Prices	Q1 13
24	-1.103	House Prices	Q2 13
25	-0.904	House Prices	Q3 13
26	-0.712	House Prices	Q4 13
27	-0.746	House Prices	Q1 14
28	-0.533	House Prices	Q2 14
29	-0.215	House Prices	Q3 14
30	-0.006	House Prices	Q4 14
31	-0.078	House Prices	Q1 15
32	-0.031	House Prices	Q2 15
33	0.067	House Prices	Q3 15
34	0.127	House Prices	Q4 15
35	0.062	House Prices	Q1 16
36	0.132	House Prices	Q2 16
37	0.225	House Prices	Q3 16
1	1.389	House Rental	Q3 07
2	1.389	House Rental	Q4 07
3	1.248	House Rental	Q1 08
4	1.358	House Rental	Q2 08
5	0.670	House Rental	Q3 08
6	0.607	House Rental	Q4 08
7	-0.034	House Rental	Q1 09
8	-0.300	House Rental	Q2 09
9	-0.581	House Rental	Q3 09
10	-0.925	House Rental	Q4 09
11	-1.121	House Rental	Q1 10
12	-1.121	House Rental	Q2 10
13	-0.941	House Rental	Q3 10
14	-1.113	House Rental	Q4 10
15	-1.246	House Rental	Q1 11
16	-1.011	House Rental	Q2 11
17	-0.988	House Rental	Q3 11
18	-1.050	House Rental	Q4 11
19	-1.128	House Rental	Q1 12
20	-0.949	House Rental	Q2 12
21	-0.855	House Rental	Q3 12
22	-0.753	House Rental	Q4 12
23	-0.823	House Rental	Q1 13
24	-0.636	House Rental	Q2 13
25	-0.362	House Rental	Q3 13
26	-0.261	House Rental	Q4 13
27	-0.198	House Rental	Q1 14
28	0.076	House Rental	Q2 14
29	0.373	House Rental	Q3 14
30	0.412	House Rental	Q4 14
31	0.553	House Rental	Q1 15
32	0.912	House Rental	Q2 15
33	1.280	House Rental	Q3 15
34	1.358	House Rental	Q4 15
35	1.428	House Rental	Q1 16
36	1.725	House Rental	Q2 16
37	1.616	House Rental	Q3 16
1	0.876	Apt Rental	Q3 07
2	1.273	Apt Rental	Q4 07
3	1.183	Apt Rental	Q1 08
4	1.008	Apt Rental	Q2 08
5	0.617	Apt Rental	Q3 08
6	0.464	Apt Rental	Q4 08
7	-0.066	Apt Rental	Q1 09
8	-0.506	Apt Rental	Q2 09
9	-0.834	Apt Rental	Q3 09
10	-1.029	Apt Rental	Q4 09
11	-1.064	Apt Rental	Q1 10
12	-1.078	Apt Rental	Q2 10
13	-1.204	Apt Rental	Q3 10
14	-1.071	Apt Rental	Q4 10
15	-1.169	Apt Rental	Q1 11
16	-1.036	Apt Rental	Q2 11
17	-1.036	Apt Rental	Q3 11
18	-0.980	Apt Rental	Q4 11
19	-1.036	Apt Rental	Q1 12
20	-0.862	Apt Rental	Q2 12
21	-0.778	Apt Rental	Q3 12
22	-0.687	Apt Rental	Q4 12
23	-0.848	Apt Rental	Q1 13
24	-0.541	Apt Rental	Q2 13
25	-0.373	Apt Rental	Q3 13
26	-0.164	Apt Rental	Q4 13
27	-0.129	Apt Rental	Q1 14
28	0.310	Apt Rental	Q2 14
29	0.541	Apt Rental	Q3 14
30	0.652	Apt Rental	Q4 14
31	0.715	Apt Rental	Q1 15
32	1.022	Apt Rental	Q2 15
33	1.204	Apt Rental	Q3 15
34	1.364	Apt Rental	Q4 15
35	1.399	Apt Rental	Q1 16
36	1.832	Apt Rental	Q2 16
37	2.034	Apt Rental	Q3 16
